county,Year,Murder,Rape,Robbery,Aggravated_assault,Burglary,Larceny,Motor_vehicle_theft,Index_per_100k
Alachua,2001,8,176,453,1240,2918,7736,1031,6083
Alachua,2002,7,189,335,1264,2768,7429,895,5637
Alachua,2003,7,160,304,1413,2542,6782,877,5225
Alachua,2004,8,194,310,1325,2533,6064,744,4733
Alachua,2005,7,233,291,1511,2442,6448,749,4852
Alachua,2006,13,239,382,1558,2779,7530,794,5454
Alachua,2007,7,197,409,1574,2920,7070,768,5229
Alachua,2008,4,173,353,1380,2747,7179,657,4950
Alachua,2009,5,191,374,1414,2858,7253,686,4988
Alachua,2010,12,154,298,1093,2297,6387,493,4198
Alachua,2011,12,156,281,1090,2023,6485,435,4238
Alachua,2012,10,168,253,1057,1919,6372,357,4107
Alachua,2013,9,114,236,1023,1486,5996,362,3720
Alachua,2014,3,164,236,1003,1339,5879,421,3607
Alachua,2015,3,183,312,999,1236,5722,411,3478
Alachua,2016,4,216,271,966,1256,5963,534,3583
Alachua,2017,9,249,290,1097,1120,5751,524,3477
Alachua,2018,14,285,337,1175,1144,6170,633,3706
Alachua,2019,,,,,,,,
Alachua,2020,,,,,,,,
Baker,2001,1,3,4,83,78,337,38,2411
Baker,2002,0,2,17,66,63,302,38,2122
Baker,2003,0,1,10,53,89,296,42,2100
Baker,2004,1,2,11,72,89,293,32,2087
Baker,2005,0,5,10,107,78,383,23,2530
Baker,2006,2,4,7,70,30,340,33,1944
Baker,2007,3,5,4,69,28,277,21,1588
Baker,2008,1,3,5,50,37,219,20,1294
Baker,2009,1,13,8,31,68,298,13,1668
Baker,2010,0,1,7,39,51,272,13,1476
Baker,2011,0,4,6,32,43,259,11,1318
Baker,2012,0,4,9,39,51,230,16,1296
Baker,2013,0,0,4,82,98,257,15,1696
Baker,2014,0,1,6,114,70,237,10,1623
Baker,2015,0,1,8,102,106,256,12,1795
Baker,2016,1,4,8,105,103,194,19,1610
Baker,2017,2,5,5,79,101,208,22,1552
Baker,2018,2,5,7,81,49,215,24,1385
Baker,2019,,,,,,,,
Baker,2020,,,,,,,,
Bay,2001,6,121,185,683,1455,6049,361,5895
Bay,2002,8,119,180,828,1722,6392,399,6340
Bay,2003,7,121,215,816,1855,6406,450,6375
Bay,2004,11,97,163,801,1632,5493,517,5500
Bay,2005,4,93,164,790,1373,5001,380,4826
Bay,2006,5,98,184,999,1386,4720,379,4695
Bay,2007,8,109,171,682,1569,4870,400,4658
Bay,2008,11,95,172,736,1615,4747,363,4571
Bay,2009,9,83,170,663,1725,5108,331,4771
Bay,2010,12,61,158,608,1646,5566,342,4921
Bay,2011,12,62,173,636,1628,5472,324,4907
Bay,2012,9,70,168,595,1558,5538,295,4860
Bay,2013,8,85,164,589,1278,5375,302,4592
Bay,2014,17,80,140,633,1274,5480,402,4700
Bay,2015,9,76,159,662,1214,5321,377,4511
Bay,2016,9,87,133,668,1127,5013,427,4241
Bay,2017,11,80,103,705,1190,5082,489,4284
Bay,2018,7,72,98,583,1173,4301,500,3716
Bay,2019,,,,,,,,
Bay,2020,,,,,,,,
Bradford,2001,1,15,15,112,226,452,55,3359
Bradford,2002,2,9,6,113,239,325,54,2821
Bradford,2003,0,2,11,93,179,321,48,2425
Bradford,2004,0,13,8,120,140,347,48,2437
Bradford,2005,1,9,6,111,121,281,35,2006
Bradford,2006,0,8,13,98,114,347,41,2175
Bradford,2007,1,8,12,119,209,393,61,2764
Bradford,2008,1,7,7,135,222,336,58,2636
Bradford,2009,0,11,12,127,240,341,56,2706
Bradford,2010,1,6,11,63,191,395,14,2378
Bradford,2011,0,4,6,109,152,457,37,2669
Bradford,2012,0,12,6,101,179,339,26,2434
Bradford,2013,1,11,11,100,110,259,19,1878
Bradford,2014,0,16,7,80,79,220,16,1530
Bradford,2015,0,8,14,71,89,201,12,1446
Bradford,2016,2,4,8,116,113,216,20,1746
Bradford,2017,0,3,5,92,117,244,27,1765
Bradford,2018,1,6,10,79,97,255,38,1707
Bradford,2019,,,,,,,,
Bradford,2020,,,,,,,,
Brevard,2001,15,270,659,2616,4263,14725,1419,4940
Brevard,2002,12,326,636,2964,4827,13058,1304,4681
Brevard,2003,22,338,539,2512,4798,12060,1324,4252
Brevard,2004,14,253,502,2502,4261,9935,1178,3576
Brevard,2005,18,297,499,2390,4348,11499,1188,3805
Brevard,2006,22,278,635,2585,4735,12270,1277,4015
Brevard,2007,32,233,710,2698,4728,12424,1359,4018
Brevard,2008,22,225,663,2685,4935,12445,1268,3999
Brevard,2009,26,242,598,2653,4137,12873,965,3868
Brevard,2010,20,231,531,2324,4273,12187,695,3649
Brevard,2011,15,241,561,2347,4616,12861,748,3923
Brevard,2012,30,265,505,2093,3945,11867,847,3583
Brevard,2013,20,277,470,2049,3751,10952,690,3320
Brevard,2014,17,247,414,1996,2874,10968,667,3110
Brevard,2015,24,338,449,2067,2855,11131,970,3175
Brevard,2016,20,255,451,2144,3249,10454,1154,3116
Brevard,2017,25,235,396,2047,2651,10588,1025,2950
Brevard,2018,29,216,336,1633,2262,9612,880,2565
Brevard,2019,,,,,,,,
Brevard,2020,,,,,,,,
Broward,2001,90,598,3203,5815,13321,45021,9165,4680
Broward,2002,90,582,2979,5311,12717,42822,8310,4362
Broward,2003,67,630,2877,5244,11726,41282,7487,4081
Broward,2004,63,665,3520,5917,13013,43933,7060,4304
Broward,2005,63,664,3372,6143,13414,44903,7213,4352
Broward,2006,87,587,3685,6152,13218,44240,7092,4281
Broward,2007,105,562,4051,5940,14183,47763,6993,4508
Broward,2008,85,590,4045,5611,15684,49866,6208,4668
Broward,2009,76,517,3374,5363,15952,48487,5129,4522
Broward,2010,63,510,3137,4673,17354,46243,4717,4381
Broward,2011,59,528,3474,4455,18814,47633,4502,4533
Broward,2012,80,522,3425,4509,17469,46079,4384,4318
Broward,2013,80,568,2980,4249,15937,43853,3921,4011
Broward,2014,75,614,2619,4201,11886,42114,3845,3623
Broward,2015,85,592,2474,4363,10258,42671,4927,3577
Broward,2016,81,559,2715,4195,8813,44436,5622,3582
Broward,2017,95,579,2522,4347,8186,43250,5955,3465
Broward,2018,96,628,2083,4264,6274,39804,5509,3091
Broward,2019,,,,,,,,
Broward,2020,,,,,,,,
Calhoun,2001,1,1,2,30,44,94,15,1430
Calhoun,2002,1,1,0,21,54,109,17,1534
Calhoun,2003,2,1,1,41,72,89,11,1615
