ds,yhat
2001-12-31,26438.784122100118
2002-12-31,27961.41773222636
2003-12-31,29354.450202771386
2004-12-31,31391.501616553996
2005-12-31,33043.91268392001
2006-12-31,34566.54629814778
2007-12-31,35958.50149630054
2008-12-31,37738.40049272182
2009-12-31,38587.16291947748
2010-12-31,39301.3546968358
2011-12-31,39884.35757665539
2012-12-31,41108.554912814165
2013-12-31,41950.33281823348
2014-12-31,42662.333271061114
2015-12-31,43244.7325836171
2016-12-31,44469.86388895956
2017-12-31,46377.57752443726
2018-12-31,48155.51370555082
2019-12-31,49803.84874494831
2020-12-31,52096.90218505966
2021-12-31,54004.61582053698
2022-12-31,55782.5520016505
2023-12-31,57430.88704104659
2024-12-31,59723.940481159014
2025-12-31,61631.65411663712
2026-12-31,63409.59029775067
2027-12-31,65057.92533714554
2028-12-31,67350.97877725927
2029-12-31,69258.69241273649
2030-12-31,71036.62859385269
2001-12-31,23822.296984423032
2002-12-31,24556.298897915534
2003-12-31,25309.32788433999
2004-12-31,26549.334363898717
2005-12-31,27264.627648550995
2006-12-31,27997.32383107032
2007-12-31,28326.08576519462
2008-12-31,29139.059116065364
2009-12-31,29427.29779539819
2010-12-31,29733.419688168004
2011-12-31,30058.360273886472
2012-12-31,30867.83787824113
2013-12-31,31153.797558700124
2014-12-31,31458.44690450963
2015-12-31,31782.12332327366
2016-12-31,32592.836343737705
2017-12-31,33206.65809749175
2018-12-31,33839.169516710484
2019-12-31,34490.70800859225
2020-12-31,35628.945937893885
2021-12-31,36242.767691646506
2022-12-31,36875.279110866
2023-12-31,37526.81760274723
2024-12-31,38665.05553205193
2025-12-31,39278.8772858047
2026-12-31,39911.38870502343
2027-12-31,40562.92719690327
2028-12-31,41701.165126207256
2029-12-31,42314.986879959775
2030-12-31,42947.49829917994
2001-12-31,27478.07587086889
2002-12-31,28297.06681003389
2003-12-31,29598.448108319368
2004-12-31,30369.3278808287
2005-12-31,30705.825309966804
2006-12-31,31524.16740711801
2007-12-31,32824.61538837563
2008-12-31,33594.43539739861
2009-12-31,33929.322789220634
2010-12-31,34746.703689792594
2011-12-31,36046.47494885551
2012-12-31,36815.74027235599
2013-12-31,37150.642413926595
2014-12-31,37969.57920659431
2015-12-31,39272.59709287021
2016-12-31,40047.583136911126
2017-12-31,40389.56483952642
2018-12-31,41214.04005592253
2019-12-31,42520.90563040783
2020-12-31,43297.284703108795
2021-12-31,43639.26640572497
2022-12-31,44463.741622123605
2023-12-31,45770.60719661324
2024-12-31,46546.986269313384
2025-12-31,46888.967971926024
2026-12-31,47713.443188322235
2027-12-31,49020.30876281558
2028-12-31,49796.68783551211
2029-12-31,50138.66953812381
2030-12-31,50963.14475452059
2001-12-31,26731.2552167334
2002-12-31,27154.082285685472
2003-12-31,27629.624105131676
2004-12-31,28356.937848926438
2005-12-31,28726.976671593082
2006-12-31,29149.39951638503
2007-12-31,29623.41294664908
2008-12-31,30348.96785410397
2009-12-31,30717.252725981663
2010-12-31,31138.325989368805
2011-12-31,31612.114028293898
2012-12-31,32338.005493936762
2013-12-31,33058.9052903981
2014-12-31,33833.073202506945
2015-12-31,34659.95577882635
2016-12-31,35739.57275685771
2017-12-31,36460.95215415312
2018-12-31,37235.11979262199
2019-12-31,38062.00220228091
2020-12-31,39141.61907989832
2021-12-31,39862.99847719486
2022-12-31,40637.16611566431
2023-12-31,41464.04852532398
2024-12-31,42543.66540293995
2025-12-31,43265.044800235664
2026-12-31,44039.21243870452
2027-12-31,44866.09484836554
2028-12-31,45945.71172598211
2029-12-31,46667.09112327618
2030-12-31,47441.25876174802
2001-12-31,33968.31930244252
2002-12-31,34702.09820383388
2003-12-31,35979.47804961592
2004-12-31,37584.62602892148
2005-12-31,37775.00733133647
2006-12-31,38508.3327265242
2007-12-31,39785.17090322746
2008-12-31,41389.3223916605
2009-12-31,41578.476749667825
2010-12-31,42310.13709665747
2011-12-31,43585.39771392074
2012-12-31,45188.420646656734
2013-12-31,45376.68319885502
2014-12-31,46108.35511658134
2015-12-31,47384.035435728016
2016-12-31,48990.038976714866
2017-12-31,49183.5714774501
2018-12-31,49920.50109997974
2019-12-31,51201.03166594778
2020-12-31,52809.33899509161
2021-12-31,53002.871495827545
2022-12-31,53739.80111836082
2023-12-31,55020.33168433326
2024-12-31,56628.639013478336
2025-12-31,56822.17151421007
2026-12-31,57559.10113673958
2027-12-31,58839.63170271549
2028-12-31,60447.939031857124
2029-12-31,60641.47153258562
2030-12-31,61378.40115512073
2001-12-31,33528.14679453271
2002-12-31,34844.771603392845
2003-12-31,36360.52098383062
2004-12-31,38275.49429685801
2005-12-31,39393.12120190774
2006-12-31,40709.74600800013
2007-12-31,41495.85718951096
2008-12-31,42676.53287001082
2009-12-31,43060.81927126573
2010-12-31,43644.10356832766
2011-12-31,44426.51243587995
2012-12-31,45606.13608942834
2013-12-31,45992.063522366276
2014-12-31,46986.88880249017
2015-12-31,48182.22784348884
2016-12-31,49775.96007604239
2017-12-31,51455.069765444256
2018-12-31,53333.17735998127
2019-12-31,55410.40952223996
2020-12-31,57888.40392642567
2021-12-31,59567.513615827964
2022-12-31,61445.62121036662
2023-12-31,63522.85337262691
2024-12-31,66000.84777681317
2025-12-31,67679.95746621379
2026-12-31,69558.06506075073
2027-12-31,71635.29722301234
2028-12-31,74113.29162719773
2029-12-31,75792.40131659631
2030-12-31,77670.50891113709
2001-12-31,22278.412789218193
2002-12-31,23015.818851239696
2003-12-31,23702.921696572073
2004-12-31,23947.313102180087
2005-12-31,24734.85765520158
2006-12-31,25471.962270805525
2007-12-31,26158.52445173862
2008-12-31,26401.0527705815
2009-12-31,27185.465453140387
2010-12-31,27919.698481283624
2011-12-31,28603.628292148038
2012-12-31,28844.837970769604
2013-12-31,29629.209491319813
2014-12-31,30363.442521401506
2015-12-31,31047.522331857293
2016-12-31,31289.0103074235
2017-12-31,32074.288271224024
2018-12-31,32809.42774344099
2019-12-31,33494.2639984008
2020-12-31,33736.38260410702
2021-12-31,34521.66056790763
2022-12-31,35256.80004012384
2023-12-31,35941.63629508364
2024-12-31,36183.7549007887
2025-12-31,36969.03286458972
2026-12-31,37704.172336806674
2027-12-31,38389.008591766586
2028-12-31,38631.12719747155
2029-12-31,39416.40516127393
2030-12-31,40151.54463348829
2001-12-31,26578.281446081968
2002-12-31,26999.60866149266
2003-12-31,27567.43471248194
2004-12-31,29235.20949252278
2005-12-31,29510.398408079986
2006-12-31,29931.693092951667
2007-12-31,30499.48550449138
2008-12-31,32167.22641314136
2009-12-31,32442.381573317587
2010-12-31,32863.67503645853
2011-12-31,33431.467333387554
2012-12-31,35099.208264499925
2013-12-31,35374.370326606
2014-12-31,35795.90601481428
2015-12-31,36364.49488091904
2016-12-31,38033.22971134018
2017-12-31,38309.38089717925
2018-12-31,38731.670382691256
2019-12-31,39300.45869069974
2020-12-31,40969.198362360126
2021-12-31,41245.34954819928
2022-12-31,41667.63903371341
2023-12-31,42236.42734172253
2024-12-31,43905.16701338501
2025-12-31,44181.318199222784
2026-12-31,44603.60768473477
2027-12-31,45172.39599274419
2028-12-31,46841.13566440675
2029-12-31,47117.28685024106
2030-12-31,47539.57633576015
2001-12-31,26121.74232876175
2002-12-31,26967.86290186407
2003-12-31,27839.62674007974
2004-12-31,28794.929098359364
2005-12-31,29615.142459946976
2006-12-31,30460.54531601178
2007-12-31,31330.538835909698
2008-12-31,32283.088171034666
2009-12-31,33099.81568111002
2010-12-31,33941.24372427807
2011-12-31,34411.97165369955
2012-12-31,34964.50176333
2013-12-31,35383.39314717797
2014-12-31,35827.81606268317
2015-12-31,36297.88224714623
2016-12-31,36850.45033438367
2017-12-31,37269.41459627439
2018-12-31,37713.91038403598
2019-12-31,38184.049437973954
2020-12-31,38736.62666574893
2021-12-31,39155.59092763909
2022-12-31,39600.086715400976
2023-12-31,40070.225769338984
2024-12-31,40622.80299711508
2025-12-31,41041.76725900516
2026-12-31,41486.26304676675
2027-12-31,41956.402100704356
2028-12-31,42508.979328479836
2029-12-31,42927.94359037011
2030-12-31,43372.43937813172
2001-12-31,24298.59825555885
2002-12-31,25121.46163699669
2003-12-31,26384.464132904854
2004-12-31,27437.554454490568
2005-12-31,27820.19055385761
2006-12-31,28640.885765930452
2007-12-31,29899.80868407511
2008-12-31,30947.399581713933
2009-12-31,31324.648255219272
2010-12-31,32142.027233943387
2011-12-31,33399.54532927522
2012-12-31,34447.1362271722
2013-12-31,34824.928654774296
2014-12-31,35643.293409919905
2015-12-31,36901.88903103112
2016-12-31,37950.75767907359
2017-12-31,38329.48071838885
2018-12-31,39148.3340625008
2019-12-31,40407.326521411356
2020-12-31,41456.39582415421
2021-12-31,41835.11886347011
2022-12-31,42653.972207584666
2023-12-31,43912.96466649886
2024-12-31,44962.03396924175
2025-12-31,45340.75700855439
2026-12-31,46159.610352666365
2027-12-31,47418.60281158367
2028-12-31,48467.67211432356
2029-12-31,48846.395153634614
2030-12-31,49665.24849774867
2001-12-31,31984.41826354148
2002-12-31,32899.88006643587
2003-12-31,34162.774700741444
2004-12-31,35374.01578910993
2005-12-31,35942.085244977636
2006-12-31,36857.53875124684
2007-12-31,38120.15836218306
2008-12-31,39331.11219707993
2009-12-31,39898.89518456573
2010-12-31,40814.07050648042
2011-12-31,42076.67866079942
2012-12-31,43287.63249232697
2013-12-31,43855.41548091809
2014-12-31,44770.878092504034
2015-12-31,46033.99137284363
2016-12-31,47246.08956758088
2017-12-31,47815.23513909793
2018-12-31,48731.77304866157
2019-12-31,49995.74379317298
2020-12-31,51208.063944376925
2021-12-31,51777.20951589469
2022-12-31,52693.74742546035
2023-12-31,53957.71816997476
2024-12-31,55170.03832117885
2025-12-31,55739.18389269388
2026-12-31,56655.721802257554
2027-12-31,57919.69254677437
2028-12-31,59132.01269797604
2029-12-31,59701.158269489504
2030-12-31,60617.69617905539
2001-12-31,26301.571451919008
2002-12-31,27224.934127556353
2003-12-31,27777.702528166912
2004-12-31,28835.988033921923
2005-12-31,30129.9176876
2006-12-31,31053.280319793834
2007-12-31,31605.562321263802
2008-12-31,32133.528622392325
2009-12-31,32897.18497805029
2010-12-31,33290.17017676384
2011-12-31,33312.225177285276
2012-12-31,33838.34325121052
2013-12-31,34601.72723741442
2014-12-31,34995.46260758443
2015-12-31,35213.70328863883
2016-12-31,35936.742223930145
2017-12-31,37431.8563968129
2018-12-31,38556.403571234994
2019-12-31,39310.35646684743
2020-12-31,40570.37765430341
2021-12-31,42065.4918271862
2022-12-31,43190.039001606645
2023-12-31,43943.99189721602
2024-12-31,45204.013084671205
2025-12-31,46699.127257556385
2026-12-31,47823.674431978456
2027-12-31,48577.62732758597
2028-12-31,49837.648515044464
2029-12-31,51332.76268792963
2030-12-31,52457.309862352784
2001-12-31,22297.562198612184
2002-12-31,23260.41708813367
2003-12-31,24411.562922510617
2004-12-31,25756.51414141092
2005-12-31,26530.833407367383
2006-12-31,27493.238912814777
2007-12-31,28643.47124976419
2008-12-31,29985.75119714556
2009-12-31,30756.227689334068
2010-12-31,31271.535650938513
2011-12-31,31975.074270507685
2012-12-31,32871.18180379839
2013-12-31,33197.87905063187
2014-12-31,33713.1119240717
2015-12-31,34416.63573851579
2016-12-31,35312.74451197042
2017-12-31,36108.88879322383
2018-12-31,37093.56870273482
2019-12-31,38266.53955521688
2020-12-31,39633.37558388038
2021-12-31,40429.51986513646
2022-12-31,41414.19977464871
2023-12-31,42587.17062713311
2024-12-31,43954.00665579323
2025-12-31,44750.15093704698
2026-12-31,45734.83084655796
2027-12-31,46907.80169904581
2028-12-31,48274.63772770657
