ds,yhat
2001-12-31,114083.75724348227
2002-12-31,115501.22747668033
2003-12-31,117511.03707973882
2004-12-31,116632.98575875766
2005-12-31,117457.7181070093
2006-12-31,118875.18831481345
2007-12-31,120884.99788463046
2008-12-31,120006.94641794477
2009-12-31,120831.67862144075
2010-12-31,122249.14870893356
2012-12-31,123380.90669584804
2013-12-31,124206.12459991302
2014-12-31,125628.30416566812
2015-12-31,127646.05182634469
2016-12-31,126776.01281049631
2017-12-31,127608.73557485527
2018-12-31,129034.19622375182
2019-12-31,131051.99624122193
2020-12-31,130181.9572269386
2021-12-31,131014.67999129626
2022-12-31,132440.1406401933
2023-12-31,134457.94065766953
2024-12-31,133587.9016433858
2025-12-31,134420.6244077403
2026-12-31,135846.08505663672
2027-12-31,137863.88507411611
2028-12-31,136993.84605982335
2029-12-31,137826.56882418474
2030-12-31,139252.02947306656
2001-12-31,10248.430152181543
2002-12-31,10291.278754300472
2003-12-31,10369.105740239802
2004-12-31,10428.43263780178
2005-12-31,10436.315715474339
2006-12-31,10479.16430508086
2007-12-31,10556.991270374972
2008-12-31,10616.305362406983
2009-12-31,10624.172901080976
2010-12-31,10667.00595232126
2011-12-31,10744.817376911253
2012-12-31,10804.12867331471
2013-12-31,10812.24598118518
2014-12-31,10855.32880846558
2015-12-31,10933.390018630898
2016-12-31,10992.951798892087
2017-12-31,11001.069123347377
2018-12-31,11044.15196507892
2019-12-31,11122.2131843823
2020-12-31,11181.774965434508
2021-12-31,11189.892289889758
2022-12-31,11232.97513162151
2023-12-31,11311.036350925187
2024-12-31,11370.59813197753
2025-12-31,11378.715456432546
2026-12-31,11421.79829816408
2027-12-31,11499.859517467918
2028-12-31,11559.42129851992
2029-12-31,11567.538622974924
2030-12-31,11610.621464706517
2001-12-31,74408.51780418052
2002-12-31,74989.96624000567
2003-12-31,75424.79505790261
2004-12-31,75757.14575696715
2005-12-31,76485.14565995528
2006-12-31,77065.75284374965
2007-12-31,77499.69734606644
2008-12-31,77827.87903126227
2009-12-31,78548.46429000548
2010-12-31,79122.38073381237
2011-12-31,79549.58079866259
2012-12-31,79874.16926209861
2013-12-31,80594.42815014816
2014-12-31,81168.13555142366
2015-12-31,81595.22331121608
2016-12-31,81919.81145559138
2017-12-31,82640.0700235006
2018-12-31,83213.77711205438
2019-12-31,83640.86458724132
2020-12-31,83965.45273167733
2021-12-31,84685.71129958628
2022-12-31,85259.41838813918
2023-12-31,85686.50586332529
2024-12-31,86011.09400776068
2025-12-31,86731.35257567064
2026-12-31,87305.05966422439
2027-12-31,87732.14713940979
2028-12-31,88056.73528384574
2029-12-31,88776.99385175688
2030-12-31,89350.70094030925
2001-12-31,11155.77764256169
2002-12-31,11108.459646633582
2003-12-31,11099.003336699592
2004-12-31,11074.9338161804
2005-12-31,10989.767071884713
2006-12-31,10942.367182358645
2007-12-31,10932.807503440761
2008-12-31,10908.52696489489
2009-12-31,10823.149158771344
2010-12-31,10775.420849935295
2011-12-31,10765.489383977818
2012-12-31,10740.943405646061
2013-12-31,10655.301505242523
2014-12-31,10607.508353335224
2015-12-31,10597.576887383664
2016-12-31,10573.030909312316
2017-12-31,10487.389009267643
2018-12-31,10439.595857582415
2019-12-31,10429.664391803331
2020-12-31,10405.11841377763
2021-12-31,10319.476513732934
2022-12-31,10271.683362047954
2023-12-31,10261.751896269192
2024-12-31,10237.205918243602
2025-12-31,10151.564018198627
2026-12-31,10103.770866513405
2027-12-31,10093.839400734854
2028-12-31,10069.293422708908
2029-12-31,9983.651522663886
2030-12-31,9935.858370978785
2001-12-31,230287.84821932364
2002-12-31,232203.83016408538
2003-12-31,234698.65581634615
2004-12-31,234970.62326408108
2005-12-31,236307.19442064525
2006-12-31,238223.17638685778
2007-12-31,240718.0020483496
2008-12-31,240989.96954974649
2009-12-31,242326.54069943266
2010-12-31,244242.52262512373
2011-12-31,246737.59050840588
2012-12-31,247009.98371191294
2013-12-31,248349.4671750881
2014-12-31,250269.79166606357
2015-12-31,252771.02444898238
2016-12-31,253057.50608703765
2017-12-31,254408.57166536976
2018-12-31,256339.04804359458
2019-12-31,258848.36812887376
2020-12-31,259134.86973321892
2021-12-31,260485.93531155217
2022-12-31,262416.41168977856
2023-12-31,264925.7317750646
2024-12-31,265212.23337940586
2025-12-31,266563.2989577348
2026-12-31,268493.7753359597
2027-12-31,271003.09542125126
2028-12-31,271289.59702558565
2029-12-31,272640.66260391846
