county,Year,Average Yearly Wage,Employment,Labor Force,Population,Single Family Home
Alachua,12/31/2001,26438.78412,114083.7572,117361.1174,223752.3376,154270.2979
Alachua,12/31/2002,27961.41773,115501.2275,119010.9732,227557.8089,158552.0403
Alachua,12/31/2003,29354.4502,117511.0371,120423.5614,231732.0662,163629.1525
Alachua,12/31/2004,31391.50162,116632.9858,121967.0142,236653.4648,159622.4825
Alachua,12/31/2005,33043.91268,117457.7181,123854.9434,240100.1866,163106.2763
Alachua,12/31/2006,34566.5463,118875.1883,125504.7992,243700.9464,167388.0187
Alachua,12/31/2007,35958.5015,120884.9979,126916.9596,247658.3167,172465.1309
Alachua,12/31/2008,37738.40049,120006.9464,127405.5072,252345.6673,168458.4609
Alachua,12/31/2009,38587.16292,120831.6786,128233.4464,253346.5005,171942.2547
Alachua,12/31/2010,39301.3547,122249.1487,128822.4291,250177.4001,176223.9971
Alachua,12/31/2011,39884.35758,123380.9067,129174.1442,247382.4304,177294.4393
Alachua,12/31/2012,41108.55491,124206.1246,129653.8174,246770.5332,180778.2331
Alachua,12/31/2013,41950.33282,125628.3042,130483.0085,248230.7168,185059.9755
Alachua,12/31/2014,42662.33327,127646.0518,131080.5311,250882.1604,190137.0876
Alachua,12/31/2015,43244.73258,126776.0128,131946.561,253907.0253,186130.4176
Alachua,12/31/2016,44469.86389,127608.7356,132946.7056,257675.8826,189614.2115
Alachua,12/31/2017,46377.57752,129034.1962,134292.811,260423.1751,193895.9539
Alachua,12/31/2018,48155.51371,131051.9962,135400.8431,263529.2169,198973.066
Alachua,12/31/2019,49803.84874,130181.9572,136271.6076,267004.0448,194966.396
Alachua,12/31/2020,52096.90219,131014.68,137271.7522,271224.0979,198450.1899
Alachua,12/31/2021,54004.61582,132440.1406,138617.8577,273971.3903,202731.9323
Alachua,12/31/2022,55782.552,134457.9407,139725.8898,277077.4322,207809.0444
Alachua,12/31/2023,57430.88704,133587.9016,140596.6543,280552.2601,203802.3744
Alachua,12/31/2024,59723.94048,134420.6244,141596.7989,284772.3131,207286.1683
Alachua,12/31/2025,61631.65412,135846.0851,142942.9043,287519.6056,211567.9106
Alachua,12/31/2026,63409.5903,137863.8851,144050.9364,290625.6475,216645.0228
Alachua,12/31/2027,65057.92534,136993.8461,144921.7009,294100.4754,212638.3528
Alachua,12/31/2028,67350.97878,137826.5688,145921.8455,298320.5284,216122.1466
Alachua,12/31/2029,69258.69241,139252.0295,147267.951,301067.8208,220403.889
Alachua,12/31/2030,71036.62859,10248.43015,148375.9831,304173.8627,100666.7038
Baker,12/31/2001,23822.29698,10291.27875,10535.48426,22416.52068,104689.4477
Baker,12/31/2002,24556.2989,10369.10574,10661.28543,22938.02248,108879.8584
Baker,12/31/2003,25309.32788,10428.43264,10798.15319,23584.80594,110091.5118
Baker,12/31/2004,26549.33436,10436.31572,10977.24471,23920.23235,113945.6871
Baker,12/31/2005,27264.62765,10479.16431,11092.02034,24316.07724,117968.4311
Baker,12/31/2006,27997.32383,10556.99127,11217.82145,24839.7347,122158.8419
Baker,12/31/2007,28326.08577,10616.30536,11354.58746,25488.67382,123370.4954
Baker,12/31/2008,29139.05912,10624.1729,11533.52214,25825.63237,127224.6707
Baker,12/31/2009,29427.2978,10667.00595,11521.95783,26222.77801,131247.4148
Baker,12/31/2010,29733.41969,10744.81738,11521.22953,26746.43547,135437.8255
Baker,12/31/2011,30058.36027,10804.12867,11531.56782,26964.46654,136649.479
Baker,12/31/2012,30867.83788,10812.24598,11583.78321,26869.09145,140503.6543
Baker,12/31/2013,31153.79756,10855.32881,11572.02936,26835.08058,144526.3984
Baker,12/31/2014,31458.4469,10933.39002,11571.30106,26927.58077,148716.8092
Baker,12/31/2015,31782.12332,10992.9518,11581.75235,27145.36264,149928.4628
Baker,12/31/2016,32592.83634,11001.06912,11634.0814,27050.2594,153782.6383
Baker,12/31/2017,33206.6581,11044.15197,11622.4409,27311.5443,157805.3825
Baker,12/31/2018,33839.16952,11122.21318,11621.82595,27699.34103,161995.7934
Baker,12/31/2019,34490.70801,11181.77497,11632.27758,28212.41942,163207.447
Baker,12/31/2020,35628.94594,11189.89229,11684.60663,28413.14502,167061.6225
Baker,12/31/2021,36242.76769,11232.97513,11672.96613,28674.42992,171084.3667
Baker,12/31/2022,36875.27911,11311.03635,11672.35117,29062.22665,175274.7776
Baker,12/31/2023,37526.8176,11370.59813,11682.80281,29575.30504,176486.4313
