ds,yhat
2001-12-31,117361.1173510843
2002-12-31,119010.97317574259
2003-12-31,120423.56142041048
2004-12-31,121967.0141974928
2005-12-31,123854.94339977112
2006-12-31,125504.79922594992
2007-12-31,126916.9596472243
2008-12-31,127405.50721777164
2009-12-31,128233.44644964086
2010-12-31,128822.42913536573
2011-12-31,129174.14424000346
2012-12-31,129653.81737625954
2013-12-31,130483.00847623753
2014-12-31,131080.53105186432
2015-12-31,131946.56098020164
2016-12-31,132946.70556862
2017-12-31,134292.811032549
2018-12-31,135400.84311944593
2019-12-31,136271.60762492096
2020-12-31,137271.75221492373
2021-12-31,138617.8576788463
2022-12-31,139725.88976574244
2023-12-31,140596.6542712138
2024-12-31,141596.79886122595
2025-12-31,142942.90432515196
2026-12-31,144050.93641204885
2027-12-31,144921.70091751323
2028-12-31,145921.84550752232
2029-12-31,147267.95097145395
2030-12-31,148375.983058344
2001-12-31,10535.484256540643
2002-12-31,10661.285430435053
2003-12-31,10798.15319321179
2004-12-31,10977.24471212764
2005-12-31,11092.020339056984
2006-12-31,11217.821451951577
2007-12-31,11354.587462388
2008-12-31,11533.522138669212
2009-12-31,11521.95783038858
2010-12-31,11521.229534547185
2011-12-31,11531.56782181078
2012-12-31,11583.783209030687
2013-12-31,11572.029364718193
2014-12-31,11571.301061097038
2015-12-31,11581.75235302349
2016-12-31,11634.081398372735
2017-12-31,11622.440901519944
2018-12-31,11621.825945857187
2019-12-31,11632.27758082496
2020-12-31,11684.60662538566
2021-12-31,11672.966128532662
2022-12-31,11672.351172870056
2023-12-31,11682.80280783786
2024-12-31,11735.131852398934
2025-12-31,11723.491355545906
2026-12-31,11722.876399883153
2027-12-31,11733.328034850842
2028-12-31,11785.657079411705
2029-12-31,11774.01658255869
2030-12-31,11773.401626896066
2001-12-31,72439.43547478649
2002-12-31,74845.35930648168
2003-12-31,76532.53791860586
2004-12-31,79295.59133212308
2005-12-31,82420.74176835593
2006-12-31,84826.2469315197
2007-12-31,86512.95363724093
2008-12-31,86830.24104577553
2009-12-31,87513.24807931927
2010-12-31,87476.52655567795
2011-12-31,86721.05981378896
2012-12-31,87034.77569356514
2013-12-31,87717.28077562944
2014-12-31,87680.5592583699
2015-12-31,86925.09251643847
2016-12-31,87238.53830568967
2017-12-31,87209.15764867644
2018-12-31,86460.55039104995
2019-12-31,84993.19791265506
2020-12-31,84593.07768358939
2021-12-31,84563.69702657266
2022-12-31,83815.0897689432
2023-12-31,82347.73729054126
2024-12-31,81947.61706148012
2025-12-31,81918.2364044692
2026-12-31,81169.62914684264
2027-12-31,79702.2766684333
2028-12-31,79302.15643937603
2029-12-31,79272.77578236768
2030-12-31,78524.16852474002
2001-12-31,11735.610225114011
2002-12-31,11676.696173858014
2003-12-31,11653.194605620476
2004-12-31,11675.880974479753
2005-12-31,11581.586198518518
2006-12-31,11522.637563288703
2007-12-31,11498.905607551946
2008-12-31,11520.793455144492
2009-12-31,11424.704503890038
2010-12-31,11363.457911653155
2011-12-31,11337.540236695382
2012-12-31,11357.67489889929
2013-12-31,11260.834350273313
2014-12-31,11199.374526494339
2015-12-31,11173.32718416469
2016-12-31,11193.460801711879
2017-12-31,11096.620249655536
2018-12-31,11035.160422080226
2019-12-31,11009.113076361238
2020-12-31,11029.246692158064
2021-12-31,10932.406140101679
2022-12-31,10870.946312526663
2023-12-31,10844.898966807934
2024-12-31,10865.032582604998
2025-12-31,10768.19203054834
2026-12-31,10706.732202973026
2027-12-31,10680.684857254455
2028-12-31,10700.818473051231
2029-12-31,10603.977920994383
2030-12-31,10542.518093419505
2001-12-31,241616.71680734152
2002-12-31,244354.46275255078
2003-12-31,247820.5355211984
2004-12-31,251226.01249685272
2005-12-31,253235.00000742992
2006-12-31,255967.765654366
2007-12-31,257914.012104743
2008-12-31,259786.53297852766
2009-12-31,260263.7246488218
2010-12-31,261468.80414159305
2011-12-31,263402.2104576647
2012-12-31,265270.8218893552
2013-12-31,265747.7192266935
2014-12-31,266958.14067076123
2015-12-31,268899.81161278085
2016-12-31,270781.3626186048
2017-12-31,271276.01948397525
2018-12-31,272498.8585173562
2019-12-31,274450.0243702761
2020-12-31,276336.4440055237
2021-12-31,276831.10087089485
2022-12-31,278053.9399042804
2023-12-31,280005.1057572069
2024-12-31,281891.5253924552
2025-12-31,282386.18225782085
2026-12-31,283609.0212912013
2027-12-31,285560.1871441328
2028-12-31,287446.60677937564
2029-12-31,287941.26364473853
2030-12-31,289164.1026781241
2001-12-31,907238.9827456109
2002-12-31,914455.0670577702
2003-12-31,923518.114511595
2004-12-31,932561.2414992324
2005-12-31,937932.1757327169
2006-12-31,945144.6529476868
2007-12-31,954159.9609294194
2008-12-31,961375.9414335927
2009-12-31,964896.6887786961
2010-12-31,970262.5860701863
2011-12-31,977475.446540422
2012-12-31,984663.3175589321
2013-12-31,988184.1214159371
2014-12-31,993557.1997337407
2015-12-31,1000777.2412420732
2016-12-31,1007972.3130210261
2017-12-31,1011500.2414707049
2018-12-31,1016873.3198741795
2019-12-31,1024093.3614400086
2020-12-31,1031288.4332343128
2021-12-31,1034816.3616839831
2022-12-31,1040189.4400874714
2023-12-31,1047409.4816533155
2024-12-31,1054604.553447637
2025-12-31,1058132.4818972962
2026-12-31,1063505.560300771
2027-12-31,1070725.601866618
2028-12-31,1077920.6736609158
2029-12-31,1081448.6021105775
2030-12-31,1086821.6805140541
2001-12-31,5382.821571394566
2002-12-31,5373.549920701401
2003-12-31,5373.185742176034
2004-12-31,5419.204664483061
2005-12-31,5401.048322288818
2006-12-31,5391.776671641562
2007-12-31,5391.409042193513
2008-12-31,5437.25392974427
2009-12-31,5360.897915088677
2010-12-31,5293.290857266822
2011-12-31,5234.4916116085105
2012-12-31,5221.90980321132
2013-12-31,5145.312840969322
2014-12-31,5077.600569542203
2015-12-31,5018.795769851137
2016-12-31,5006.213959518885
2017-12-31,4929.616995784307
2018-12-31,4861.904723308389
2019-12-31,4803.099923009464
2020-12-31,4790.518112233081
2021-12-31,4713.921148498445
2022-12-31,4646.208876022651
2023-12-31,4587.404075723767
2024-12-31,4574.822264947548
2025-12-31,4498.2253012128485
2026-12-31,4430.513028736935
2027-12-31,4371.708228438043
2028-12-31,4359.126417661758
2029-12-31,4282.529453926948
2030-12-31,4214.817181451308
2001-12-31,60398.70777213709
2002-12-31,61265.773747040075
2003-12-31,62179.637022930256
2004-12-31,62705.953070793235
2005-12-31,63526.06126453557
2006-12-31,64392.77871715291
2007-12-31,65304.486318813244
2008-12-31,65826.86924674698
2009-12-31,66318.96124246194
2010-12-31,66856.82911208163
2011-12-31,67441.49427567457
2012-12-31,67637.71029734674
2013-12-31,68128.62044679919
2014-12-31,68666.48830486367
2015-12-31,69251.15346488099
2016-12-31,69447.36948538886
2017-12-31,69938.27963728325
2018-12-31,70476.1474958955
2019-12-31,71060.81265866489
2020-12-31,71257.02868071824
2021-12-31,71747.93883261298
2022-12-31,72285.80669122524
2023-12-31,72870.47185399555
2024-12-31,73066.68787604752
2025-12-31,73557.5980279418
2026-12-31,74095.4658865541
2027-12-31,74680.1310493254
2028-12-31,74876.34707137672
2029-12-31,75367.25722327169
2030-12-31,75905.12508188262
2001-12-31,50996.19298395278
2002-12-31,50811.65379743771
2003-12-31,50747.099892016995
2004-12-31,50873.31552969906
2005-12-31,50568.88631072815
2006-12-31,50384.3360342052
2007-12-31,50318.26848240583
2008-12-31,50441.637614470106
2009-12-31,50131.74892868933
2010-12-31,49938.953286575226
2011-12-31,49864.37097287618
2012-12-31,49980.221251774215
2013-12-31,49664.52086978225
2014-12-31,49468.605121289474
2015-12-31,49392.67459058498
2016-12-31,49507.4824193784
2017-12-31,49191.67656481091
2018-12-31,48995.76073738466
2019-12-31,48919.83018710435
2020-12-31,49034.638015611905
2021-12-31,48718.83216104436
2022-12-31,48522.91633361916
2023-12-31,48446.98578333989
2024-12-31,48561.793611847956
2025-12-31,48245.98775727947
2026-12-31,48050.07192985316
2027-12-31,47974.14137957458
2028-12-31,48088.949208081794
2029-12-31,47773.143353512445
2030-12-31,47577.22752608806
2001-12-31,74264.04479332245
2002-12-31,77489.17084181377
2003-12-31,79967.20711766236
2004-12-31,82943.6232795292
2005-12-31,86915.98929956368
2006-12-31,90141.11534339827
2007-12-31,92617.94274846125
2008-12-31,93218.09096870186
2009-12-31,94813.5715671446
2010-12-31,95661.81218795132
2011-12-31,95762.96303428178
2012-12-31,96356.02593869646
2013-12-31,97952.36505092787
2014-12-31,98913.27197630805
2015-12-31,99730.86791920614
2016-12-31,101044.25419063657
2017-12-31,103358.13412181579
2018-12-31,104924.77407901766
2019-12-31,105744.32426387123
2020-12-31,107057.71053794771
2021-12-31,109371.59046912454
2022-12-31,110938.23042632261
2023-12-31,111757.78061116977
2024-12-31,113071.16688524767
2025-12-31,115385.04681643014
2026-12-31,116951.6867736321
2027-12-31,117771.23695847302
2028-12-31,119084.62323255542
2029-12-31,121398.50316374122
2030-12-31,122965.14312093965
2001-12-31,128412.06600930473
2002-12-31,131439.87095813715
2003-12-31,134949.74814312195
2004-12-31,136084.34161215505
2005-12-31,138629.19301452045
2006-12-31,141656.99766103138
2007-12-31,145166.8625542904
2008-12-31,146301.44375522892
2009-12-31,148846.28314647754
2010-12-31,151874.14394391904
2011-12-31,155386.97890466117
2012-12-31,156532.96610783692
2013-12-31,159097.8915596646
2014-12-31,162317.23308492097
2015-12-31,166019.55350037623
2016-12-31,167347.31822462694
2017-12-31,170084.8133396246
2018-12-31,173305.26179752435
2019-12-31,177007.7824652886
2020-12-31,178335.54733064614
2021-12-31,181073.04244564637
2022-12-31,184293.49090354668
2023-12-31,187996.0115713172
2024-12-31,189323.7764366679
2025-12-31,192061.27155166445
2026-12-31,195281.72000956413
2027-12-31,198984.24067734118
2028-12-31,200312.00554268714
2029-12-31,203049.50065768638
2030-12-31,206269.94911557867
2001-12-31,27668.960949199758
2002-12-31,27695.00718698556
2003-12-31,27850.709648609576
2004-12-31,28251.56482579137
2005-12-31,28148.090957596592
2006-12-31,28173.842025059577
2007-12-31,28328.28112304242
2008-12-31,28726.876292298286
2009-12-31,28619.832778178206
2010-12-31,28641.8011327481
2011-12-31,28793.425708261395
2012-12-31,29190.19108327807
2013-12-31,29082.63857994647
2014-12-31,29104.606182101823
2015-12-31,29256.23000766032
2016-12-31,29652.995374585727
2017-12-31,29545.442870611703
2018-12-31,29567.410472312466
2019-12-31,29719.034297587816
2020-12-31,30115.799664197628
2021-12-31,30008.247160223444
2022-12-31,30030.214761925323
2023-12-31,30181.838587201593
2024-12-31,30578.60395381238
2025-12-31,30471.051449837225
2026-12-31,30493.01905153795
2027-12-31,30644.642876814698
2028-12-31,31041.408243424594
2029-12-31,30933.855739448474
2030-12-31,30955.823341151234
2001-12-31,13673.572655972985
2002-12-31,13682.879749410564
2003-12-31,13793.480809722072
2004-12-31,13778.29434491013
2005-12-31,13686.337891317475
2006-12-31,13695.644984836104
2007-12-31,13806.246045287504
2008-12-31,13791.05958052817
2009-12-31,13699.103126810347
2010-12-31,13708.410220035357
2011-12-31,13819.01128006096
2012-12-31,13803.82481509273
2013-12-31,13711.868361427143
2014-12-31,13721.179979623888
2015-12-31,13831.917362793123
2016-12-31,13816.867599233274
2017-12-31,13725.053455071633
2018-12-31,13734.502857988868
2019-12-31,13845.246227776934
2020-12-31,13830.202462398887
2021-12-31,13738.388318237052
2022-12-31,13747.837721154847
2023-12-31,13858.581090943688
2024-12-31,13843.537325566098
2025-12-31,13751.723181403642
2026-12-31,13761.17258432093
2027-12-31,13871.915954110169
2028-12-31,13856.872188731508
2029-12-31,13765.058044569183
2030-12-31,13774.507447486129
2001-12-31,5470.684713926805
2002-12-31,5533.212314912917
2003-12-31,5533.388027934895
2004-12-31,5422.985959663092
2005-12-31,5547.795290010268
2006-12-31,5610.322890918507
2007-12-31,5610.498603848362
2008-12-31,5500.096535506014
2009-12-31,5624.905865866857
2010-12-31,5687.433466749557
2011-12-31,5687.609179679618
2012-12-31,5577.207111402324
2013-12-31,5702.016441841579
2014-12-31,5764.544042827754
2015-12-31,5764.739657863573
2016-12-31,5654.357546227847
2017-12-31,5779.204712482232
2018-12-31,5841.7701492741835
2019-12-31,5841.983698120699
2020-12-31,5731.6195693718255
2021-12-31,5856.466735626327
2022-12-31,5919.032172417765
2023-12-31,5919.245721263917
2024-12-31,5808.881592514475
2025-12-31,5933.728758769394
2026-12-31,5996.294195561326
2027-12-31,5996.507744407323
2028-12-31,5886.143615658277
2029-12-31,6010.990781913677
2030-12-31,6073.556218704767
2001-12-31,404632.484338201
2002-12-31,410407.3007726718
2003-12-31,414606.4610760475
2004-12-31,417836.4500970541
2005-12-31,425231.9308397261
2006-12-31,431052.1500434364
2007-12-31,435296.71296036383
2008-12-31,438546.093166887
2009-12-31,444463.4395143764
2010-12-31,448805.52124213
2011-12-31,451571.9464364796
2012-12-31,453343.22088635515
2013-12-31,459260.56671545375
2014-12-31,463602.64837557706
2015-12-31,467001.70711956674
2016-12-31,469423.96543047857
2017-12-31,475991.0221835782
2018-12-31,480982.81437291484
2019-12-31,484398.95044107316
2020-12-31,486821.7161031526
2021-12-31,493388.7728562475
2022-12-31,498380.5650455741
2023-12-31,501796.70111372136
2024-12-31,504219.4667757985
2025-12-31,510786.52352890547
2026-12-31,515778.315718242
2027-12-31,519194.4517863786
2028-12-31,521617.21744846215
2029-12-31,528184.2742015817
2030-12-31,533176.0663909009
2001-12-31,129604.70803435147
2002-12-31,131255.8981821318
2003-12-31,132895.3905552622
2004-12-31,133513.29331797748
2005-12-31,135178.53732392818
2006-12-31,136831.4471651186
