county,year,totalpopulation,average_yearly_wage,lowtiermedianhomevalue,hightiermedianhomevalue,singlefamilymedianhomevalue,value_inches,murder,rape,robbery,aggravated_assault,burglary,larceny,motor_vehicle_theft,index_per_100k,employment,unemployment,labor_force,unemployment_rate,county_code
Alachua,2001,222935,26917,72233.0,198921.0,121316.0,45.63,8.0,176.0,453.0,1240.0,2918.0,7736.0,1031.0,6083.0,114284.0,4263,118547,0.036,0
Alachua,2002,228607,27648,76757.0,210486.0,129499.0,58.4,7.0,189.0,335.0,1264.0,2768.0,7429.0,895.0,5637.0,113387.0,4776,118163,0.04,0
Alachua,2003,231296,28867,83740.0,228059.0,141447.0,53.7,7.0,160.0,304.0,1413.0,2542.0,6782.0,877.0,5225.0,114641.0,4446,119087,0.037,0
Alachua,2004,236174,30939,95977.0,260733.0,162329.0,64.46,8.0,194.0,310.0,1325.0,2533.0,6064.0,744.0,4733.0,115973.0,4283,120256,0.036,0
Alachua,2005,240764,33145,111818.0,301074.0,187998.0,54.2,7.0,233.0,291.0,1511.0,2442.0,6448.0,749.0,4852.0,119924.0,3626,123550,0.029,0
Alachua,2006,243779,34748,130667.0,345131.0,217399.0,37.3,13.0,239.0,382.0,1558.0,2779.0,7530.0,794.0,5454.0,122471.0,3372,125843,0.027,0
Alachua,2007,247561,36456,135485.0,354738.0,224103.0,44.1,7.0,197.0,409.0,1574.0,2920.0,7070.0,768.0,5229.0,125102.0,3908,129010,0.03,0
Alachua,2008,252388,37469,125463.0,325363.0,206437.0,45.17,4.0,173.0,353.0,1380.0,2747.0,7179.0,657.0,4950.0,125425.0,5821,131246,0.044,0
Alachua,2009,256232,39080,110449.0,288381.0,183571.0,53.1,5.0,191.0,374.0,1414.0,2858.0,7253.0,686.0,4988.0,120579.0,9236,129815,0.071,0
Alachua,2010,247336,39688,102223.0,269990.0,172110.0,45.0,12.0,154.0,298.0,1093.0,2297.0,6387.0,493.0,4198.0,117504.0,9880,127384,0.078,0
Alachua,2012,246770,40775,82088.0,230283.0,144969.0,59.51,10.0,168.0,253.0,1057.0,1919.0,6372.0,357.0,4107.0,120238.0,8841,129079,0.068,0
Alachua,2013,248002,41588,83601.0,235069.0,149074.0,52.13,9.0,114.0,236.0,1023.0,1486.0,5996.0,362.0,3720.0,121314.0,7693,129007,0.06,0
Alachua,2014,250730,42691,88593.0,248717.0,158633.0,58.97,3.0,164.0,236.0,1003.0,1339.0,5879.0,421.0,3607.0,122367.0,6934,129301,0.054,0
Alachua,2015,254893,43598,92215.0,256906.0,164952.0,52.27,3.0,183.0,312.0,999.0,1236.0,5722.0,411.0,3478.0,123941.0,6052,129993,0.047,0
Alachua,2016,257062,44257,98319.0,268422.0,173570.0,46.39,4.0,216.0,271.0,966.0,1256.0,5963.0,534.0,3583.0,127302.0,5753,133055,0.043,0
Alachua,2017,260003,45705,107574.0,288320.0,187389.0,63.47,9.0,249.0,290.0,1097.0,1120.0,5751.0,524.0,3477.0,130056.0,5216,135272,0.039,0
Alachua,2018,263291,47858,114833.0,300367.0,197879.0,66.46,14.0,285.0,337.0,1175.0,1144.0,6170.0,633.0,3706.0,132658.0,4572,137230,0.033,0
Baker,2001,22562,23903,44580.0,135928.0,84900.0,44.01,1.0,3.0,4.0,83.0,78.0,337.0,38.0,2411.0,10060.0,443,10503,0.042,1
Baker,2002,22992,24108,51104.0,149413.0,94328.0,55.88,0.0,2.0,17.0,66.0,63.0,302.0,38.0,2122.0,9957.0,502,10459,0.048,1
Baker,2003,23383,25370,56025.0,161746.0,102230.0,56.98,0.0,1.0,10.0,53.0,89.0,296.0,42.0,2100.0,9922.0,504,10426,0.048,1
Baker,2004,23963,26503,65047.0,188634.0,118404.0,60.88,1.0,2.0,11.0,72.0,89.0,293.0,32.0,2087.0,10171.0,430,10601,0.041,1
Baker,2005,23953,27483,80196.0,230740.0,145879.0,58.9,0.0,5.0,10.0,107.0,78.0,383.0,23.0,2530.0,10751.0,361,11112,0.032,1
Baker,2006,25004,28143,91632.0,259273.0,166659.0,41.39,2.0,4.0,7.0,70.0,30.0,340.0,33.0,1944.0,11219.0,329,11548,0.028,1
Baker,2007,25623,28338,88792.0,250200.0,161143.0,44.56,3.0,5.0,4.0,69.0,28.0,277.0,21.0,1588.0,11477.0,436,11913,0.037,1
Baker,2008,25890,29124,75324.0,211041.0,136274.0,53.73,1.0,3.0,5.0,50.0,37.0,219.0,20.0,1294.0,11531.0,714,12245,0.058,1
Baker,2009,25899,29509,65049.0,181501.0,116914.0,53.28,1.0,13.0,8.0,31.0,68.0,298.0,13.0,1668.0,10887.0,1224,12111,0.101,1
Baker,2010,27115,29649,59521.0,165107.0,106369.0,41.2,0.0,1.0,7.0,39.0,51.0,272.0,13.0,1476.0,10197.0,1256,11453,0.11,1
Baker,2011,26927,30733,55781.0,154098.0,99638.0,49.36,0.0,4.0,6.0,32.0,43.0,259.0,11.0,1318.0,10274.0,1167,11441,0.102,1
Baker,2012,26938,30616,55689.0,153836.0,99876.0,61.23,0.0,4.0,9.0,39.0,51.0,230.0,16.0,1296.0,10277.0,998,11275,0.089,1
Baker,2013,26881,30955,60193.0,165902.0,108046.0,51.31,0.0,0.0,4.0,82.0,98.0,257.0,15.0,1696.0,10377.0,869,11246,0.077,1
Baker,2014,26991,31589,66531.0,182723.0,119204.0,62.13,0.0,1.0,6.0,114.0,70.0,237.0,10.0,1623.0,10454.0,738,11192,0.066,1
Baker,2015,27017,31746,73998.0,201558.0,132288.0,43.93,0.0,1.0,8.0,102.0,106.0,256.0,12.0,1795.0,10584.0,633,11217,0.056,1
Baker,2016,26965,32118,83988.0,225115.0,149259.0,45.27,1.0,4.0,8.0,105.0,103.0,194.0,19.0,1610.0,10892.0,564,11456,0.049,1
Baker,2017,27191,33240,91936.0,244925.0,163166.0,55.18,2.0,5.0,5.0,79.0,101.0,208.0,22.0,1552.0,11149.0,492,11641,0.042,1
Baker,2018,27652,33877,99162.0,262403.0,175721.0,52.8,2.0,5.0,7.0,81.0,49.0,215.0,24.0,1385.0,11228.0,407,11635,0.035,1
Bay,2001,150287,26433,77025.0,224764.0,123711.0,47.7,6.0,121.0,185.0,683.0,1455.0,6049.0,361.0,5895.0,68857.0,3835,72692,0.053,2
Bay,2002,152186,27448,80938.0,234662.0,129450.0,59.21,8.0,119.0,180.0,828.0,1722.0,6392.0,399.0,6340.0,69782.0,4328,74110,0.058,2
Bay,2003,154827,29127,88587.0,253578.0,140813.0,71.85,7.0,121.0,215.0,816.0,1855.0,6406.0,450.0,6375.0,71922.0,4058,75980,0.053,2
Bay,2004,158437,30257,104998.0,301210.0,165994.0,54.79,11.0,97.0,163.0,801.0,1632.0,5493.0,517.0,5500.0,75238.0,3564,78802,0.045,2
Bay,2005,161721,31894,136022.0,392382.0,214211.0,58.16,4.0,93.0,164.0,790.0,1373.0,5001.0,380.0,4826.0,79474.0,2932,82406,0.036,2
Bay,2006,165515,33341,159522.0,442988.0,247950.0,43.72,5.0,98.0,184.0,999.0,1386.0,4720.0,379.0,4695.0,83077.0,2671,85748,0.031,2
Bay,2007,167631,33950,155808.0,419706.0,238102.0,40.96,8.0,109.0,171.0,682.0,1569.0,4870.0,400.0,4658.0,83532.0,3222,86754,0.037,2
Bay,2008,169307,34361,143700.0,381027.0,218231.0,58.84,11.0,95.0,172.0,736.0,1615.0,4747.0,363.0,4571.0,83626.0,5027,88653,0.057,2
Bay,2009,169562,34857,125403.0,329869.0,190814.0,61.62,9.0,83.0,170.0,663.0,1725.0,5108.0,331.0,4771.0,80695.0,8115,88810,0.091,2
Bay,2010,168852,35948,116284.0,296874.0,176230.0,46.66,12.0,61.0,158.0,608.0,1646.0,5566.0,342.0,4921.0,76683.0,8683,85366,0.102,2
Bay,2011,169278,35906,103462.0,271602.0,158850.0,45.73,12.0,62.0,173.0,636.0,1628.0,5472.0,324.0,4907.0,77872.0,8855,86727,0.102,2
Bay,2012,169392,35546,98683.0,263999.0,154009.0,58.3,9.0,70.0,168.0,595.0,1558.0,5538.0,295.0,4860.0,78467.0,7687,86154,0.089,2
Bay,2013,169866,35755,102132.0,271963.0,159102.0,75.63,8.0,85.0,164.0,589.0,1278.0,5375.0,302.0,4592.0,79650.0,6560,86210,0.076,2
Bay,2014,170781,36828,108755.0,287448.0,169160.0,66.08,17.0,80.0,140.0,633.0,1274.0,5480.0,402.0,4700.0,81720.0,5706,87426,0.065,2
Bay,2015,173310,37790,114011.0,297223.0,176054.0,57.66,9.0,76.0,159.0,662.0,1214.0,5321.0,377.0,4511.0,83026.0,4858,87884,0.055,2
Bay,2016,176016,38770,121034.0,308579.0,183701.0,63.98,9.0,87.0,133.0,668.0,1127.0,5013.0,427.0,4241.0,83963.0,4246,88209,0.048,2
Bay,2017,178820,39317,127651.0,318654.0,191755.0,55.45,11.0,80.0,103.0,705.0,1190.0,5082.0,489.0,4284.0,84453.0,3698,88151,0.042,2
Bay,2018,181199,40652,140110.0,342985.0,207981.0,70.18,7.0,72.0,98.0,583.0,1173.0,4301.0,500.0,3716.0,84306.0,3628,87934,0.041,2
Bradford,2001,26080,26350,32498.0,126547.0,71715.0,43.83,1.0,15.0,15.0,112.0,226.0,452.0,55.0,3359.0,10313.0,492,10805,0.046,3
Bradford,2002,26517,27106,35190.0,136742.0,77207.0,56.45,2.0,9.0,6.0,113.0,239.0,325.0,54.0,2821.0,10470.0,490,10960,0.045,3
Bradford,2003,26972,27179,38656.0,148371.0,83449.0,57.52,0.0,2.0,11.0,93.0,179.0,321.0,48.0,2425.0,10855.0,467,11322,0.041,3
Bradford,2004,27740,28489,45070.0,172548.0,95621.0,62.06,0.0,13.0,8.0,120.0,140.0,347.0,48.0,2437.0,11123.0,459,11582,0.04,3
Bradford,2005,28118,29666,56210.0,210151.0,116695.0,54.2,1.0,9.0,6.0,111.0,121.0,281.0,35.0,2006.0,11334.0,375,11709,0.032,3
Bradford,2006,28551,29425,65099.0,238114.0,133704.0,38.92,0.0,8.0,13.0,98.0,114.0,347.0,41.0,2175.0,11843.0,348,12191,0.029,3
Bradford,2007,29055,30034,64116.0,230062.0,130114.0,43.04,1.0,8.0,12.0,119.0,209.0,393.0,61.0,2764.0,11917.0,424,12341,0.034,3
Bradford,2008,29059,30670,55263.0,195462.0,111158.0,47.89,1.0,7.0,7.0,135.0,222.0,336.0,58.0,2636.0,11856.0,619,12475,0.05,3
Bradford,2009,29085,30880,47199.0,165667.0,94994.0,56.52,0.0,11.0,12.0,127.0,240.0,341.0,56.0,2706.0,11467.0,1006,12473,0.081,3
Bradford,2010,28520,30769,43548.0,151634.0,87147.0,42.9,1.0,6.0,11.0,63.0,191.0,395.0,14.0,2378.0,10393.0,1097,11490,0.095,3
Bradford,2011,28662,30838,41181.0,142930.0,82290.0,48.39,0.0,4.0,6.0,109.0,152.0,457.0,37.0,2669.0,10403.0,1036,11439,0.091,3
Bradford,2012,27239,31467,41835.0,144776.0,83001.0,64.37,0.0,12.0,6.0,101.0,179.0,339.0,26.0,2434.0,10210.0,864,11074,0.078,3
Bradford,2013,27217,32678,45468.0,156726.0,89943.0,49.81,1.0,11.0,11.0,100.0,110.0,259.0,19.0,1878.0,10232.0,719,10951,0.066,3
Bradford,2014,27323,34199,49998.0,171689.0,98513.0,56.05,0.0,16.0,7.0,80.0,79.0,220.0,16.0,1530.0,10110.0,623,10733,0.058,3
Bradford,2015,27310,35763,54638.0,188066.0,108588.0,48.82,0.0,8.0,14.0,71.0,89.0,201.0,12.0,1446.0,10260.0,526,10786,0.049,3
Bradford,2016,27440,35692,59221.0,204385.0,118243.0,43.58,2.0,4.0,8.0,116.0,113.0,216.0,20.0,1746.0,10427.0,469,10896,0.043,3
Bradford,2017,27642,35630,63264.0,217546.0,125373.0,63.27,0.0,3.0,5.0,92.0,117.0,244.0,27.0,1765.0,10827.0,414,11241,0.037,3
Bradford,2018,28057,37468,67892.0,230865.0,132973.0,60.87,1.0,6.0,10.0,79.0,97.0,255.0,38.0,1707.0,10754.0,383,11137,0.034,3
Brevard,2001,485178,32798,71607.0,194480.0,117156.0,57.03,15.0,270.0,659.0,2616.0,4263.0,14725.0,1419.0,4940.0,226249.0,10770,237019,0.045,4
Brevard,2002,494102,33913,78598.0,213713.0,127895.0,56.31,12.0,326.0,636.0,2964.0,4827.0,13058.0,1304.0,4681.0,224093.0,13935,238028,0.059,4
Brevard,2003,507810,35280,88276.0,240490.0,143272.0,46.73,22.0,338.0,539.0,2512.0,4798.0,12060.0,1324.0,4252.0,229392.0,12843,242235,0.053,4
Brevard,2004,521422,37912,106765.0,295853.0,173318.0,54.77,14.0,253.0,502.0,2502.0,4261.0,9935.0,1178.0,3576.0,237866.0,11487,249353,0.046,4
Brevard,2005,531970,38287,141009.0,382825.0,225766.0,60.62,18.0,297.0,499.0,2390.0,4348.0,11499.0,1188.0,3805.0,250969.0,9466,260435,0.036,4
