ds,yhat
2001-12-31,223752.33757622438
2002-12-31,227557.80886110582
2003-12-31,231732.06617186533
2004-12-31,236653.46481774372
2005-12-31,240100.18660277184
2006-12-31,243700.94637967605
2007-12-31,247658.31671255507
2008-12-31,252345.66727593765
2009-12-31,253346.50051480514
2010-12-31,250177.40007661196
2011-12-31,247382.43042201476
2012-12-31,246770.53322164985
2013-12-31,248230.7168377631
2014-12-31,250882.16039990747
2015-12-31,253907.0253361269
2016-12-31,257675.88262052875
2017-12-31,260423.17505860614
2018-12-31,263529.2169384983
2019-12-31,267004.04484995006
2020-12-31,271224.09787710884
2021-12-31,273971.3903151158
2022-12-31,277077.43219501484
2023-12-31,280552.26010644576
2024-12-31,284772.3131337211
2025-12-31,287519.6055717472
2026-12-31,290625.64745163935
2027-12-31,294100.4753630059
2028-12-31,298320.5283902278
2029-12-31,301067.82082830364
2030-12-31,304173.86270812957
2001-12-31,22416.52068118703
2002-12-31,22938.02247732142
2003-12-31,23584.80594428046
2004-12-31,23920.23235115317
2005-12-31,24316.077238605965
2006-12-31,24839.734697080814
2007-12-31,25488.673823052664
2008-12-31,25825.632372593478
2009-12-31,26222.77800842783
2010-12-31,26746.435470859964
2011-12-31,26964.466541447437
2012-12-31,26869.09144590749
2013-12-31,26835.080578148856
2014-12-31,26927.58077179361
2015-12-31,27145.362637840197
2016-12-31,27050.25940099242
2017-12-31,27311.54430349393
2018-12-31,27699.34102991654
2019-12-31,28212.419424839958
2020-12-31,28413.145018965646
2021-12-31,28674.42992147567
2022-12-31,29062.22664789836
2023-12-31,29575.305042825938
2024-12-31,29776.030636937452
2025-12-31,30037.315539443975
2026-12-31,30425.112265866577
2027-12-31,30938.19066080312
2028-12-31,31138.916254919484
2029-12-31,31400.201157420015
2030-12-31,31787.997883850476
2001-12-31,151481.10152620287
2002-12-31,153674.7876119518
2003-12-31,154246.2387687841
2004-12-31,158681.61227927177
2005-12-31,162497.66792268906
2006-12-31,164691.35383437382
2007-12-31,165262.74454617326
2008-12-31,167698.84856315362
2009-12-31,169518.61651871723
2010-12-31,169711.94483171625
2011-12-31,168281.9871955955
2012-12-31,170710.46860978956
2013-12-31,172525.11532593824
2014-12-31,172717.39246428892
2015-12-31,171287.40146760855
2016-12-31,173706.19400603714
2017-12-31,175496.59195889864
2018-12-31,175664.62034725497
2019-12-31,174210.41379347816
2020-12-31,176614.57987260734
2021-12-31,178404.97782547123
2022-12-31,178573.00621382197
2023-12-31,177118.79966003174
2024-12-31,179522.9657391571
2025-12-31,181313.36369203037
2026-12-31,181481.39208038634
2027-12-31,180027.185526589
2028-12-31,182431.35160573164
2029-12-31,184221.7495585995
2030-12-31,184389.77794697115
2001-12-31,26004.26286452954
2002-12-31,26603.86433592045
2003-12-31,27272.205132640313
2004-12-31,27508.11931014438
2005-12-31,28038.98941482026
2006-12-31,28562.07938840012
2007-12-31,29033.26970002351
2008-12-31,29069.895104241972
2009-12-31,28925.164447275347
2010-12-31,28596.88121887806
2011-12-31,28337.337312662745
2012-12-31,27642.824637601952
2013-12-31,27246.187685548743
2014-12-31,27269.769943996027
2015-12-31,27362.499345980224
2016-12-31,27400.08388833587
2017-12-31,27733.734687407283
2018-12-31,28135.796616014424
2019-12-31,28606.59786658373
2020-12-31,28644.431293769812
2021-12-31,28978.08209283808
2022-12-31,29380.14402144544
2023-12-31,29850.945272014505
2024-12-31,29888.77869920511
2025-12-31,30222.429498273967
2026-12-31,30624.49142688117
2027-12-31,31095.29267744793
2028-12-31,31133.1261046352
2029-12-31,31466.77690370738
2030-12-31,31868.83883230932
2001-12-31,485177.9999999911
2002-12-31,494102.0000000028
2003-12-31,507810.0000000007
2004-12-31,521422.00000000256
2005-12-31,531970.0000000023
2006-12-31,543049.9999999881
2007-12-31,552108.9999999949
2008-12-31,556213.0000000042
2009-12-31,555657.000000006
2010-12-31,543376.0000000054
2011-12-31,545183.9999999896
2012-12-31,545625.0000000012
2013-12-31,548423.9999999992
2014-12-31,552426.9999999905
2015-12-31,561713.9999999942
2016-12-31,568918.9999999976
2017-12-31,575210.9999999913
2018-12-31,583562.9999999974
2019-12-31,594469.0000000042
2020-12-31,606670.9999999937
2021-12-31,612962.9999939644
2022-12-31,621314.9999937161
2023-12-31,632220.9999935084
2024-12-31,644422.9999966075
2025-12-31,650714.99999642
2026-12-31,659066.9999964207
2027-12-31,669972.9999935733
2028-12-31,682174.9999934325
2029-12-31,688466.9999942074
2030-12-31,696818.9999894005
2001-12-31,1649925.000000206
2002-12-31,1669152.9999998524
2003-12-31,1698425.0000000356
2004-12-31,1723130.9999999478
2005-12-31,1740987.0000001183
2006-12-31,1753162.000000147
2007-12-31,1765706.99999971
2008-12-31,1758494.000000149
2009-12-31,1744921.9999999017
2010-12-31,1748065.9999998787
2011-12-31,1753161.9999997688
2012-12-31,1771099.000000372
2013-12-31,1784714.9999995301
2014-12-31,1803902.9999997865
2015-12-31,1827367.0000000226
2016-12-31,1854513.0000001348
2017-12-31,1873969.9999998293
2018-12-31,1897976.0000001008
2019-12-31,1919644.0000001113
2020-12-31,1932212.0000000903
2021-12-31,1951669.0000562314
2022-12-31,1975675.0000561045
2023-12-31,1997343.0000794102
2024-12-31,2009910.9999738592
2025-12-31,2029368.0000186563
2026-12-31,2053374.0000190812
2027-12-31,2075042.0001012392
2028-12-31,2087610.0000373228
2029-12-31,2107067.0000331244
2030-12-31,2131073.0001009665
2001-12-31,13126.899482978413
2002-12-31,13333.865403852738
2003-12-31,13366.138372910526
2004-12-31,13610.740426942608
2005-12-31,13992.423098687297
2006-12-31,14199.389018257007
2007-12-31,14231.443356412929
2008-12-31,14341.801919267258
2009-12-31,14589.322016246744
2010-12-31,14661.486427110207
2011-12-31,14558.510395500318
2012-12-31,14583.444009444136
2013-12-31,14745.988094306176
2014-12-31,14733.805823392438
2015-12-31,14546.882971463237
2016-12-31,14571.561550793682
2017-12-31,14733.834695795362
2018-12-31,14721.39108966457
2019-12-31,14534.254531783947
2020-12-31,14558.845936678634
2021-12-31,14721.119081680046
2022-12-31,14708.675475548433
2023-12-31,14521.538917666301
2024-12-31,14546.130322561048
2025-12-31,14708.40346756365
2026-12-31,14695.959861432859
2027-12-31,14508.823303549532
2028-12-31,14533.414708445613
2029-12-31,14695.687853448533
2030-12-31,14683.244247317789
2001-12-31,145400.43155120162
2002-12-31,147748.35280895146
2003-12-31,151627.3522819729
2004-12-31,156344.76331273786
2005-12-31,157160.59946887282
2006-12-31,159508.5207163103
2007-12-31,163386.6884213389
2008-12-31,164886.27940715104
2009-12-31,162487.2553414677
2010-12-31,161617.77631288758
2011-12-31,162279.3755013486
2012-12-31,163777.0528971661
2013-12-31,163386.96554809128
2014-12-31,164531.48112793372
2015-12-31,167210.50630089815
2016-12-31,171400.58957712245
2017-12-31,173317.42688281607
2018-12-31,176766.3492817355
2019-12-31,181746.349899619
2020-12-31,187567.77851834032
2021-12-31,189484.61582404672
2022-12-31,192933.5382229766
2023-12-31,197913.5388408758
2024-12-31,203734.96745958197
2025-12-31,205651.80476527373
2026-12-31,209100.72716419338
2027-12-31,214080.72778211295
2028-12-31,219902.15640081736
2029-12-31,221818.9937064912
2030-12-31,225267.91610543808
2001-12-31,120477.90640595838
2002-12-31,122987.29553974388
2003-12-31,125817.79554027003
2004-12-31,129122.55216413764
2005-12-31,132623.70275467145
2006-12-31,136747.7477069141
2007-12-31,140124.00089289853
2008-12-31,142043.01844139904
2009-12-31,142595.16698830514
2010-12-31,141249.81098769218
2011-12-31,140955.98321002588
2012-12-31,140774.8425270741
2013-12-31,140505.1824063003
2014-12-31,140784.18260164818
2015-12-31,141514.81987300614
2016-12-31,142979.37872133183
2017-12-31,143977.54644047146
2018-12-31,145598.6085293213
2019-12-31,147764.48814717354
