ds,yhat
2001-12-31,154270.2979216184
2002-12-31,158552.04031534956
2003-12-31,163629.15247716813
2004-12-31,159622.4824890491
2005-12-31,163106.2763217069
2006-12-31,167388.01871391098
2007-12-31,172465.13087574317
2008-12-31,168458.46088473685
2009-12-31,171942.2547117456
2010-12-31,176223.99709763995
2012-12-31,177294.43925802136
2013-12-31,180778.23308385126
2014-12-31,185059.97547140633
2015-12-31,190137.0876303318
2016-12-31,186130.4176384713
2017-12-31,189614.2114694126
2018-12-31,193895.9538611712
2019-12-31,198973.06602231052
2020-12-31,194966.39603153255
2021-12-31,198450.18986247582
2022-12-31,202731.93225422985
2023-12-31,207809.04441538168
2024-12-31,203802.37442458805
2025-12-31,207286.16825552736
2026-12-31,211567.910647286
2027-12-31,216645.02280844844
2028-12-31,212638.35281763994
2029-12-31,216122.14664859936
2030-12-31,220403.88904031337
2001-12-31,100666.70376608518
2002-12-31,104689.44774062409
2003-12-31,108879.85840069935
2004-12-31,110091.51182170137
2005-12-31,113945.68707990751
2006-12-31,117968.43110687246
2007-12-31,122158.84187542359
2008-12-31,123370.49541867017
2009-12-31,127224.67074736174
2010-12-31,131247.41477416002
2011-12-31,135437.82549537867
2012-12-31,136649.4789554412
2013-12-31,140503.65428150207
2014-12-31,144526.39838817646
2015-12-31,148716.8091824577
2016-12-31,149928.46276981197
2017-12-31,153782.63825118207
2018-12-31,157805.38245259778
2019-12-31,161995.7933639226
2020-12-31,163207.44702137716
2021-12-31,167061.62250274784
2022-12-31,171084.36670416163
2023-12-31,175274.77761549
2024-12-31,176486.43127293867
2025-12-31,180340.60675430865
2026-12-31,184363.3509557243
2027-12-31,188553.76186705614
2028-12-31,189765.41552450048
2029-12-31,193619.5910058776
2030-12-31,197642.33520727832
2001-12-31,164026.10226884467
2002-12-31,166082.5378487794
2003-12-31,168278.24964885664
2004-12-31,170718.26254132623
2005-12-31,172635.45729456344
2006-12-31,174691.89286801967
2007-12-31,176887.6046694001
2008-12-31,179327.61757400754
2009-12-31,181244.81234124824
2010-12-31,183301.24793358165
2011-12-31,185496.95974974206
2012-12-31,187936.97266898752
2013-12-31,189854.1674480296
2014-12-31,191910.60304333223
2015-12-31,194106.31485089334
2016-12-31,196546.32775542588
2017-12-31,198463.52252673396
2018-12-31,200519.95812069072
2019-12-31,202715.66993501654
2020-12-31,205155.68284849077
2021-12-31,207072.87761979917
2022-12-31,209129.31321375736
2023-12-31,211325.02502808475
2024-12-31,213765.03794155864
2025-12-31,215682.23271286557
2026-12-31,217738.66830682236
2027-12-31,219934.38012115128
2028-12-31,222374.39303462405
2029-12-31,224291.58780593006
2030-12-31,226348.02339988973
2001-12-31,84644.86954294573
2002-12-31,87447.24667331787
2003-12-31,90427.20518498127
2004-12-31,90906.9994997258
2005-12-31,93531.05125811743
2006-12-31,96333.42838592757
2007-12-31,99313.38689811264
2008-12-31,99793.1812134147
2009-12-31,102417.23297222357
2010-12-31,105219.61010219132
2011-12-31,108199.56861433365
2012-12-31,108679.36293252674
2013-12-31,111303.41469523945
2014-12-31,114105.79182704588
2015-12-31,117085.75034156491
2016-12-31,117565.54466103185
2017-12-31,120189.59642540023
2018-12-31,122991.97355916818
2019-12-31,125971.93207561626
2020-12-31,126451.72639781491
2021-12-31,129075.77816218373
2022-12-31,131878.1552959503
2023-12-31,134858.11381240163
2024-12-31,135337.90813459555
2025-12-31,137961.9598989635
2026-12-31,140764.3370327315
2027-12-31,143744.2955491858
2028-12-31,144224.08987137582
2029-12-31,146848.14163574966
2030-12-31,149650.51876950532
2001-12-31,151721.70030329793
2002-12-31,155022.49724853973
2003-12-31,158344.7402507056
2004-12-31,158253.78048194633
2005-12-31,161532.03985575968
2006-12-31,164832.8367973726
2007-12-31,168155.07979714993
2008-12-31,168064.12002807902
2009-12-31,171342.37940156658
2010-12-31,174643.17634413583
2011-12-31,177965.41934472325
2012-12-31,177874.45957556093
2013-12-31,181152.71895096145
2014-12-31,184453.51589519196
2015-12-31,187775.75889790658
2016-12-31,187684.7991314111
2017-12-31,190963.05850761483
2018-12-31,194263.85545275334
2019-12-31,197586.09845530562
2020-12-31,197495.13868820132
2021-12-31,200773.39806440574
2022-12-31,204074.19500954082
2023-12-31,207396.43801209613
2024-12-31,207305.47824498464
2025-12-31,210583.73762118924
2026-12-31,213884.5345663277
2027-12-31,217206.77756888582
2028-12-31,217115.81780177046
2029-12-31,220394.07717798403
2030-12-31,223694.87412310444
2001-12-31,208748.87113008555
2002-12-31,217278.04191574056
2003-12-31,226199.8654607613
2004-12-31,220555.8248410185
2005-12-31,228687.91524708268
2006-12-31,237217.08603714895
2007-12-31,246138.90958662948
2008-12-31,240494.86897017682
2009-12-31,248626.95937757884
2010-12-31,257156.13017168798
2011-12-31,266077.95372410136
2012-12-31,260433.9131108973
2013-12-31,268566.00352018396
2014-12-31,277095.17431923223
2015-12-31,286016.9978735692
2016-12-31,280372.9572577049
2017-12-31,288505.0476679476
2018-12-31,297034.2184647592
2019-12-31,305956.0420192635
2020-12-31,300312.0014058594
2021-12-31,308444.0918161047
2022-12-31,316973.262612903
2023-12-31,325895.0861674203
2024-12-31,320251.0455539887
