state,county,year,totalpopulation,unincorporatedpop,incorporatedpop,average_yearly_wage,lowtiermedianhomevalue,hightiermedianhomevalue,singlefamilymedianhomevalue,value_inches,murder,rape,robbery,aggravated_assault,burglary,larceny,motor_vehicle_theft,index_per_100k,employment,unemployment,labor_force,unemployment_rate
Florida,Alachua,2001,222935,108532,114403,26917,72233,198921,121316,45.63,8,176,453,1240,2918,7736,1031,6083,114284,4263,118547,0.036
Florida,Alachua,2002,228607,111939,116668,27648,76757,210486,129499,58.4,7,189,335,1264,2768,7429,895,5637,113387,4776,118163,0.04
Florida,Alachua,2003,231296,95161,136135,28867,83740,228059,141447,53.7,7,160,304,1413,2542,6782,877,5225,114641,4446,119087,0.037
Florida,Alachua,2004,236174,98755,137419,30939,95977,260733,162329,64.46,8,194,310,1325,2533,6064,744,4733,115973,4283,120256,0.036
Florida,Alachua,2005,240764,100507,140257,33145,111818,301074,187998,54.2,7,233,291,1511,2442,6448,749,4852,119924,3626,123550,0.029
Florida,Alachua,2006,243779,101950,141829,34748,130667,345131,217399,37.3,13,239,382,1558,2779,7530,794,5454,122471,3372,125843,0.027
Florida,Alachua,2007,247561,103217,144344,36456,135485,354738,224103,44.1,7,197,409,1574,2920,7070,768,5229,125102,3908,129010,0.03
Florida,Alachua,2008,252388,105051,147337,37469,125463,325363,206437,45.17,4,173,353,1380,2747,7179,657,4950,125425,5821,131246,0.044
Florida,Alachua,2009,256232,107260,148972,39080,110449,288381,183571,53.1,5,191,374,1414,2858,7253,686,4988,120579,9236,129815,0.071
Florida,Alachua,2010,247336,98991,148345,39688,102223,269990,172110,45,12,154,298,1093,2297,6387,493,4198,117504,9880,127384,0.078
Florida,Alachua,2011,247337,98928,148409,40206,88550,243519,154451,43.04,12,156,281,1090,2023,6485,435,4238,NULL,9708,128282,0.076
Florida,Alachua,2012,246770,98850,147920,40775,82088,230283,144969,59.51,10,168,253,1057,1919,6372,357,4107,120238,8841,129079,0.068
Florida,Alachua,2013,248002,99282,148720,41588,83601,235069,149074,52.13,9,114,236,1023,1486,5996,362,3720,121314,7693,129007,0.06
Florida,Alachua,2014,250730,100380,150350,42691,88593,248717,158633,58.97,3,164,236,1003,1339,5879,421,3607,122367,6934,129301,0.054
Florida,Alachua,2015,254893,101621,153272,43598,92215,256906,164952,52.27,3,183,312,999,1236,5722,411,3478,123941,6052,129993,0.047
Florida,Alachua,2016,257062,102298,154764,44257,98319,268422,173570,46.39,4,216,271,966,1256,5963,534,3583,127302,5753,133055,0.043
Florida,Alachua,2017,260003,103810,156193,45705,107574,288320,187389,63.47,9,249,290,1097,1120,5751,524,3477,130056,5216,135272,0.039
Florida,Alachua,2018,263291,104904,158387,47858,114833,300367,197879,66.46,14,285,337,1175,1144,6170,633,3706,132658,4572,137230,0.033
Florida,Alachua,2019,267306,106299,161007,49116,123073,314621,208584,52.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,134690,4282,138972,0.031
Florida,Alachua,2020,271588,107807,163781,53345,132096,329247,221279,53.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,127696,7235,134931,0.054
Florida,Baker,2001,22562,17492,5070,23903,44580,135928,84900,44.01,1,3,4,83,78,337,38,2411,10060,443,10503,0.042
Florida,Baker,2002,22992,17818,5174,24108,51104,149413,94328,55.88,0,2,17,66,63,302,38,2122,9957,502,10459,0.048
Florida,Baker,2003,23383,18035,5348,25370,56025,161746,102230,56.98,0,1,10,53,89,296,42,2100,9922,504,10426,0.048
Florida,Baker,2004,23963,18456,5507,26503,65047,188634,118404,60.88,1,2,11,72,89,293,32,2087,10171,430,10601,0.041
Florida,Baker,2005,23953,18270,5683,27483,80196,230740,145879,58.9,0,5,10,107,78,383,23,2530,10751,361,11112,0.032
Florida,Baker,2006,25004,19105,5899,28143,91632,259273,166659,41.39,2,4,7,70,30,340,33,1944,11219,329,11548,0.028
Florida,Baker,2007,25623,19348,6275,28338,88792,250200,161143,44.56,3,5,4,69,28,277,21,1588,11477,436,11913,0.037
Florida,Baker,2008,25890,19564,6326,29124,75324,211041,136274,53.73,1,3,5,50,37,219,20,1294,11531,714,12245,0.058
Florida,Baker,2009,25899,19487,6412,29509,65049,181501,116914,53.28,1,13,8,31,68,298,13,1668,10887,1224,12111,0.101
Florida,Baker,2010,27115,20304,6811,29649,59521,165107,106369,41.2,0,1,7,39,51,272,13,1476,10197,1256,11453,0.11
Florida,Baker,2011,26927,20147,6780,30733,55781,154098,99638,49.36,0,4,6,32,43,259,11,1318,10274,1167,11441,0.102
Florida,Baker,2012,26938,20155,6783,30616,55689,153836,99876,61.23,0,4,9,39,51,230,16,1296,10277,998,11275,0.089
Florida,Baker,2013,26881,20088,6793,30955,60193,165902,108046,51.31,0,0,4,82,98,257,15,1696,10377,869,11246,0.077
Florida,Baker,2014,26991,20188,6803,31589,66531,182723,119204,62.13,0,1,6,114,70,237,10,1623,10454,738,11192,0.066
Florida,Baker,2015,27017,20152,6865,31746,73998,201558,132288,43.93,0,1,8,102,106,256,12,1795,10584,633,11217,0.056
Florida,Baker,2016,26965,20071,6894,32118,83988,225115,149259,45.27,1,4,8,105,103,194,19,1610,10892,564,11456,0.049
Florida,Baker,2017,27191,20211,6980,33240,91936,244925,163166,55.18,2,5,5,79,101,208,22,1552,11149,492,11641,0.042
Florida,Baker,2018,27652,20463,7189,33877,99162,262403,175721,52.8,2,5,7,81,49,215,24,1385,11228,407,11635,0.035
Florida,Baker,2019,28249,20838,7411,33855,103360,273003,183579,39.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11624,392,12016,0.033
Florida,Baker,2020,28532,20889,7643,36345,105031,279667,188866,53.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11179,580,11759,0.049
Florida,Bay,2001,150287,58994,91293,26433,77025,224764,123711,47.7,6,121,185,683,1455,6049,361,5895,68857,3835,72692,0.053
Florida,Bay,2002,152186,60135,92051,27448,80938,234662,129450,59.21,8,119,180,828,1722,6392,399,6340,69782,4328,74110,0.058
Florida,Bay,2003,154827,61258,93569,29127,88587,253578,140813,71.85,7,121,215,816,1855,6406,450,6375,71922,4058,75980,0.053
Florida,Bay,2004,158437,62762,95675,30257,104998,301210,165994,54.79,11,97,163,801,1632,5493,517,5500,75238,3564,78802,0.045
Florida,Bay,2005,161721,64186,97535,31894,136022,392382,214211,58.16,4,93,164,790,1373,5001,380,4826,79474,2932,82406,0.036
Florida,Bay,2006,165515,65551,99964,33341,159522,442988,247950,43.72,5,98,184,999,1386,4720,379,4695,83077,2671,85748,0.031
Florida,Bay,2007,167631,66728,100903,33950,155808,419706,238102,40.96,8,109,171,682,1569,4870,400,4658,83532,3222,86754,0.037
Florida,Bay,2008,169307,66539,102768,34361,143700,381027,218231,58.84,11,95,172,736,1615,4747,363,4571,83626,5027,88653,0.057
Florida,Bay,2009,169562,72558,97004,34857,125403,329869,190814,61.62,9,83,170,663,1725,5108,331,4771,80695,8115,88810,0.091
Florida,Bay,2010,168852,74139,94713,35948,116284,296874,176230,46.66,12,61,158,608,1646,5566,342,4921,76683,8683,85366,0.102
Florida,Bay,2011,169278,74357,94921,35906,103462,271602,158850,45.73,12,62,173,636,1628,5472,324,4907,77872,8855,86727,0.102
Florida,Bay,2012,169392,74417,94975,35546,98683,263999,154009,58.3,9,70,168,595,1558,5538,295,4860,78467,7687,86154,0.089
Florida,Bay,2013,169866,74517,95349,35755,102132,271963,159102,75.63,8,85,164,589,1278,5375,302,4592,79650,6560,86210,0.076
Florida,Bay,2014,170781,74720,96061,36828,108755,287448,169160,66.08,17,80,140,633,1274,5480,402,4700,81720,5706,87426,0.065
Florida,Bay,2015,173310,76398,96912,37790,114011,297223,176054,57.66,9,76,159,662,1214,5321,377,4511,83026,4858,87884,0.055
Florida,Bay,2016,176016,75806,100210,38770,121034,308579,183701,63.98,9,87,133,668,1127,5013,427,4241,83963,4246,88209,0.048
Florida,Bay,2017,178820,77279,101541,39317,127651,318654,191755,55.45,11,80,103,705,1190,5082,489,4284,84453,3698,88151,0.042
Florida,Bay,2018,181199,78463,102736,40652,140110,342985,207981,70.18,7,72,98,583,1173,4301,500,3716,84306,3628,87934,0.041
Florida,Bay,2019,167283,75986,91297,43649,143829,350864,212196,47.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81202,3285,84487,0.039
Florida,Bay,2020,174410,77729,96681,45967,157971,373321,230015,54.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77746,5017,82763,0.061
Florida,Bradford,2001,26080,18973,7107,26350,32498,126547,71715,43.83,1,15,15,112,226,452,55,3359,10313,492,10805,0.046
Florida,Bradford,2002,26517,19410,7107,27106,35190,136742,77207,56.45,2,9,6,113,239,325,54,2821,10470,490,10960,0.045
Florida,Bradford,2003,26972,19999,6973,27179,38656,148371,83449,57.52,0,2,11,93,179,321,48,2425,10855,467,11322,0.041
Florida,Bradford,2004,27740,20706,7034,28489,45070,172548,95621,62.06,0,13,8,120,140,347,48,2437,11123,459,11582,0.04
Florida,Bradford,2005,28118,20847,7271,29666,56210,210151,116695,54.2,1,9,6,111,121,281,35,2006,11334,375,11709,0.032
Florida,Bradford,2006,28551,21051,7500,29425,65099,238114,133704,38.92,0,8,13,98,114,347,41,2175,11843,348,12191,0.029
Florida,Bradford,2007,29055,21463,7592,30034,64116,230062,130114,43.04,1,8,12,119,209,393,61,2764,11917,424,12341,0.034
Florida,Bradford,2008,29059,21509,7550,30670,55263,195462,111158,47.89,1,7,7,135,222,336,58,2636,11856,619,12475,0.05
Florida,Bradford,2009,29085,21701,7384,30880,47199,165667,94994,56.52,0,11,12,127,240,341,56,2706,11467,1006,12473,0.081
Florida,Bradford,2010,28520,21503,7017,30769,43548,151634,87147,42.9,1,6,11,63,191,395,14,2378,10393,1097,11490,0.095
Florida,Bradford,2011,28662,21677,6985,30838,41181,142930,82290,48.39,0,4,6,109,152,457,37,2669,10403,1036,11439,0.091
Florida,Bradford,2012,27239,20264,6975,31467,41835,144776,83001,64.37,0,12,6,101,179,339,26,2434,10210,864,11074,0.078
Florida,Bradford,2013,27217,20130,7087,32678,45468,156726,89943,49.81,1,11,11,100,110,259,19,1878,10232,719,10951,0.066
Florida,Bradford,2014,27323,20259,7064,34199,49998,171689,98513,56.05,0,16,7,80,79,220,16,1530,10110,623,10733,0.058
Florida,Bradford,2015,27310,20358,6952,35763,54638,188066,108588,48.82,0,8,14,71,89,201,12,1446,10260,526,10786,0.049
Florida,Bradford,2016,27440,20398,7042,35692,59221,204385,118243,43.58,2,4,8,116,113,216,20,1746,10427,469,10896,0.043
Florida,Bradford,2017,27642,20598,7044,35630,63264,217546,125373,63.27,0,3,5,92,117,244,27,1765,10827,414,11241,0.037
Florida,Bradford,2018,28057,21200,6857,37468,67892,230865,132973,60.87,1,6,10,79,97,255,38,1707,10754,383,11137,0.034
Florida,Bradford,2019,28682,21725,6957,37634,71532,239158,138740,46.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10577,371,10948,0.034
Florida,Bradford,2020,28725,21708,7017,39784,73142,245600,143161,65.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10150,641,10791,0.059
Florida,Brevard,2001,485178,193121,292057,32798,71607,194480,117156,57.03,15,270,659,2616,4263,14725,1419,4940,226249,10770,237019,0.045
Florida,Brevard,2002,494102,198121,295981,33913,78598,213713,127895,56.31,12,326,636,2964,4827,13058,1304,4681,224093,13935,238028,0.059
Florida,Brevard,2003,507810,204689,303121,35280,88276,240490,143272,46.73,22,338,539,2512,4798,12060,1324,4252,229392,12843,242235,0.053
Florida,Brevard,2004,521422,208239,313183,37912,106765,295853,173318,54.77,14,253,502,2502,4261,9935,1178,3576,237866,11487,249353,0.046
Florida,Brevard,2005,531970,210260,321710,38287,141009,382825,225766,60.62,18,297,499,2390,4348,11499,1188,3805,250969,9466,260435,0.036
Florida,Brevard,2006,543050,213667,329383,39778,165982,429559,261044,41.61,22,278,635,2585,4735,12270,1277,4015,256936,8682,265618,0.033
Florida,Brevard,2007,552109,210967,341142,40975,150348,386364,232215,43.39,32,233,710,2698,4728,12424,1359,4018,254099,11683,265782,0.044
Florida,Brevard,2008,556213,212492,343721,42089,118133,309923,183791,60.34,22,225,663,2685,4935,12445,1268,3999,250742,18098,268840,0.067
Florida,Brevard,2009,555657,212749,342908,43111,92543,255523,149039,44.04,26,242,598,2653,4137,12873,965,3868,238983,27772,266755,0.104
Florida,Brevard,2010,543376,206332,337044,43770,83155,234362,135837,39.19,20,231,531,2324,4273,12187,695,3649,234627,28715,263342,0.109
Florida,Brevard,2011,545184,206763,338421,44185,72713,211694,120477,50.45,15,241,561,2347,4616,12861,748,3923,235001,28678,263679,0.109
Florida,Brevard,2012,545625,205690,339935,44153,73043,213833,121226,41.56,30,265,505,2093,3945,11867,847,3583,235751,25295,261046,0.097
Florida,Brevard,2013,548424,206365,342059,44364,81038,233323,134018,46.16,20,277,470,2049,3751,10952,690,3320,235821,22337,258158,0.087
Florida,Brevard,2014,552427,207313,345114,44484,90591,254934,148864,59.97,17,247,414,1996,2874,10968,667,3110,239073,18496,257569,0.072
Florida,Brevard,2015,561714,210276,351438,45978,101082,277435,163714,48.55,24,338,449,2067,2855,11131,970,3175,241882,15575,257457,0.06
Florida,Brevard,2016,568919,212740,356179,46778,115592,307048,183626,56.28,20,255,451,2144,3249,10454,1154,3116,249817,13601,263418,0.052
Florida,Brevard,2017,575211,215142,360069,48469,130338,333257,203203,58.95,25,235,396,2047,2651,10588,1025,2950,256861,11744,268605,0.044
Florida,Brevard,2018,583563,217902,365661,49685,142222,352359,218059,46.72,29,216,336,1633,2262,9612,880,2565,266546,9942,276488,0.036
Florida,Brevard,2019,594469,221729,372740,51748,149940,363650,226942,56.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,274329,9528,283857,0.034
Florida,Brevard,2020,606671,225616,381055,55572,158940,381371,239553,55.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,262867,18724,281591,0.066
Florida,Broward,2001,1649925,112605,1537320,33966,67651,243448,157649,62.26,90,598,3203,5815,13321,45021,9165,4680,846010,41512,887522,0.047
Florida,Broward,2002,1669153,95415,1573738,34475,78721,275282,182073,57.26,90,582,2979,5311,12717,42822,8310,4362,844709,54000,898709,0.06
Florida,Broward,2003,1698425,88063,1610362,35911,89580,310930,206370,61.53,67,630,2877,5244,11726,41282,7487,4081,855456,49950,905406,0.055
Florida,Broward,2004,1723131,83359,1639772,37905,104862,364796,241251,47.98,63,665,3520,5917,13013,43933,7060,4304,880488,43874,924362,0.047
Florida,Broward,2005,1740987,44870,1696117,39378,130611,452968,300050,58.46,63,664,3372,6143,13414,44903,7213,4352,922294,35325,957619,0.037
