Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2011,Jan,61.2,54.7,9251721,8267299,984422,10.6
2011,Feb,61.1,54.7,9252149,8280635,971514,10.5
2011,Mar,61.1,54.7,9250847,8290918,959929,10.4
2011,Apr,61,54.7,9247888,8297312,950576,10.3
2011,May,60.9,54.7,9246195,8302264,943931,10.2
2011,Jun,60.9,54.7,9247380,8309731,937649,10.1
2011,Jul,60.8,54.7,9251715,8322847,928868,10
2011,Aug,60.8,54.8,9261107,8341528,919579,9.9
2011,Sep,60.7,54.8,9265057,8363923,901134,9.7
2011,Oct,60.7,54.9,9276833,8387525,889308,9.6
2011,Nov,60.7,55,9285382,8409108,876274,9.4
2011,Dec,60.7,55,9289835,8426736,863099,9.3
2012,Jan,60.6,55,9292160,8441097,851063,9.2
2012,Feb,60.6,55.1,9296328,8454837,841491,9.1
2012,Mar,60.5,55.1,9303773,8468399,835374,9
2012,Apr,60.5,55.1,9312582,8481558,831024,8.9
2012,May,60.5,55.1,9322199,8496177,826022,8.9
2012,Jun,60.5,55.2,9332286,8513758,818528,8.8
2012,Jul,60.5,55.3,9342026,8534305,807721,8.6
2012,Aug,60.5,55.3,9352027,8556664,795363,8.5
2012,Sep,60.5,55.4,9363037,8578931,784106,8.4
2012,Oct,60.4,55.4,9372631,8597972,774659,8.3
2012,Nov,60.4,55.5,9379264,8612023,767241,8.2
2012,Dec,60.3,55.5,9382701,8621568,761133,8.1
2013,Jan,60.3,55.4,9383321,8628007,755314,8
2013,Feb,60.2,55.4,9383328,8634844,748484,8
2013,Mar,60.2,55.4,9385906,8646346,739560,7.9
2013,Apr,60.2,55.5,9394008,8664776,729232,7.8
2013,May,60.2,55.6,9405649,8686257,719392,7.6
2013,Jun,60.2,55.6,9417639,8706200,711439,7.6
2013,Jul,60.1,55.6,9427528,8722512,705016,7.5
2013,Aug,60.1,55.6,9432470,8735091,697379,7.4
2013,Sep,60,55.6,9433614,8746255,687359,7.3
2013,Oct,59.9,55.6,9436839,8759566,677273,7.2
2013,Nov,59.9,55.7,9446215,8777668,668547,7.1
2013,Dec,59.9,55.7,9461489,8800149,661340,7
2014,Jan,59.9,55.8,9479786,8825090,654696,6.9
2014,Feb,60,55.9,9497821,8849988,647833,6.8
2014,Mar,60,55.9,9513557,8872130,641427,6.7
2014,Apr,60,56,9525298,8890013,635285,6.7
2014,May,59.9,56,9534040,8905898,628142,6.6
2014,Jun,59.9,56,9543064,8923099,619965,6.5
2014,Jul,59.9,56.1,9553381,8941700,611681,6.4
2014,Aug,59.9,56.1,9565595,8961454,604141,6.3
2014,Sep,59.8,56.1,9577872,8980727,597145,6.2
2014,Oct,59.8,56.1,9586098,8996931,589167,6.1
