County,CountywidePopulation,Unincorporated Population,% of Total,Incorporated Population,% of Total,Year
Alachua *,271588,107807,0.396950528,163781,0.603049472,2020
Baker *,28532,20889,0.732125333,7643,0.267874667,2020
Bay,174410,77729,0.445668253,96681,0.554331747,2020
Bradford,28725,21708,0.755718016,7017,0.244281984,2020
Brevard,606671,225616,0.371891849,381055,0.628108151,2020
Broward *,1932212,15375,0.007957201,1916837,0.992042799,2020
Calhoun,14489,11539,0.796397267,2950,0.203602733,2020
Charlotte,187904,167499,0.891407314,20405,0.108592686,2020
Citrus,149383,138818,0.929275754,10565,0.070724246,2020
Clay,219575,200655,0.913833542,18920,0.086166458,2020
Collier,387450,348362,0.899114724,39088,0.100885276,2020
Columbia *,70617,57709,0.817211153,12908,0.182788847,2020
DeSoto,37082,29096,0.784639448,7986,0.215360552,2020
Dixie,16663,14768,0.88627498,1895,0.11372502,2020
Duval,982080,0,0,982080,1,2020
Escambia,323714,266434,0.823053683,57280,0.176946317,2020
Flagler,114173,16141,0.141373179,98032,0.858626821,2020
Franklin,11864,6874,0.579399865,4990,0.420600135,2020
Gadsden *,46226,27380,0.592307359,18846,0.407692641,2020
Gilchrist,18269,15104,0.826755706,3165,0.173244294,2020
Glades,13609,11831,0.869351165,1778,0.130648835,2020
Gulf,14724,8991,0.610635697,5733,0.389364303,2020
Hamilton,14570,10235,0.70247083,4335,0.29752917,2020
Hardee,27443,17500,0.637685384,9943,0.362314616,2020
Hendry,40953,27781,0.678363001,13172,0.321636999,2020
Hernando,192186,183194,0.953211993,8992,0.046788007,2020
Highlands,104834,79585,0.759152565,25249,0.240847435,2020
Hillsborough *,1478759,1019128,0.689177885,459631,0.310822115,2020
Holmes,20001,15847,0.792310384,4154,0.207689616,2020
Indian River,158834,105833,0.666311999,53001,0.333688001,2020
Jackson *,46587,31199,0.669693262,15388,0.330306738,2020
Jefferson,14394,11957,0.830693344,2437,0.169306656,2020
Lafayette,8690,7473,0.85995397,1217,0.14004603,2020
Lake,366742,167901,0.457817757,198841,0.542182243,2020
Lee,750493,368415,0.490897317,382078,0.509102683,2020
Leon,299484,100857,0.336769243,198627,0.663230757,2020
Levy,41699,32220,0.7726804,9479,0.2273196,2020
Liberty,8575,7663,0.893644315,912,0.106355685,2020
Madison,18954,14964,0.789490345,3990,0.210509655,2020
Manatee,398503,317022,0.79553228,81481,0.20446772,2020
Marion,368135,297855,0.809091773,70280,0.190908227,2020
Martin,161301,134284,0.832505688,27017,0.167494312,2020
Miami-Dade *,2832794,1220446,0.430827656,1612348,0.569172344,2020
Monroe,77823,36477,0.468717474,41346,0.531282526,2020
Nassau,89258,71301,0.798819153,17957,0.201180847,2020
Okaloosa,203951,116954,0.57344166,86997,0.42655834,2020
Okeechobee,42112,36424,0.864931611,5688,0.135068389,2020
Orange *,1415260,893300,0.631191442,521960,0.368808558,2020
Osceola,387055,260514,0.673067135,126541,0.326932865,2020
Palm Beach *,1466494,639000,0.435733116,827494,0.564266884,2020
Pasco,542638,495439,0.913019361,47199,0.086980639,2020
Pinellas *,984054,277494,0.281990622,706560,0.718009378,2020
Polk,715090,437717,0.612114559,277373,0.387885441,2020
Putnam,73723,58386,0.791964516,15337,0.208035484,2020
Santa Rosa,184653,167449,0.90683065,17204,0.09316935,2020
Sarasota,438816,274939,0.626547346,163877,0.373452654,2020
Seminole,476727,226717,0.475569875,250010,0.524430125,2020
St. Johns,261900,239740,0.915387553,22160,0.084612447,2020
St. Lucie,322265,74214,0.230288738,248051,0.769711262,2020
Sumter,141422,118814,0.840138027,22608,0.159861973,2020
Suwannee,45463,37827,0.832039241,7636,0.167960759,2020
Taylor,22436,15499,0.690809413,6937,0.309190587,2020
Union,15410,13033,0.845749513,2377,0.154250487,2020
Volusia,551588,119211,0.216123266,432377,0.783876734,2020
Wakulla,33981,33121,0.97469174,860,0.02530826,2020
Walton,74724,62698,0.839061078,12026,0.160938922,2020
Washington,25334,20157,0.795650114,5177,0.204349886,2020
Alachua,267306,106299,0.397667841,161007,0.602332159,2019
Baker,28249,20838,0.73765443,7411,0.26234557,2019
Bay,167283,75986,0.454236234,91297,0.545763766,2019
Bradford,28682,21725,0.757443693,6957,0.242556307,2019
Brevard,594469,221729,0.372986649,372740,0.627013351,2019
Broward,1919644,15304,0.007972312,1904340,0.992027688,2019
Calhoun,14067,11136,0.791640009,2931,0.208359991,2019
Charlotte,181770,161809,0.890185399,19961,0.109814601,2019
Citrus,147744,136970,0.927076565,10774,0.072923435,2019
Clay,215246,196607,0.913406056,18639,0.086593944,2019
Collier,376706,338008,0.897272674,38698,0.102727326,2019
Columbia,70492,57667,0.818064461,12825,0.181935539,2019
DeSoto,36065,28295,0.784555663,7770,0.215444337,2019
Dixie,16610,14767,0.889042745,1843,0.110957255,2019
Duval,970672,0,0,970672,1,2019
Escambia,321134,264282,0.822964868,56852,0.177035132,2019
Flagler,110635,15499,0.140091291,95136,0.859908709,2019
Franklin,12273,7051,0.574513159,5222,0.425486841,2019
Gadsden,46277,27769,0.600060505,18508,0.399939495,2019
Gilchrist,17766,14867,0.836823145,2899,0.163176855,2019
Glades,13121,11362,0.865940096,1759,0.134059904,2019
Gulf,13082,7652,0.584925852,5430,0.415074148,2019
Hamilton,14600,10054,0.688630137,4546,0.311369863,2019
Hardee,27385,17455,0.637392733,9930,0.362607267,2019
Hendry,40120,27040,0.673978066,13080,0.326021934,2019
Hernando,188358,179688,0.95397063,8670,0.04602937,2019
Highlands,103434,78463,0.758580351,24971,0.241419649,2019
Hillsborough,1444870,988250,0.683971568,456620,0.316028432,2019
Holmes,20049,15753,0.785724974,4296,0.214275026,2019
Indian River,154939,102713,0.662925409,52226,0.337074591,2019
Jackson,46969,31267,0.665694394,15702,0.334305606,2019
Jefferson,14776,12327,0.834258257,2449,0.165741743,2019
Lafayette,8482,7265,0.856519689,1217,0.143480311,2019
Lake,357247,165760,0.4639927,191487,0.5360073,2019
Lee,735148,361315,0.491486068,373833,0.508513932,2019
Leon,296499,100786,0.339920202,195713,0.660079798,2019
Levy,41330,31881,0.771376724,9449,0.228623276,2019
Liberty,8772,7832,0.892840857,940,0.107159143,2019
Madison,19570,15443,0.789115994,4127,0.210884006,2019
Manatee,387414,307843,0.794609901,79571,0.205390099,2019
Marion,360421,290747,0.80668718,69674,0.19331282,2019
Martin,158598,132144,0.833200923,26454,0.166799077,2019
Miami-Dade,2812130,1212200,0.431061153,1599930,0.568938847,2019
Monroe,76212,35294,0.463102923,40918,0.536897077,2019
Nassau,85070,67804,0.797037734,17266,0.202962266,2019
Okaloosa,201514,115579,0.573553202,85935,0.426446798,2019
Okeechobee,41808,36205,0.865982587,5603,0.134017413,2019
Orange,1386080,876910,0.632654681,509170,0.367345319,2019
Osceola,370552,247878,0.668942551,122674,0.331057449,2019
Palm Beach,1447857,629451,0.434746664,818406,0.565253336,2019
Pasco,527122,481604,0.913648074,45518,0.086351926,2019
Pinellas,978045,277559,0.283789601,700486,0.716210399,2019
Polk,690606,423366,0.613035508,267240,0.386964492,2019
Putnam,73268,58015,0.791819075,15253,0.208180925,2019
Santa Rosa,179054,162133,0.905497783,16921,0.094502217,2019
Sarasota,426275,268026,0.628763122,158249,0.371236878,2019
Seminole,471735,224258,0.475389785,247477,0.524610215,2019
St. Johns,254412,233008,0.915868748,21404,0.084131252,2019
St. Lucie,309359,73157,0.236479301,236202,0.763520699,2019
Sumter,128633,110769,0.861124284,17864,0.138875716,2019
Suwannee,45423,37777,0.83167118,7646,0.16832882,2019
Taylor,22458,15427,0.686926708,7031,0.313073292,2019
Union,15505,13094,0.844501774,2411,0.155498226,2019
Volusia,538763,118208,0.219406307,420555,0.780593693,2019
Wakulla,32976,32107,0.973647501,869,0.026352499,2019
Walton,70071,59512,0.849309986,10559,0.150690014,2019
Washington,25387,20164,0.794264781,5223,0.205735219,2019
Alachua,263291,104904,0.398433672,158387,0.601566328,2018
Baker,27652,20463,0.740018805,7189,0.259981195,2018
Bay,181199,78463,0.433021154,102736,0.566978846,2018
Bradford,28057,21200,0.755604662,6857,0.244395338,2018
Brevard,583563,217902,0.373399273,365661,0.626600727,2018
Broward,1897976,15120,0.007966381,1882856,0.992033619,2018
Calhoun,15093,12030,0.797058239,3063,0.202941761,2018
Charlotte,177987,158500,0.890514476,19487,0.109485524,2018
Citrus,145721,135008,0.926482799,10713,0.073517201,2018
Clay,212034,193461,0.912405558,18573,0.087594442,2018
Collier,367347,329501,0.896974795,37846,0.103025205,2018
Columbia,69721,56847,0.815349751,12874,0.184650249,2018
DeSoto,35520,27847,0.783980856,7673,0.216019144,2018
Dixie,16489,14622,0.886773,1867,0.113227,2018
Duval,952861,0,0,952861,1,2018
