city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Miami,Miami,25.7839,-80.2102,United States,US,USA,Florida,,6445545,1840015149
Tampa,Tampa,27.9942,-82.4451,United States,US,USA,Florida,,2908063,1840015982
Orlando,Orlando,28.4772,-81.3369,United States,US,USA,Florida,,1822394,1840015099
Jacksonville,Jacksonville,30.3322,-81.6749,United States,US,USA,Florida,,1181496,1840015031
Sarasota,Sarasota,27.3386,-82.5431,United States,US,USA,Florida,,722243,1840015988
Cape Coral,Cape Coral,26.6446,-81.9956,United States,US,USA,Florida,,668382,1840015130
Palm Bay,Palm Bay,27.955,-80.6627,United States,US,USA,Florida,,507002,1840015094
Port St. Lucie,Port St. Lucie,27.2796,-80.3883,United States,US,USA,Florida,,461152,1840015119
Bonita Springs,Bonita Springs,26.3559,-81.7861,United States,US,USA,Florida,,421291,1840014227
Palm Coast,Palm Coast,29.5392,-81.246,United States,US,USA,Florida,,417007,1840015064
Kissimmee,Kissimmee,28.3042,-81.4164,United States,US,USA,Florida,,382720,1840015109
Pensacola,Pensacola,30.4427,-87.1886,United States,US,USA,Florida,,346921,1840015005
Lakeland,Lakeland,28.0556,-81.9545,United States,US,USA,Florida,,302284,1840015108
Winter Haven,Winter Haven,28.0118,-81.7017,United States,US,USA,Florida,,267069,1840015970
St. Petersburg,St. Petersburg,27.7931,-82.6652,United States,US,USA,Florida,,265351,1840015977
Tallahassee,Tallahassee,30.4551,-84.2526,United States,US,USA,Florida,admin,257601,1840015913
Hialeah,Hialeah,25.8696,-80.3046,United States,US,USA,Florida,,233339,1840015157
North Port,North Port,27.0577,-82.1975,United States,US,USA,Florida,,209070,1840015120
Gainesville,Gainesville,29.6804,-82.3458,United States,US,USA,Florida,,202335,1840014022
Deltona,Deltona,28.905,-81.2137,United States,US,USA,Florida,,198361,1840015072
Fort Lauderdale,Fort Lauderdale,26.1412,-80.1464,United States,US,USA,Florida,,182437,1840014236
Pembroke Pines,Pembroke Pines,26.0128,-80.3382,United States,US,USA,Florida,,173591,1840015141
