RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021
102001,0,United States,Country,,1429548,1386945,1444213,1531525,1633549,1707460,1758878,1783644,1772641,1752262,1695354,1598398,1510325,1461831,1508545,1575154,1667694,1739557,1784358,1795002,1776024,1745775,1671857,1555223,1451218,1400934,1426519,1413925,1435385,1434289,1458427,1428011,1381966,1340505,1261766,1151870,1056970,975985,963250,944758,980323,1010959,1056089
394913,1,"New York, NY",Msa,NY,69002,68575,73106,80054,86084,90629,92735,92219,90955,90121,87826,82562,77293,75045,78713,84539,91376,96022,97581,96051,94258,92223,88685,81623,75165,72693,74891,72552,70795,70404,76536,80451,81812,80855,77454,70786,64090,59740,58953,59575,61751,64215,65741
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,20093,19933,21895,23817,25784,27377,29077,30138,30674,30892,30368,28602,26972,26149,27457,28744,30422,31336,32028,31868,31328,30353,28311,25096,22324,21272,21815,21498,21919,22911,24956,25930,26313,26296,25225,22903,20642,19386,19867,20205,20661,20776,21364
394463,3,"Chicago, IL",Msa,IL,42817,41142,44774,49335,53882,56259,58156,59130,58951,58202,55474,50695,46025,44255,47266,52242,57141,60312,61669,62151,61826,60787,57552,52112,47358,45985,47814,47713,48080,48604,51115,51750,50860,49599,46397,41555,36949,33270,32855,33179,35627,37766,39810
394514,4,"Dallas-Fort Worth, TX",Msa,TX,24278,23199,24341,26749,29540,31958,33917,35088,35140,34277,33041,31077,29608,28933,30481,32436,34869,37281,39344,40398,39825,38691,36943,34537,32329,31427,32115,32244,33221,33798,34685,33505,31428,30186,28483,26442,24007,21803,21390,21147,22151,22874,23904
394974,5,"Philadelphia, PA",Msa,PA,26490,25050,26076,28356,30660,31825,31548,30703,29968,29843,29310,27797,26130,25034,26084,27851,29840,30950,31456,30935,30178,29198,27975,25777,23507,22391,22467,21287,20950,21105,22486,22619,21930,21408,20326,18559,16820,15464,15747,16372,17881,18918,19821
394692,6,"Houston, TX",Msa,TX,32972,32132,33747,35806,38632,40309,41618,42055,41323,40294,38746,37099,36086,35775,37353,38923,41012,43220,45055,46090,45249,43918,42049,40120,38839,38649,39741,39849,40536,40333,40336,38643,36697,35151,33124,30950,29345,27833,27633,26505,26594,26565,27434
395209,7,"Washington, DC",Msa,DC,22391,21105,22685,26056,29019,29200,27951,26430,26041,25876,24992,22671,19885,18217,19374,21749,24550,26048,26335,25490,24787,24304,23224,20660,18289,17313,18518,19009,19663,19335,19684,19353,19296,19288,18569,16707,14805,13592,14424,15845,17980,19273,20300
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,60782,62396,65469,66753,67221,65685,64275,63163,62603,63115,63785,64270,65744,67703,70570,71085,70699,69108,67561,65820,64258,63690,63343,62970,63234,63995,65011,62922,61681,60963,61562,60735,59618,59229,58238,56676,54936,51368,47385,42183,39380,37027,35539
394347,9,"Atlanta, GA",Msa,GA,29754,28635,29750,31134,32752,34258,35751,36824,36616,36135,35040,33425,32130,32886,34582,36259,37240,38911,40301,41100,41032,40760,39458,37396,35725,35079,36069,36382,37673,37846,37776,36217,34238,32818,30687,28292,26177,24199,23593,22426,22387,22425,22983
