Region,RegionName,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
Msa,"Arcadia, FL",FL,,,7/31/2022,7.8
Msa,"Clewiston, FL",FL,,,7/31/2022,7.7
Msa,"Crestview-Fort Walton Beach-Destin, FL",FL,,,7/31/2022,13.1
Msa,"Daytona Beach, FL",FL,,,7/31/2022,15.1
Msa,"Fort Myers, FL",FL,,,7/31/2022,18
Msa,"Gainesville, FL",FL,,,7/31/2022,11.3
Msa,"Homosassa Springs, FL",FL,,,7/31/2022,13.3
Msa,"Jacksonville, FL",FL,,,7/31/2022,14.2
Msa,"Key West, FL",FL,,,7/31/2022,12.9
Msa,"Lake City, FL",FL,,,7/31/2022,6
Msa,"Lakeland, FL",FL,,,7/31/2022,15.5
Msa,"Melbourne, FL",FL,,,7/31/2022,14.1
Msa,"Miami-Fort Lauderdale, FL",FL,,,7/31/2022,12.9
Msa,"Naples, FL",FL,,,7/31/2022,15.1
Msa,"North Port-Sarasota-Bradenton, FL",FL,,,7/31/2022,17.8
Msa,"Ocala, FL",FL,,,7/31/2022,11.5
Msa,"Okeechobee, FL",FL,,,7/31/2022,-3
Msa,"Orlando, FL",FL,,,7/31/2022,14.9
Msa,"Palatka, FL",FL,,,7/31/2022,11
Msa,"Panama City, FL",FL,,,7/31/2022,11.8
Msa,"Pensacola, FL",FL,,,7/31/2022,13.3
Msa,"Port St. Lucie, FL",FL,,,7/31/2022,13.6
Msa,"Punta Gorda, FL",FL,,,7/31/2022,14.5
Msa,"Sebring, FL",FL,,,7/31/2022,13
Msa,"Tallahassee, FL",FL,,,7/31/2022,10.3
Msa,"Tampa, FL",FL,,,7/31/2022,17.3
Msa,"The Villages, FL",FL,,,7/31/2022,8.6
Msa,"Vero Beach, FL",FL,,,7/31/2022,13.2
Msa,"Wauchula, FL",FL,,,7/31/2022,7.2
Zip,4956,FL,Escambia County,Pensacola,7/31/2022,5.4
Zip,32003,FL,Clay County,Fleming Island,7/31/2022,10.4
Zip,32008,FL,Suwannee County,Branford,7/31/2022,7.1
Zip,32009,FL,Nassau County,Bryceville,7/31/2022,9.5
Zip,32011,FL,Nassau County,Callahan,7/31/2022,10.1
Zip,32024,FL,Columbia County,Lake City,7/31/2022,3.2
Zip,32025,FL,Columbia County,Lake City,7/31/2022,3.2
Zip,32033,FL,Saint Johns County,Elkton,7/31/2022,11.7
Zip,32034,FL,Nassau County,Fernandina Beach,7/31/2022,9.7
Zip,32038,FL,Columbia County,Fort White,7/31/2022,3.2
Zip,32040,FL,Baker County,Glen Saint Mary,7/31/2022,6.1
Zip,32043,FL,Clay County,Green Cove Springs,7/31/2022,10.7
Zip,32044,FL,Bradford County,Hampton,7/31/2022,6.5
Zip,32046,FL,Nassau County,Hilliard,7/31/2022,9
Zip,32052,FL,Hamilton County,Jasper,7/31/2022,6.2
Zip,32053,FL,Hamilton County,Jennings,7/31/2022,7.1
Zip,32054,FL,Union County,Lake Butler,7/31/2022,6.2
Zip,32055,FL,Columbia County,Lake City,7/31/2022,3.5
Zip,32058,FL,Bradford County,Lawtey,7/31/2022,7.9
Zip,32059,FL,Madison County,Lee,7/31/2022,7.1
Zip,32060,FL,Suwannee County,Live Oak,7/31/2022,4.1
Zip,32061,FL,Union County,Lake Butler,7/31/2022,4.1
Zip,32062,FL,Suwannee County,Mc Alpin,7/31/2022,4.6
Zip,32063,FL,Baker County,Macclenny,7/31/2022,6.3
Zip,32064,FL,Suwannee County,Live Oak,7/31/2022,5.2
Zip,32065,FL,Clay County,Orange Park,7/31/2022,10.2
Zip,32066,FL,Lafayette County,Mayo,7/31/2022,7.5
Zip,32068,FL,Clay County,Middleburg,7/31/2022,10.1
Zip,32071,FL,Suwannee County,O Brien,7/31/2022,5.1
Zip,32073,FL,Clay County,Orange Park,7/31/2022,10.1
Zip,32080,FL,Saint Johns County,Saint Augustine,7/31/2022,11.8
Zip,32081,FL,Saint Johns County,Ponte Vedra,7/31/2022,12.3
Zip,32082,FL,Saint Johns County,Ponte Vedra Beach,7/31/2022,12.1
Zip,32083,FL,Union County,Raiford,7/31/2022,7.3
Zip,32084,FL,Saint Johns County,Saint Augustine,7/31/2022,11.3
Zip,32086,FL,Saint Johns County,Saint Augustine,7/31/2022,11.7
Zip,32091,FL,Bradford County,Starke,7/31/2022,7.3
Zip,32092,FL,Saint Johns County,Saint Augustine,7/31/2022,12.1
Zip,32094,FL,Suwannee County,Wellborn,7/31/2022,4.2
Zip,32095,FL,Saint Johns County,Saint Augustine,7/31/2022,11.9
