RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021
71831,17,32162,Zip,FL,FL,The Villages,The Villages,Sumter County,98921,99962,100316,101382,101816,102774,103779,104960,104723,103402,101604,99868,99024,98006,98217,98021,98545,97920,97108,95925,97077,100061,103964,108275,111250,113477,113941,114647,115445,116885,118561,120422,121035,120629,119477,117664,115969,114959,115136,115857,116362,117215,117987,118820,119514,120092,120692,121400,122532,123711,124697,125588,126666,127759,128960,129983,130820,131638,132334,133535,134231,135003,135641,136693,137930,138888,139703,140549,141477,141838,142786,143016,144617,145768,147308,147939,148037,148671,149523,150582,151339,152395,153177,154325,154847,155725,156478,157619,158906,160059,161096,162169,163346,164726,165800,167032,168177,169521,170922,172407,174204,176080,178150,180152,182367,184490,187026,189725,192705,195270,197498,199867,202181,204129,205897,208012,210631,213392,215909,218150,220337,223019,226193,229357,232640,236415,239994,242932,244594,246278,248264,250468,252024,252554,252185,251111,249528,247767,246235,244981,243643,242120,239945,237431,234551,231994,230169,229114,228039,226282,224550,222573,221599,220027,218297,216322,214764,213779,211993,209690,207680,205927,204294,202712,201162,200037,199283,198927,198947,198861,199782,201122,202279,203672,204516,205255,205368,205788,206346,206471,206396,206162,205266,203178,200764,198629,197230,196329,195654,195056,194583,194223,193857,193803,194178,196210,198252,200539,202145,203241,203778,204445,205246,207041,208675,209875,210400,210419,212137,213282,215253,217575,221467,224979,227864,230133,233007,235823,239798,243058,244940,246619,248476,250593,251452,251807,252777,253280,253113,252800,252268,252884,253725,254347,253627,252634,251741,251288,249974,249356,249544,250166,249781,248632,247477,247438,248118,248738,249291,250094,251623,252605,252478,252748,253610,254998,255269,255113,254948,255188,255707,256226,256641,257298,258430,259198,260284,261102,263064,264869,266742,268069,269455,270689,272181,274000,276001,277576,278485,279262,280120,280752,281233,282372,283729,285290,285938,286467,287328,288832,290599,292101,293462,294422,294872,294646,294502,294816,295781,296772,297517,298210,299097,300444,301808,303826,306504
72463,79,33160,Zip,FL,FL,Sunny Isles Beach,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,149348,149323,149328,149398,149337,149694,150059,150642,150776,151009,151252,151611,151622,151864,152155,152639,153310,153657,154072,153945,153945,153774,153725,153852,154791,155492,156143,156170,156218,155664,155108,154968,156079,157288,158340,158850,158642,158384,158035,158435,158938,160082,161094,162300,162571,162941,163307,163766,164709,165891,167484,168725,169800,170898,172026,172946,173976,175195,176699,178420,180090,181684,183265,184900,186769,188741,191078,193639,196648,199697,202883,205758,208391,211023,213572,216532,219571,223096,226817,230608,233534,236082,238307,242034,246193,250735,254947,259266,263005,265804,267869,270144,273378,277007,280961,283576,286621,289651,293678,297429,301644,306172,311323,316753,322073,327965,334537,342309,349769,357454,364203,370731,378487,388327,398801,409234,420418,430768,439208,445630,453580,460079,468769,476763,485047,489569,492684,494158,495097,494526,494782,493931,492706,491693,488598,485368,479378,473281,467308,462609,456230,450126,442318,436932,427374,417390,405887,395420,384778,374467,363538,351248,339532,327665,317945,308227,299976,292433,284902,277495,271035,267364,264701,262775,260605,260628,259276,257763,256635,257370,259316,261527,263552,263588,263395,263363,263818,262346,262373,262700,262938,261377,260158,259633,259022,258241,257874,257762,258287,259471,260636,261912,264139,266097,267993,269203,271644,275428,278707,282832,286922,291826,295347,298253,301234,306257,312303,318741,323985,327723,332206,335574,338896,341404,346774,352580,358179,360968,362740,363956,366239,369177,372016,374822,377742,381240,382230,383187,382999,384446,385714,387309,388878,389957,390752,391489,392324,392667,393709,394516,395886,397196,398547,399906,399829,400607,400654,401179,400611,399698,399338,399183,399601,398458,396493,394372,392960,391924,391373,391306,390808,390863,388911,388678,387302,388112,388414,388408,388456,386851,385525,382746,381653,380347,381011,379378,377921,374447,372601,371347,369742,369198,368301,368151,366991,365988,364701,363305,361704,361936,361268,361313,361203,361117,361325,361647,363256,364666,366147,368830,372227,375251,378857,382225,386422,391038,396178
73221,81,34787,Zip,FL,FL,Winter Garden,Orlando-Kissimmee-Sanford,Orange County,157900,157769,157587,157178,156661,156304,155953,155885,155946,156052,156403,156632,156484,156192,156621,157602,158474,158444,158492,158358,158564,159019,159222,159175,159869,160579,160051,158690,157964,158781,159479,160238,160418,160407,160247,160929,161657,162545,163928,165664,167427,168723,170517,171846,172928,173613,174809,176139,176820,177990,179042,180459,181252,181741,182299,182968,184311,185780,187040,187844,188642,189093,189606,190236,191038,191953,192508,193462,194623,195822,196788,197893,199457,201064,202530,203557,205084,206354,207734,208869,209710,210832,212155,213540,214563,215451,216587,217713,218394,219368,220581,222014,223816,225814,228159,230249,232576,235019,237246,239606,242005,244658,247459,251369,255630,260084,263944,267947,272572,277617,283519,290290,298200,307030,316107,324662,332581,339666,347749,356987,366532,374988,382436,388735,394370,399014,402631,404275,403970,404805,404731,404330,400429,399359,397359,396719,393902,390274,385619,380709,376497,371164,366356,360544,357557,350101,342053,332203,322958,314784,306608,300066,294775,288533,280293,271102,262399,255631,250690,245939,242904,238690,235062,231167,226911,223521,222070,221957,219866,218022,216145,215280,213209,211288,210098,208070,205703,204165,202744,200953,199621,198603,197241,195791,194541,193954,192886,192925,193367,193499,192787,192472,193206,193978,194654,195112,196052,197972,200475,202828,204924,206910,209501,212269,214850,217498,221075,224819,229166,232316,235713,239021,243561,247382,250464,252757,254860,256836,258465,260377,261660,262502,262830,262833,261951,261857,263204,264693,266195,267515,268987,270624,271706,273474,275036,277226,279512,281794,283360,286027,288882,291500,293059,293184,294502,295559,297037,298376,299440,300856,301646,301956,303609,305420,307309,308940,309750,311553,312725,314059,315728,316886,318689,320119,319689,320285,321677,325352,328415,330504,332718,334317,336120,338183,340347,342634,344777,345867,346723,346379,346840,347291,348188,349101,350360,351214,352349,353689,355702,358296,360263,362804,364762,365884,365755,365972,366654,368723,370847,373442,376655,380435,385399,390829,397364,405747,416040
72578,90,33411,Zip,FL,FL,Royal Palm Beach,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,116393,116486,116568,116706,116778,116858,116958,117002,117037,117013,117091,117129,116908,116681,116518,116728,117010,117143,117210,117330,117465,117692,117792,118066,118903,119758,120525,120591,120688,120946,121420,121989,122688,123337,123989,124471,124592,124651,124663,125111,125602,126354,126805,127251,127485,127915,128362,128805,129350,130100,130956,131781,132538,133146,133879,134457,135136,135725,136480,137360,138402,139387,140511,141615,142781,143942,145287,146758,148476,150281,151938,153384,154617,156032,157408,158973,160489,162180,163839,165844,167694,169571,171478,173700,175935,178200,180479,182770,185231,187504,189592,191729,194082,196852,199653,202574,206071,209275,212647,215577,219175,222865,227060,231264,235870,240767,245607,250930,255218,260177,264996,270863,276240,282309,289924,297289,303829,308614,314179,318911,324593,329063,333793,338074,341848,344551,344634,343873,342284,340757,338755,336729,334042,330825,327005,322351,317657,312429,306528,301221,296446,291997,287073,280900,275040,269375,264211,259682,254878,250027,245116,239886,234559,229309,223852,219923,215917,212548,207984,203221,198996,196434,194853,193285,191970,191200,190358,188867,187513,186376,186321,185888,185261,183611,181920,180499,178961,177119,175391,173810,172096,170869,169339,168424,167330,166428,165281,164113,162947,161958,161665,161845,161858,161143,160941,161014,161399,161758,162659,163692,165032,166202,167373,168618,170789,173290,175959,178879,182111,185139,187638,190558,194480,199148,203217,206578,209363,212470,214893,216661,218467,221121,223942,226357,227043,227706,228972,231019,233148,234561,236875,239084,241090,242070,243431,245037,247940,250126,252116,253604,255420,257218,258570,260368,262020,264202,266147,267676,268344,269249,270456,272278,273430,275265,276706,278160,279427,280767,282116,283886,286212,288271,289529,290080,291195,292807,294238,295420,296506,297835,298935,299923,300614,301595,302629,304135,305014,304689,304819,305191,306376,306951,307365,307128,306329,306219,307077,308120,309677,311885,313505,314262,314084,314285,315816,318140,321990,325038,327911,331035,334489,338464,343336,349508,356756,364757,372559
72363,96,33025,Zip,FL,FL,Miramar,Miami-Fort Lauderdale-West Palm Beach,Broward County,90615,90711,90865,91136,91425,91669,91885,91986,92032,92012,92016,92032,91717,91472,91142,91175,91108,91157,91140,91262,91355,91527,91734,91951,92585,93097,93652,93732,93859,93650,93579,93598,93929,94323,94478,94556,94627,94861,95118,95269,95476,96184,96938,97456,97617,97617,97889,98188,98590,99038,99459,100110,100621,101061,101311,101746,102228,102857,103596,104509,105393,106292,107512,108814,110315,111687,113287,114920,116682,118569,120205,121649,122911,124154,125090,126012,126933,127971,128954,129996,131070,132215,133444,134915,136336,137738,139354,140964,142459,143782,145372,146889,148555,150101,152053,153745,155672,157495,159125,160803,162878,165444,167779,170358,173172,175998,178435,181019,184073,187717,191888,195727,199622,202855,206918,210907,214579,218388,221886,226036,229222,232187,235017,239202,243047,247506,250729,253871,256254,258038,260374,261590,262651,262412,262171,260041,258006,254540,251723,248061,244850,242103,238318,234074,229389,225419,220497,216100,211814,208498,203657,198540,193421,187318,181507,175904,171342,166650,162388,158665,154348,150093,146475,144014,141690,140639,140221,140204,139886,139491,138866,137842,137035,136267,135781,134933,133900,132350,130578,128933,127533,126470,125764,125031,124624,124284,124298,124140,124382,124600,124905,124790,124610,124689,125057,125784,126362,127172,127742,128868,129871,131100,131991,133534,135420,137564,139583,141912,144687,147518,150311,153065,155685,158430,161886,165218,168066,170022,172332,173912,175417,176005,177341,178147,179631,180517,181013,181507,182787,185127,186519,188122,188754,190380,191179,192580,193686,195434,197242,198963,200271,201066,202117,202983,205241,207609,210077,211756,213135,214598,216404,218000,219557,220782,222085,224363,225577,226464,227252,228845,230776,232451,233566,234800,235361,236616,238467,239588,241382,242726,244885,246392,247077,247288,248101,249453,251205,252190,252924,253229,252973,253326,253690,254007,254677,255378,255911,255839,256932,258797,260762,263461,265505,266883,266055,266266,266786,268618,270679,273335,275503,277814,280574,283652,288049,293448,301223
72442,101,33139,Zip,FL,FL,Miami Beach,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,118877,118839,118845,118807,118830,119108,119438,119687,119618,119613,119795,120149,120262,120571,120873,121445,121807,122021,122212,122450,122892,123253,123421,123424,124105,124543,124971,125044,125401,125490,125517,125757,126690,127748,128772,129746,130088,130492,130886,131448,132145,132976,134077,135201,135764,136242,136757,137314,138177,139189,140661,142389,143970,145479,146734,147811,149148,150635,152438,154485,156560,158612,160145,161675,163248,165456,167828,170623,173399,176324,178857,181052,182991,185034,187427,189834,192406,194712,197492,200063,202339,204280,206299,209074,212148,215146,217916,220730,222918,224459,225011,225810,227183,228874,231076,232608,234742,237018,239691,242115,244712,247791,251624,255727,259981,264573,269631,275448,280763,286226,291210,296222,302517,310270,318839,327421,336371,344435,350799,356086,362889,368999,376941,384453,391702,395856,398464,400384,401674,402148,403347,404026,404341,404939,403041,400848,396333,392985,389159,386321,382303,379313,374425,371474,363525,354947,345256,337467,330691,323396,317402,308988,300690,291989,286121,279453,274655,269593,266437,262870,259379,256891,253535,251655,250069,249126,246828,243475,241844,241462,240841,239159,237799,236554,235490,234173,232777,230836,229464,230297,229783,229189,227794,228092,228001,227695,227525,227855,228835,230415,232204,233111,235248,236338,238243,239297,241910,244792,247930,250930,254265,257688,260039,261921,263688,268007,273404,279173,283572,287332,291291,295119,298049,300873,305624,310969,315733,318188,320291,322440,324502,326371,328096,330164,332959,336083,337673,339033,339819,341497,342482,343159,344140,345143,346406,347361,348662,348754,349584,350386,351784,352215,352030,352365,352539,353942,354414,354546,353102,352218,351425,350713,350483,350563,349918,348408,346673,344945,343342,342571,342047,341611,339552,338500,336339,334421,332895,331508,330892,329044,328026,326629,325971,325197,325918,325207,324375,321999,320706,320112,319691,320080,319497,318642,316873,315976,315478,314722,313782,313869,313335,313598,312742,311956,311552,311958,313806,314721,315284,316847,319158,321721,324641,327051,330570,334411,338766
71864,133,32210,Zip,FL,FL,Jacksonville,Jacksonville,Duval County,78263,78367,78558,78896,79255,79544,79833,80156,80446,80695,80766,80854,80995,81302,81492,81603,81669,81904,82296,82480,82606,82598,82988,83468,83963,84275,84560,84841,85168,85375,85259,85427,85771,86441,86768,86882,86875,86938,87182,87604,87907,88148,88493,88784,89059,89311,89754,90210,90569,90960,91349,91694,92124,92717,93413,93894,94225,94492,94819,95285,95828,96330,96708,97152,97564,97935,98217,98661,99178,99627,100072,100573,101170,101830,102558,103143,103772,104409,105234,105937,106666,107455,108313,109084,109815,110500,111086,111659,112151,112628,112915,113367,113822,114541,115230,115873,116479,117267,118378,119665,121004,122331,123701,125155,126800,128229,129741,131462,133300,134922,136323,137802,139404,141314,143423,145671,147987,150364,152701,154951,157411,159853,162229,164562,166769,168727,170307,171628,172512,173361,174066,174719,174723,174463,174436,174691,174935,174609,174214,174091,174028,173245,171971,170427,168854,168155,167152,166104,164720,163365,161840,159138,156708,155089,153255,151188,149725,147597,145705,142106,138956,136111,134460,133704,132298,130020,128678,127803,126655,124721,123193,122552,122679,122156,120398,117988,116008,114943,113446,111520,109229,107652,105277,103196,100075,97912,96105,94686,93201,91460,89945,88552,88118,87924,88320,88657,88665,88369,88018,88168,88321,88356,88361,89089,89038,89114,88447,88214,88869,89813,91183,92166,93281,94468,95399,96075,97016,97655,98351,98518,98704,98984,99089,99040,99139,99647,100438,100538,101093,101744,103454,104593,105498,106076,106698,107350,107802,108207,109037,110352,111009,111294,111240,112630,114133,115503,116328,117379,118658,119585,119928,120316,121242,122975,124522,124966,125082,125428,126458,127852,129188,130705,132298,134018,134490,134427,134247,135618,137451,139160,140839,141822,142617,143178,144146,144825,145785,146395,147257,147963,148849,150106,150872,151438,151697,152232,152408,152933,153693,155292,157162,158627,159372,159566,159723,160727,162145,163877,165886,167984,170291,172517,174760,177483,181026,185298,190362
72901,147,33908,Zip,FL,FL,Fort Myers,Cape Coral-Fort Myers,Lee County,145361,145389,145410,145529,145600,145690,145841,146242,146741,147071,147303,147585,147371,147161,146936,147312,147654,147927,148066,147983,147932,147937,148286,148504,149654,150691,151736,151786,151928,152274,152775,153169,153158,153629,153769,154172,154142,154485,154994,155622,156409,156826,157155,157450,158287,158787,159359,159724,160199,160463,160691,161143,161701,162732,163719,164537,165122,165943,167040,167977,168763,169587,170416,171332,172195,173101,174221,175546,176846,178006,179237,180838,182461,184155,185812,187496,189064,190266,191503,192859,194332,195981,197425,199055,200875,202718,204572,206380,208258,210183,211632,212783,214420,216652,218799,220491,221736,223468,224837,226677,228891,232170,235662,239168,242479,244986,248179,251376,255577,260024,265151,270482,276145,282254,288356,295618,302336,310773,317695,325548,332188,338475,345005,350914,355986,358403,361102,361949,361566,359081,358234,355512,353344,347548,342861,336160,329208,321781,314918,308820,303782,297158,289919,283708,277681,273950,268824,264473,260680,257385,254080,250624,247933,245734,242005,237386,232483,229622,226035,223395,219345,215830,211832,208291,204306,201961,202014,202713,203278,200714,199555,198519,199229,199563,199670,199283,198765,197196,194857,193035,192060,192464,192005,191127,189556,189115,189077,189554,189752,190007,190159,190257,189938,189906,190369,191129,191931,192292,192574,192676,192803,194105,195731,197023,198267,199878,201655,203391,205224,206624,208572,210715,213731,215252,216209,217365,218886,219773,220195,220853,221979,223488,224220,224595,225167,226545,228240,229558,231270,233250,236359,238023,239704,240623,242647,244996,246778,248338,250163,252197,253755,255311,255129,256319,256259,257749,258420,259275,259902,260608,261009,261282,260760,259967,260042,260441,261643,261625,261887,261619,261430,261035,260680,260572,261621,262496,263768,263741,264125,264552,264173,263875,264088,265301,266392,267510,266614,266691,265415,265283,263601,263023,263287,264108,264432,263984,263772,263445,265009,266129,267150,267921,268309,267867,267225,267558,268909,270525,272577,275309,278022,281359,286075,291530,298901,307489,317088
72362,158,33024,Zip,FL,FL,Pembroke Pines,Miami-Fort Lauderdale-West Palm Beach,Broward County,95876,96153,96351,96731,97026,97377,97697,97974,98220,98500,98778,99009,98919,98807,98767,99107,99449,99675,99788,99995,100129,100251,100404,100735,101449,101997,102376,102317,102377,102223,102312,102436,102931,103370,103604,103566,103596,103797,104156,104377,104640,105494,106346,106894,106931,106908,107245,107743,108302,108943,109532,110434,111154,111766,112142,112758,113598,114639,115702,116896,118037,119429,121349,123286,125371,127191,129372,131582,133748,135953,137861,139586,141165,142427,143009,143507,144059,144937,145773,146890,148223,149601,151022,152692,154307,156021,158060,160238,162296,164137,166081,167773,169574,171456,173905,176110,178577,180900,183091,185323,188157,191478,194560,197889,201525,205134,208403,211986,216204,220975,226422,231472,236479,240952,246818,252887,258460,263819,268490,273558,277350,281063,284602,289760,294389,299482,302913,305805,307734,308803,310732,311696,312697,311893,310702,307088,304258,299631,295588,290466,286127,282599,277609,272074,265507,260147,253622,248157,241819,236748,229599,222655,215318,207563,200605,193774,188469,182321,177132,172242,167384,163074,159867,157801,156049,155405,155060,155185,154782,155380,155880,155942,156060,155432,155048,153922,153020,151739,149968,148209,146593,145127,143690,142246,141134,140652,140629,140795,140836,140556,141158,141517,141855,141854,142352,143539,144756,145719,146162,146789,147715,149027,149837,151274,153266,155679,157643,159899,161956,164271,166426,169325,172040,174616,177300,179802,182040,183678,186090,187411,189340,190177,192263,192957,194350,195298,196418,197575,199231,201628,202743,203963,204441,206618,208092,210314,211782,213655,215313,216905,218543,220150,222328,224267,227038,229354,231469,233195,234983,237294,239834,242200,243764,244810,245672,248212,249888,251473,252774,254722,256861,258668,259953,261469,262763,264771,267545,269100,271281,272734,275305,277164,278356,278879,280513,282647,285051,286343,287272,287951,288156,289245,290220,290964,291691,292411,292790,292474,293448,295298,297594,300490,303068,304890,304429,304994,306093,308928,311931,315672,318904,322495,326416,330911,336589,343433,352953
72737,168,33647,Zip,FL,FL,Tampa,Tampa-St. Petersburg-Clearwater,Hillsborough County,141093,137619,135505,133405,132783,133033,132431,132491,133005,133863,135596,138171,140533,145597,151150,153957,154354,153632,154721,156239,157389,158946,158123,155852,154173,152298,150729,149282,150035,151377,153079,153092,153343,152528,154588,157642,160907,161516,161796,161849,161619,161618,161400,161732,161858,162868,162524,162105,160928,162117,162507,164129,165649,167827,169370,171263,173969,176137,178439,179532,181395,182400,183977,185389,186627,187340,188061,188484,188543,188455,188728,189804,191053,192248,193558,194095,194806,195766,196997,198263,199372,200847,202493,204019,205557,206922,208100,209512,211025,212532,213975,215693,217222,219293,220811,222599,223988,225778,227998,230611,233538,236566,239620,242861,246288,249629,253140,257016,261232,266057,270631,275260,280540,286482,294310,300939,308831,316144,324535,332922,340408,347122,352312,357003,359922,363432,364314,366467,366286,365952,363444,358211,354521,351137,350671,349446,348061,342806,337105,330197,323862,317571,313846,311818,307364,300522,292413,286335,280278,276240,271882,268291,264772,260928,254798,248714,243643,240560,237264,233458,229808,226149,224012,221890,220248,218397,217551,216630,216598,216537,216645,216533,217273,217854,217320,216518,214820,213742,212325,211712,210842,209272,207888,206092,204313,202808,201884,201115,201183,201574,202225,201877,200815,200978,201869,203534,204589,205427,206450,207788,208968,209858,211032,213153,216811,219513,221788,223216,225513,228383,231275,234164,236671,238962,240648,241505,241633,242499,243962,245872,246929,246944,246603,245957,245898,246432,247448,248971,250023,250480,249828,249847,250092,251448,252225,253437,254499,256229,257449,258581,259584,261486,263585,264784,266216,267065,269324,270888,272688,273164,274348,275793,277647,278326,278638,279971,281507,283389,284089,284987,285459,286134,287160,287836,288697,290320,292800,294192,294408,294503,295200,296371,298151,299873,300975,301771,302575,302763,302710,302815,304001,304271,304684,304365,304544,305091,306232,307232,308059,309122,310650,312525,313825,314312,314516,315553,317539,319865,322585,326420,331241,337013,343368,350638,359272,370469,383289
