County,Year,Value_inches,Anomaly
Alachua County,2000,40.34,0
Alachua County,2001,45.63,5.29
Alachua County,2002,58.4,18.06
Alachua County,2003,53.7,13.36
Alachua County,2004,64.46,24.12
Alachua County,2005,54.2,13.86
Alachua County,2006,37.3,-3.04
Alachua County,2007,44.1,3.76
Alachua County,2008,45.17,4.83
Alachua County,2009,53.1,12.76
Alachua County,2010,45,4.66
Alachua County,2011,43.04,2.7
Alachua County,2012,59.51,19.17
Alachua County,2013,52.13,11.79
Alachua County,2014,58.97,18.63
Alachua County,2015,52.27,11.93
Alachua County,2016,46.39,6.05
Alachua County,2017,63.47,23.13
Alachua County,2018,66.46,26.12
Alachua County,2019,52.82,12.48
Baker County,2020,53.53,13.19
Baker County,2000,38.62,0
Baker County,2001,44.01,5.39
Baker County,2002,55.88,17.26
Baker County,2003,56.98,18.36
Baker County,2004,60.88,22.26
Baker County,2005,58.9,20.28
Baker County,2006,41.39,2.77
Baker County,2007,44.56,5.94
Baker County,2008,53.73,15.11
Baker County,2009,53.28,14.66
Baker County,2010,41.2,2.58
Baker County,2011,49.36,10.74
Baker County,2012,61.23,22.61
Baker County,2013,51.31,12.69
Baker County,2014,62.13,23.51
Baker County,2015,43.93,5.31
Baker County,2016,45.27,6.65
Baker County,2017,55.18,16.56
Baker County,2018,52.8,14.18
Baker County,2019,39.8,1.18
Bay County,2020,54.24,15.62
Bay County,2000,39.89,0
Bay County,2001,47.7,7.81
Bay County,2002,59.21,19.32
Bay County,2003,71.85,31.96
Bay County,2004,54.79,14.9
Bay County,2005,58.16,18.27
Bay County,2006,43.72,3.83
Bay County,2007,40.96,1.07
Bay County,2008,58.84,18.95
Bay County,2009,61.62,21.73
Bay County,2010,46.66,6.77
Bay County,2011,45.73,5.84
Bay County,2012,58.3,18.41
Bay County,2013,75.63,35.74
Bay County,2014,66.08,26.19
Bay County,2015,57.66,17.77
Bay County,2016,63.98,24.09
Bay County,2017,55.45,15.56
Bay County,2018,70.18,30.29
Bay County,2019,47.63,7.74
Bradford County,2020,65.02,25.13
Bradford County,2000,37.2,0
Bradford County,2001,43.83,6.63
Bradford County,2002,56.45,19.25
Bradford County,2003,57.52,20.32
Bradford County,2004,62.06,24.86
Bradford County,2005,54.2,17
Bradford County,2006,38.92,1.72
Bradford County,2007,43.04,5.84
Bradford County,2008,47.89,10.69
Bradford County,2009,56.52,19.32
Bradford County,2010,42.9,5.7
Bradford County,2011,48.39,11.19
Bradford County,2012,64.37,27.17
Bradford County,2013,49.81,12.61
Bradford County,2014,56.05,18.85
Bradford County,2015,48.82,11.62
Bradford County,2016,43.58,6.38
Bradford County,2017,63.27,26.07
Bradford County,2018,60.87,23.67
Bradford County,2019,46.42,9.22
Brevard County,2020,55.02,17.82
Brevard County,2000,36.55,0
Brevard County,2001,57.03,20.48
Brevard County,2002,56.31,19.76
Brevard County,2003,46.73,10.18
Brevard County,2004,54.77,18.22
Brevard County,2005,60.62,24.07
Brevard County,2006,41.61,5.06
Brevard County,2007,43.39,6.84
Brevard County,2008,60.34,23.79
Brevard County,2009,44.04,7.49
Brevard County,2010,39.19,2.64
Brevard County,2011,50.45,13.9
Brevard County,2012,41.56,5.01
Brevard County,2013,46.16,9.61
Brevard County,2014,59.97,23.42
Brevard County,2015,48.55,12
Brevard County,2016,56.28,19.73
Brevard County,2017,58.95,22.4
Brevard County,2018,46.72,10.17
Brevard County,2019,56.2,19.65
Broward County,2020,53.37,16.82
Broward County,2000,52.31,0
Broward County,2001,62.26,9.95
Broward County,2002,57.26,4.95
Broward County,2003,61.53,9.22
Broward County,2004,47.98,-4.33
Broward County,2005,58.46,6.15
Broward County,2006,46.03,-6.28
Broward County,2007,54.05,1.74
Broward County,2008,53.95,1.64
Broward County,2009,54.73,2.42
Broward County,2010,55.14,2.83
Broward County,2011,50.31,-2
Broward County,2012,67.51,15.2
Broward County,2013,64.03,11.72
Broward County,2014,58.14,5.83
Broward County,2015,52.54,0.23
Broward County,2016,52.77,0.46
Broward County,2017,67.98,15.67
Broward County,2018,53,0.69
Broward County,2019,61.36,9.05
Calhoun County,2020,78.56,26.25
Calhoun County,2000,40.29,0
Calhoun County,2001,49.84,9.55
Calhoun County,2002,64.19,23.9
Calhoun County,2003,62.6,22.31
Calhoun County,2004,53.85,13.56
Calhoun County,2005,62.58,22.29
Calhoun County,2006,43.72,3.43
Calhoun County,2007,38.67,-1.62
Calhoun County,2008,59.94,19.65
Calhoun County,2009,63.23,22.94
Calhoun County,2010,46.9,6.61
Calhoun County,2011,39.9,-0.39
Calhoun County,2012,52.08,11.79
Calhoun County,2013,68.41,28.12
Calhoun County,2014,64.78,24.49
Calhoun County,2015,56.03,15.74
Calhoun County,2016,59.05,18.76
Calhoun County,2017,56.64,16.35
Calhoun County,2018,70.79,30.5
Calhoun County,2019,45.64,5.35
Charlotte County,2020,65.11,24.82
Charlotte County,2000,39.07,0
Charlotte County,2001,50.5,11.43
Charlotte County,2002,52.92,13.85
Charlotte County,2003,62.89,23.82
Charlotte County,2004,50.87,11.8
Charlotte County,2005,59.04,19.97
Charlotte County,2006,46.19,7.12
Charlotte County,2007,33.33,-5.74
Charlotte County,2008,50.95,11.88
Charlotte County,2009,45.38,6.31
Charlotte County,2010,52.32,13.25
