month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202107,12035,"flagler, fl",379000,-0.0143,0.285,405,0.063,-0.6397,34,0.0625,-0.517730496,320,-0.1398,-0.2157,20,-0.375,-0.4444,148,0.48,-0.5067,811,-0.0826,0.2159,195.9893048,-0.022,0.2196,1922,0.0092,-0.0268,530738.4082,0.0372,0.2024,1216,-0.0387,-0.321,2.002469136,-0.3177,1.4091
202107,12031,"duval, fl",279900,0.0178,0.1154,1603,0.1591,-0.3476,35,-0.04109589,-0.416666667,1400,0.0511,0.306,104,0.0833,-0.7759,552,0.3143,-0.3333,3275,-0.0529,-0.0127,170.7317073,0.0288,0.22,1573,-0.0091,-0.0908,406598.4309,-0.0231,0.1107,4878,0.0076,-0.1552,2.043044292,-0.4573,0.693
202107,12015,"charlotte, fl",359900,0.0449,0.29,590,0.0946,-0.6301,42,-0.045454545,-0.560209424,420,-0.0455,-0.1102,56,-0.125,0.2727,128,0.0323,-0.6235,1196,-0.0736,0.065,209.6774194,0.0486,0.2872,1695,0.0053,-0.0056,485829.9775,0.028,0.3547,1786,-0.024,-0.3429,2.027118644,-0.3681,1.323
202107,12017,"citrus, fl",274900,0.0193,0.1957,418,0.0971,-0.4046,42,0.105263158,-0.454545455,308,-0.0128,0.1493,20,-0.1667,0.25,108,0.4211,-0.1563,681,-0.0271,-0.0422,156.5881604,-0.0009,0.2367,1719,0.0103,-0.0601,414864.1734,0.0202,0.3385,1099,0.0167,-0.2222,1.629186603,-0.2081,0.6164
202107,12005,"bay, fl",399000,0.0656,0.2277,917,0.2897,-0.5505,30,-0.090909091,-0.705882353,636,0.3033,0.1866,76,-0.0952,-0.05,332,0.8043,-0.4029,410,-0.0353,0.1517,269.8095238,0.0383,0.3174,1535,-0.0379,0.0059,579597.3746,-0.0109,0.4022,1327,0.1681,-0.4462,0.447110142,-0.1506,0.2726
202107,12086,"miami-dade, fl",510000,0.02,0.057,11000,0.0064,-0.4123,72,-0.064935065,-0.492957746,3900,-0.0201,0.0495,560,-0.2893,0.8421,1412,0.2562,-0.3966,7761,-0.0878,0.292,403.7982565,0.0064,0.1632,1251,0.0097,-0.0146,1315128.846,0.0054,0.1702,18761,-0.0348,-0.2412,0.705545455,-0.0729,0.3846
202107,12091,"okaloosa, fl",419000,0.017,0.0899,713,0.2126,-0.3261,28,0.142857143,-0.594202899,512,0.0756,0.1636,52,0.0833,0.4444,216,0.5882,-0.0847,2,-0.5,0,222.4080268,0.017,0.0203,1808,-0.0101,-0.0253,691225.0033,0.0066,0.2154,715,0.2078,-0.3255,0.002805049,-0.004,0.0009
202107,12085,"martin, fl",568000,-0.0031,0.4236,470,0,-0.6296,44,0.035294118,-0.58685446,312,0,-0.22,20,0,0.6667,144,0.1613,-0.4783,631,-0.1598,-0.1826,276.6885553,0.0052,0.3587,1900,-0.0171,-0.0158,1015721.36,0.0002,0.3283,1101,-0.0983,-0.4606,1.342553191,-0.2553,0.7342
202107,12023,"columbia, fl",279900,-0.0576,0.1604,119,0.1553,-0.1185,41,0.025,-0.401459854,48,-0.4286,-0.0769,0,,,44,0.8333,0.8333,132,-0.0833,0.0909,137.5,-0.0358,0.1137,1799,-0.0616,-0.0202,326372.7752,-0.0458,0.1536,251,0.0162,-0.0195,1.109243697,-0.2888,0.2129
202107,12119,"sumter, fl",355000,0.0597,0.2158,164,0.1007,-0.6632,44,0,-0.307086614,92,-0.2069,-0.4773,8,-0.7143,0,52,1.1667,-0.7234,321,-0.2246,0.2346,203.9381153,0.0369,0.1022,1777,0.0298,0.0622,450124.5407,-0.0123,0.2904,485,-0.1385,-0.3507,1.957317073,-0.8212,1.4234
