RegionID,RegionName,SizeRank,MsaName,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07
72463,33160,80,"Miami-Fort Lauderdale, FL",1833,1843,1852,1862,1872,1882,1891,1901,1911,1920,1929,1937,1946,1955,1963,1972,1980,1988,1996,2001,2006,2011,2013,2016,2018,2017,2016,2014,2009,2004,1999,1994,1989,1984,1982,1979,1977,1977,1976,1976,1977,1978,1979,1981,1982,1984,1986,1987,1989,1991,1994,1997,2000,2004,2008,2011,2015,2019,2021,2024,2026,2027,2028,2029,2030,2031,2033,2033,2033,2034,2033,2032,2031,2031,2031,2031,2033,2035,2038,2054,2070,2086,2118,2151,2183,2217,2252,2286,2323,2359,2396
73221,34787,82,"Orlando, FL",1453,1458,1464,1469,1474,1479,1484,1489,1493,1498,1503,1508,1512,1517,1522,1528,1534,1540,1546,1553,1560,1567,1574,1580,1587,1592,1597,1602,1607,1612,1617,1623,1629,1635,1641,1648,1655,1662,1669,1676,1683,1689,1696,1702,1708,1714,1722,1729,1736,1745,1754,1763,1772,1781,1791,1800,1810,1820,1828,1837,1845,1853,1860,1867,1873,1878,1884,1888,1893,1897,1900,1903,1906,1909,1912,1915,1919,1923,1927,1933,1939,1945,1952,1959,1967,1974,1981,1989,1997,2004,2012
72578,33411,91,"Miami-Fort Lauderdale, FL",1323,1332,1340,1348,1356,1365,1373,1381,1389,1397,1404,1411,1419,1425,1431,1437,1443,1449,1454,1461,1467,1473,1479,1486,1492,1498,1504,1510,1516,1522,1527,1533,1539,1545,1551,1556,1562,1567,1572,1578,1582,1586,1590,1594,1598,1602,1606,1610,1613,1617,1622,1626,1631,1636,1641,1646,1651,1656,1660,1665,1670,1675,1680,1686,1690,1694,1698,1701,1704,1708,1711,1715,1718,1722,1727,1731,1738,1744,1751,1763,1775,1786,1804,1822,1840,1859,1878,1896,1916,1936,1955
72363,33025,97,"Miami-Fort Lauderdale, FL",1446,1451,1457,1463,1469,1474,1480,1486,1492,1498,1504,1510,1516,1522,1529,1535,1541,1548,1555,1562,1569,1575,1582,1589,1595,1601,1608,1614,1619,1624,1629,1632,1636,1639,1642,1644,1647,1649,1651,1653,1656,1659,1661,1665,1668,1672,1675,1678,1682,1685,1688,1691,1694,1697,1699,1702,1705,1707,1711,1714,1718,1722,1726,1731,1735,1739,1744,1748,1751,1755,1757,1759,1762,1763,1765,1767,1770,1772,1775,1781,1786,1792,1803,1814,1825,1836,1848,1860,1872,1884,1897
72442,33139,102,"Miami-Fort Lauderdale, FL",1770,1781,1792,1803,1814,1825,1836,1847,1858,1868,1878,1888,1898,1906,1914,1923,1931,1939,1947,1954,1961,1968,1971,1974,1977,1975,1973,1971,1965,1959,1952,1944,1936,1928,1921,1914,1908,1905,1902,1900,1900,1900,1900,1902,1903,1904,1907,1909,1911,1914,1917,1919,1924,1928,1932,1937,1942,1947,1951,1955,1959,1961,1964,1967,1970,1973,1976,1978,1980,1982,1981,1980,1979,1977,1976,1974,1974,1975,1975,1988,2001,2014,2043,2073,2102,2133,2164,2195,2228,2262,2295
71864,32210,134,"Jacksonville, FL",906,907,909,910,912,914,915,917,919,921,923,925,928,930,933,936,938,941,943,946,948,951,954,957,959,963,966,969,972,976,979,981,983,986,987,989,991,993,995,998,1002,1006,1010,1014,1019,1024,1028,1033,1038,1043,1047,1052,1057,1061,1066,1070,1074,1078,1082,1086,1090,1094,1098,1102,1106,1110,1114,1118,1122,1126,1131,1137,1142,1147,1153,1159,1166,1173,1180,1189,1199,1208,1219,1230,1242,1253,1265,1276,1288,1300,1312
72901,33908,147,"Fort Myers, FL",1256,1262,1268,1274,1280,1286,1292,1297,1303,1309,1315,1321,1327,1338,1348,1358,1371,1385,1398,1411,1425,1438,1445,1452,1459,1461,1463,1464,1463,1462,1460,1461,1462,1462,1466,1470,1474,1479,1484,1489,1496,1502,1508,1513,1518,1523,1526,1528,1531,1534,1536,1539,1541,1544,1547,1551,1555,1559,1564,1569,1575,1580,1584,1589,1593,1596,1600,1604,1608,1612,1617,1622,1628,1630,1632,1635,1638,1642,1645,1654,1662,1671,1687,1703,1718,1735,1752,1769,1788,1807,1825
72362,33024,158,"Miami-Fort Lauderdale, FL",1514,1524,1533,1543,1553,1562,1572,1581,1590,1599,1606,1613,1621,1624,1628,1632,1637,1641,1646,1653,1659,1666,1674,1681,1689,1696,1704,1711,1715,1719,1724,1727,1730,1734,1738,1742,1747,1752,1757,1763,1769,1775,1782,1788,1794,1800,1805,1810,1815,1818,1822,1826,1830,1834,1838,1843,1848,1853,1859,1865,1870,1876,1881,1886,1889,1893,1896,1898,1900,1902,1902,1903,1904,1907,1910,1914,1919,1925,1930,1939,1947,1956,1973,1991,2008,2027,2045,2063,2082,2101,2120
72737,33647,168,"Tampa, FL",1281,1285,1290,1294,1298,1303,1307,1311,1315,1320,1323,1327,1331,1334,1338,1341,1344,1348,1352,1355,1359,1363,1367,1371,1375,1380,1384,1388,1392,1396,1399,1403,1408,1412,1416,1420,1425,1429,1433,1438,1442,1447,1451,1454,1458,1461,1464,1467,1470,1473,1477,1480,1485,1490,1494,1500,1506,1512,1517,1523,1528,1531,1534,1537,1539,1540,1542,1544,1546,1548,1550,1552,1554,1559,1564,1569,1577,1585,1593,1605,1618,1630,1650,1671,1691,1711,1732,1753,1775,1797,1819
71871,32218,213,"Jacksonville, FL",1013,1014,1015,1016,1017,1018,1019,1021,1022,1023,1025,1026,1028,1031,1034,1037,1041,1044,1048,1052,1056,1061,1064,1068,1072,1074,1077,1080,1082,1084,1086,1088,1089,1091,1093,1096,1099,1104,1109,1113,1118,1123,1128,1133,1138,1143,1147,1151,1155,1158,1160,1162,1166,1169,1172,1176,1180,1184,1188,1192,1197,1201,1206,1211,1216,1221,1226,1231,1236,1241,1247,1252,1258,1265,1271,1278,1286,1293,1301,1310,1319,1329,1342,1354,1367,1380,1393,1406,1419,1433,1446
