County,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alachua County,"40,206","40,775","41,588","42,691","43,598","44,257","45,705","47,858","49,116","53,345","50,596"
Baker County,"30,733","30,616","30,955","31,589","31,746","32,118","33,240","33,877","33,855","36,345","35,308"
Bay County,"35,906","35,546","35,755","36,828","37,790","38,770","39,317","40,652","43,649","45,967","44,824"
Bradford County,"30,838","31,467","32,678","34,199","35,763","35,692","35,630","37,468","37,634","39,784","38,064"
Brevard County,"44,185","44,153","44,364","44,484","45,978","46,778","48,469","49,685","51,748","55,572","54,392"
Broward County,"44,469","45,051","45,598","47,012","48,767","49,548","51,259","52,977","54,643","59,036","60,060"
Calhoun County,"27,861","29,194","29,469","29,911","30,811","29,059","32,057","32,746","33,547","35,191","32,448"
Charlotte County,"32,830","33,218","34,046","34,559","35,668","36,356","37,707","38,922","40,350","43,356","43,628"
Citrus County,"35,028","35,470","35,556","35,142","35,716","35,475","36,520","37,288","38,122","40,328","39,156"
"Clay County, Florida","32,866","33,430","33,780","35,055","35,941","36,742","38,122","39,490","40,435","43,236","42,380"
Collier County,"40,979","41,778","43,214","43,934","44,985","45,427","46,415","48,697","50,092","54,807","55,276"
Columbia County,"33,289","33,535","34,054","34,888","35,620","35,681","37,443","38,204","39,137","41,138","41,704"
De Soto County,"31,936","32,839","33,426","33,988","34,549","34,618","35,633","36,489","37,922","40,772","38,844"
Dixie County,"28,641","29,191","29,422","32,077","32,106","33,367","34,590","35,228","34,574","36,307","34,632"
Duval County,"45,556","47,027","47,481","48,811","49,682","50,569","51,828","53,569","54,919","58,829","61,932"
Escambia County,"37,808","38,406","38,146","39,354","40,964","41,637","42,975","44,262","45,766","48,852","49,608"
Flagler County,"30,832","31,196","31,425","31,443","32,929","33,180","34,017","35,493","36,114","38,521","37,596"
Franklin County,"28,100","28,284","29,060","29,364","30,141","30,217","30,667","31,600","33,123","34,854","34,320"
Gadsden County,"31,964","32,196","31,989","33,021","33,367","33,748","35,395","36,571","36,775","38,354","36,452"
Gilchrist County,"29,733","30,018","31,088","31,880","32,273","33,264","33,378","33,200","34,778","41,772","41,028"
Glades County,"37,164","35,408","35,764","37,067","38,755","39,552","41,206","42,009","43,901","46,277","42,692"
Gulf County,"32,590","33,159","33,292","34,181","34,912","34,341","35,146","36,906","39,193","42,426","39,936"
Hamilton County,"39,119","40,287","40,587","41,824","39,651","38,215","42,886","45,410","44,614","50,848","53,456"
Hardee County,"28,940","29,821","29,632","30,806","31,846","33,283","34,226","34,934","35,948","37,761","37,024"
Hendry County,"31,929","34,784","35,353","35,585","37,523","37,102","37,041","40,841","39,935","42,744","40,508"
Hernando County,"31,149","31,953","32,141","33,127","33,813","34,330","35,749","37,411","38,093","40,932","39,780"
Highlands County,"29,287","29,618","30,831","31,284","32,515","32,840","33,819","34,535","35,661","37,952","36,920"
Hillsborough County,"46,078","46,893","47,408","48,388","49,914","51,197","52,651","54,564","56,407","60,937","62,972"
Holmes County,"27,108","27,700","27,963","29,068","29,774","29,309","31,061","31,553","32,762","33,786","33,332"
Indian River County,"35,320","37,121","37,075","38,754","40,170","40,903","41,571","42,879","43,902","47,130","46,488"
Jackson County,"31,570","31,776","32,151","32,773","33,499","33,911","34,473","35,620","36,652","38,877","38,272"
Jefferson County,"28,395","29,741","30,576","31,216","32,223","33,280","33,246","33,905","34,984","35,762","35,776"
Lafayette County,"27,687","28,781","28,856","29,619","29,526","31,049","31,804","33,359","33,309","35,940","34,268"
Lake County,"32,373","32,720","33,393","34,204","35,531","36,000","36,597","38,237","39,064","42,016","41,184"
Lee County,"38,192","38,628","38,883","39,616","40,921","41,884","43,501","44,827","46,190","49,795","48,724"
Leon County,"39,677","40,087","40,253","41,113","42,217","42,887","44,297","45,272","46,524","49,865","48,568"
Levy County,"27,900","28,491","28,875","29,272","30,101","30,912","31,512","32,670","33,640","35,568","35,880"
Liberty County,"31,181","30,322","32,127","33,566","34,427","34,507","36,395","39,206","38,746","40,072","39,312"
