SizeRank,County,State,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021
7,Miami-Dade County,FL,70019,70091,70182,70347,70509,70808,71117,71411,71515,71636,71789,71985,72036,72187,72366,72712,72999,73215,73413,73582,73789,73903,74003,74141,74658,75070,75409,75431,75550,75383,75259,75221,75782,76452,77057,77452,77491,77492,77461,77679,77962,78504,78992,79535,79516,79553,79630,79827,80152,80554,81212,81794,82236,82644,83044,83359,83790,84221,84770,85337,85937,86525,87026,87575,88267,89030,89895,90817,91893,92948,94010,94956,95857,96770,97719,98755,99806,100990,102328,103719,104921,106106,107253,108936,110724,112666,114395,116256,117862,119278,120369,121603,123093,124705,126420,127664,129145,130645,132624,134406,136357,138342,140641,143087,145462,148128,150990,154306,157291,160317,162919,165475,168624,172561,176681,180649,185015,189013,192340,195001,198575,201809,206014,209979,213787,216117,218012,219603,221032,221747,223000,223791,224631,225454,225353,225141,223843,222802,221507,220338,218293,216588,213865,212196,208056,203574,198227,193393,188941,184360,180093,175033,169880,164415,159581,154411,149671,145185,141049,137056,133274,130342,127233,124707,122350,120859,119272,117498,116343,115501,115050,114304,113439,112088,110919,109627,108630,107008,105752,105122,104434,103679,102803,102383,101953,101430,100962,100753,100572,100931,101238,101499,101943,102137,102508,102733,103572,104966,106165,107501,108913,110227,111231,111934,112994,114992,117333,119832,121685,123166,125185,127039,128908,130417,132811,135313,137554,138647,139606,140400,141572,142769,143953,145170,146412,148239,149141,150158,150554,151724,152653,153764,154961,156122,156969,157863,158996,159902,161288,162578,164317,165719,167094,168445,169463,170960,172638,174235,175519,176511,177673,178843,180364,181577,182584,183414,184758,185929,186953,188244,189285,190799,191194,192243,192640,194006,195262,196729,197885,198688,199532,200031,200845,201241,202972,203868,204990,204607,204820,205315,205520,206090,206363,206692,206823,207334,207796,207968,207811,209097,210003,211167,211722,212234,212826,213799,215392,216694,217754,219487,221695,223518,225599,227519,230377,233448,236895
17,Broward County,FL,51117,51196,51264,51391,51496,51630,51754,51856,51918,51990,52080,52180,52101,52021,51953,52074,52194,52293,52365,52466,52555,52639,52735,52857,53209,53506,53754,53765,53805,53691,53640,53655,53883,54126,54230,54247,54284,54423,54623,54789,54973,55454,55950,56282,56358,56378,56608,56889,57192,57477,57740,58142,58488,58765,58951,59263,59667,60131,60635,61245,61864,62606,63579,64596,65686,66749,67972,69230,70494,71854,73046,74131,75090,75930,76504,77055,77631,78262,78837,79485,80215,81003,81838,82804,83744,84740,85881,87010,88075,89023,90110,91087,92138,93147,94422,95578,96906,98152,99268,100407,101816,103576,105196,106988,108864,110711,112345,114109,116208,118620,121460,124108,126770,128994,131793,134607,137276,139998,142430,145066,146840,148473,149927,152385,154630,157114,158747,160118,161042,161481,162284,162462,162703,162124,161541,159689,158062,155508,153380,150772,148593,146607,143928,141028,137871,135174,131783,128588,125093,122469,118969,115732,112208,108539,105180,102097,99624,97006,94689,92755,90729,88774,87253,86134,85135,84635,84335,84092,83677,83493,83369,82998,82726,82242,81940,81250,80667,79889,79101,78348,77666,77122,76713,76248,75780,75481,75274,75224,75186,75152,75372,75427,75463,75446,75560,76038,76641,77399,77995,78807,79651,80695,81376,82492,83741,85157,86403,87841,89381,90865,92323,93926,95463,96854,98487,100030,101580,102635,104003,104669,105545,105828,106719,107067,107736,108079,108279,108515,108979,110019,110470,111101,111207,112008,112348,113019,113497,114292,115097,115738,116261,116695,117365,117991,119144,120181,121195,121946,122704,123620,124719,125724,126576,127160,127661,128731,129302,129935,130472,131371,132279,133109,133751,134504,135018,135854,137047,137755,138773,139444,140617,141406,141873,141998,142468,143174,144064,144529,144946,145204,145244,145534,145801,146039,146370,146731,146983,146992,147597,148688,149844,151345,152485,153272,152966,153230,153772,155028,156406,158076,159522,161036,162765,164721,167400,170711,175272
27,Palm Beach County,FL,64090,64169,64243,64354,64426,64482,64581,64636,64680,64684,64720,64760,64653,64573,64497,64625,64765,64882,65006,65152,65321,65462,65595,65746,66207,66604,66977,67004,67102,67222,67284,67432,67646,67982,68258,68504,68562,68622,68666,68926,69180,69589,69892,70186,70332,70560,70803,71057,71366,71778,72230,72642,73011,73360,73819,74166,74578,74891,75346,75786,76274,76734,77268,77839,78443,78988,79627,80374,81281,82249,83093,83901,84667,85509,86338,87220,88124,89118,90105,91201,92223,93224,94279,95441,96579,97759,98982,100275,101632,102883,104038,105236,106537,108004,109495,111161,113107,114865,116566,117960,119638,121377,123402,125509,127842,130449,133030,135788,138060,140768,143596,146994,150161,153651,157842,161879,165416,168046,171042,173609,176641,179039,181624,184228,186679,188532,188887,188745,188333,187890,187079,186001,184670,182858,180766,177904,175110,172073,168963,166204,163724,161425,158884,155612,152397,149444,146636,144018,141199,138550,135911,133102,130024,127055,123696,121517,119144,117409,114911,112477,110164,108448,107178,105792,104596,103609,103218,102504,101949,101047,100824,100519,100135,99346,98538,97920,97236,96306,95278,94141,92950,91967,90804,89995,89217,88534,87622,86854,86271,85907,85654,85641,85649,85565,85676,85767,86024,86363,87019,87645,88345,89007,89689,90428,91540,92757,94055,95515,97068,98598,99984,101489,103334,105246,107123,108598,109968,111391,112708,113608,114514,115609,116795,117938,118309,118912,119538,120732,121728,122492,123514,124645,125758,126419,127181,127975,129438,130574,131675,132385,133369,134384,135233,136261,137089,138234,139276,140188,140690,141235,142046,143195,143956,144905,145640,146389,147097,147865,148612,149570,150802,151988,152678,153012,153655,154627,155502,156243,157019,157828,158496,159029,159489,160078,160719,161594,162197,162185,162461,162807,163558,163979,164466,164626,164460,164549,165117,165785,166755,168111,169130,169482,169192,169122,169856,171069,173031,174600,176108,177750,179516,181505,183963,187309,191340,195787,199981
29,Hillsborough County,FL,58008,58037,58092,58188,58296,58369,58430,58494,58597,58756,58952,59162,59453,59757,60074,60322,60540,60795,61021,61297,61548,61796,62080,62409,62707,62944,63122,63361,63695,64119,64706,65278,65850,66341,66664,66889,67064,67385,67765,68232,68703,69159,69555,69874,70194,70517,71012,71631,72164,72715,73198,73806,74285,74781,75282,75869,76478,77139,77865,78591,79342,79968,80634,81247,81895,82504,83072,83696,84357,84973,85465,85910,86493,87129,87773,88335,88941,89607,90298,90985,91576,92162,92814,93532,94375,95193,96065,96862,97687,98373,99103,99879,100770,102015,103162,104374,105261,106281,107324,108474,109789,111305,112876,114560,116149,117663,119273,121044,122989,125053,126992,129129,131349,133913,137118,139812,143223,146313,149865,153274,156530,159741,162571,165316,167546,169881,171154,173134,174151,175165,175010,173955,173610,173456,174255,174406,174416,172779,170925,168395,165868,163290,161642,160454,158064,154478,150723,147804,144918,142737,140392,138254,135855,133162,129570,126206,123218,121008,118422,115676,112840,110051,107992,106102,104814,103634,103170,102467,102098,101602,101219,100742,100683,100588,99881,98916,97460,96131,94511,93321,92237,91024,89865,88576,87346,86282,85441,84785,84432,84344,84510,84439,84025,84010,84330,85052,85497,85932,86606,87455,88243,88836,89395,90427,91972,93308,94366,95179,96534,98124,99732,101346,102935,104469,105690,106379,106838,107605,108824,110075,110949,111290,111622,111727,112107,112808,113876,114982,116007,116738,117047,117498,117980,119018,119643,120511,121360,122597,123591,124690,125507,126650,127783,128762,129916,130924,132693,134279,135859,136637,137674,138845,140239,141216,142124,143725,145383,147080,148076,149059,149801,150763,151977,153105,154384,155967,157925,159157,159752,160307,161098,162100,163379,164606,165544,166343,167175,167704,168055,168389,169272,169593,170099,170161,170514,171030,171922,172785,173730,174700,175957,177405,178764,179734,180453,181625,183335,185227,187222,189725,192555,195955,199637,203857,208599,214674,221586
34,Orange County,FL,72792,72853,72984,73153,73421,73633,73828,73897,73977,74104,74307,74455,74383,74331,74325,74604,74661,74716,74718,74939,75170,75409,75550,75693,76270,76843,77301,77321,77470,77725,77990,78253,78518,78798,79054,79415,79617,79874,80068,80446,80857,81341,82163,82814,83389,83636,83972,84397,84702,85117,85621,86298,86884,87387,87766,88242,88831,89581,90267,90861,91449,91987,92478,92959,93575,94166,94701,95196,95765,96389,97025,97596,98233,98836,99487,100026,100551,101150,101779,102495,103165,103905,104602,105317,106019,106765,107595,108474,109298,109998,110697,111368,112160,113015,114145,115331,116514,117609,118665,119770,120905,122144,123514,125408,127421,129588,131403,133299,135570,138082,140831,143671,146995,150898,155078,159017,162728,165994,169845,173965,178216,182029,185617,189053,192101,194667,196554,197783,198273,199350,199868,200477,199420,199640,198987,198919,197818,196350,194457,192270,190211,187556,185153,182393,181085,177658,173945,169160,164736,160994,156923,153498,150476,147322,142913,137609,132315,128080,125004,121921,119571,116377,113907,111315,108867,106385,105078,104517,103269,102049,100795,100316,99367,98505,97565,96298,94830,93899,92892,91778,90706,89874,88845,87779,86772,86179,85635,85676,85835,85825,85653,85718,86367,86766,87202,87447,88065,88974,90153,91162,92085,93122,94418,95875,97215,98731,100508,102402,104443,106218,107978,109797,112148,114133,115608,116596,117733,119026,120311,121495,122240,122648,122871,122870,122608,122730,123663,124530,125121,125515,125928,126616,127184,127993,128838,130058,131358,132580,133316,134711,136049,137353,138214,138715,139810,140912,142105,143258,144178,145295,146215,146909,148404,149968,151653,153139,154284,155913,157281,158658,160137,161343,162818,164158,164552,165460,166664,168961,170906,172309,173707,174700,175850,177098,178483,179913,181411,182220,182868,182691,182955,183106,183502,183946,184673,185257,186006,186724,187805,189334,190679,192310,193656,194785,195332,196031,196777,198210,199584,201273,203154,205244,207836,210748,214160,218361,223424
52,Pinellas County,FL,49666,49682,49687,49754,49883,50064,50180,50248,50254,50344,50437,50588,50598,50648,50734,50952,51106,51184,51308,51509,51793,51969,52146,52261,52629,52964,53322,53394,53461,53565,53716,53898,54114,54382,54656,54930,55112,55345,55563,55843,56100,56342,56761,57120,57515,57811,58151,58473,58846,59147,59515,59981,60609,61269,61756,62332,62818,63365,63808,64276,64698,65296,65809,66355,66741,67219,67754,68246,68834,69440,70162,70873,71622,72249,72907,73516,74172,74798,75392,76080,76723,77451,78244,79141,80022,80872,81698,82563,83540,84390,85224,85853,86607,87482,88432,89383,90187,91019,92029,92959,94039,95308,97022,98786,100440,102008,103392,105028,107021,109111,110972,113126,115485,117930,120020,122376,125171,127770,130362,132576,134215,135990,138026,140102,141022,141531,142085,142888,142705,142201,141417,141011,140835,140574,139402,138131,136961,136042,134428,132326,130579,128969,127411,124653,122311,119712,118290,116345,114409,112147,110055,108096,106128,104238,102242,100754,98980,97230,95216,93161,91742,90526,89806,88920,88080,87152,86590,86099,86033,86045,85851,85784,85266,84829,83964,82996,81928,80805,79783,78809,77429,75859,74410,73286,72367,71368,70484,69904,69553,69466,69303,69086,69047,69173,69506,69662,69774,70012,70424,70976,71484,72066,72334,72770,73343,74276,75079,75986,76981,77926,78959,79808,80582,81045,81948,83026,83798,84195,84563,85100,85730,86317,86739,87195,87781,88866,89681,90371,90934,91843,92703,93426,94039,94959,96029,96864,97714,98274,99067,99893,101489,102955,104356,105337,106282,106897,107437,108129,109103,110011,111143,112040,112710,113052,113650,114631,115802,117035,118258,119841,121147,122466,123263,124158,124396,125378,126325,127795,128916,130155,131413,132392,133143,133976,134632,135595,136673,137143,137480,137700,138502,139228,140004,140403,140915,141476,141686,141846,142338,144219,146400,148208,149297,150239,151274,153213,155461,157760,160806,163977,167256,169844,172592,175974,180176,184981,190156
57,Duval County,FL,51238,51309,51374,51503,51625,51759,51869,52030,52214,52402,52472,52525,52634,52824,53029,53242,53479,53721,53993,54184,54325,54473,54823,55237,55636,55896,56121,56295,56468,56642,56853,57136,57475,57826,58117,58349,58484,58670,58918,59255,59595,59908,60234,60489,60755,60985,61249,61547,61877,62218,62528,62846,63168,63526,63839,64188,64486,64860,65250,65666,66081,66497,66958,67436,67865,68274,68714,69140,69578,69987,70431,70875,71295,71738,72164,72561,72985,73420,73868,74290,74751,75241,75692,76198,76755,77372,77864,78342,78801,79295,79792,80313,80872,81488,82202,82788,83352,83881,84676,85523,86391,87222,88077,89062,90057,90982,91955,93100,94293,95408,96390,97509,98673,100060,101458,102931,104563,106250,107857,109375,111081,112785,114382,115827,117311,118647,119813,120800,121397,121967,122263,122564,122356,122033,121913,122004,122078,121784,121394,120996,120608,119972,119273,118439,117297,116569,115596,114809,113600,112372,110919,109155,107475,106069,104659,103268,102865,101895,100904,98571,96694,95043,94332,93974,93489,92436,91662,90964,89714,88387,87225,86853,86665,86305,85108,83509,82078,81284,80127,78579,76865,75702,74538,73423,71901,70643,69695,68972,68182,67156,66539,66245,66527,66512,66615,66850,67094,67279,67359,67655,68036,68612,69152,69961,70329,71028,71483,72025,72857,73757,74892,75832,76718,77395,78035,78603,79507,80066,80651,80907,81171,81481,81591,81730,82056,82628,83185,83249,83380,83673,84424,84958,85395,85773,86406,87073,87522,87965,88457,89435,90126,90633,90822,91719,92776,93758,94483,95248,96252,97082,97749,98309,99190,100564,102007,102819,103317,103904,104662,105707,106657,107731,108950,110285,110895,111019,111091,112096,113525,114779,116085,116831,117513,118007,118786,119319,119900,120390,120849,121337,121712,122609,123227,123703,123870,124261,124410,124922,125566,126827,128382,129595,130304,130451,130646,131560,132848,134341,136031,137751,139738,141636,143611,145984,149108,152842,157103
100,Lee County,FL,73611,73650,73690,73781,73794,73814,73901,74131,74402,74574,74730,74824,74801,74777,74816,75021,75263,75500,75661,75690,75744,75813,76032,76291,76926,77450,77874,77983,78241,78530,78817,79034,79091,79463,79625,79939,79866,80054,80276,80621,80902,81113,81347,81605,82046,82289,82602,82830,83226,83528,83842,84205,84630,85267,85879,86395,86793,87289,87941,88541,89073,89624,90205,90834,91457,91988,92612,93297,94065,94755,95485,96346,97217,98078,98889,99761,100626,101473,102351,103415,104520,105738,106814,107925,109139,110394,111729,112980,114261,115534,116581,117365,118321,119560,120835,121975,122917,124102,125110,126484,128057,130160,132284,134437,136600,138424,140660,142903,145716,148724,152068,155499,159325,163556,168074,173368,178390,184334,189253,194729,199303,203673,208079,211930,214922,215964,217025,216940,216253,214399,213478,211413,209608,205709,202803,199227,195414,191198,186837,183356,179917,175562,170383,166214,162089,159083,154182,149331,144681,140741,136689,131913,127687,123968,120318,116031,111882,108632,105836,103432,100693,98168,95957,94285,92727,91576,91180,90688,90153,88619,87884,87482,87771,87927,87930,87654,87211,86408,85344,84939,84933,85529,85514,85250,84705,84565,84558,84823,85040,85549,86029,86535,86858,87327,88059,88855,89692,90496,91233,91950,92627,93704,95025,96025,97010,97962,99126,100438,101825,102935,104386,105877,107755,108916,109807,110854,112007,112912,113525,114237,115206,116364,117000,117425,117996,119067,120255,121307,122625,124100,126102,127284,128472,129315,130889,132762,134411,135777,137200,138707,140009,141490,142009,143334,143862,145250,146094,147019,147788,148847,149831,150769,151145,151155,151650,152262,153511,154017,154808,155147,155489,155547,155696,156019,157192,158135,159331,159630,160283,160959,161038,161221,161650,162744,163683,164624,164083,164353,163813,164331,163588,163513,163838,164491,164893,164738,164771,164681,165934,166889,167833,168481,168997,168967,168990,169670,171021,172545,174337,176601,178816,181375,184773,188625,193770,199748,206322
103,Polk County,FL,57580,57795,57931,58176,58378,58575,58740,58814,58883,58996,59198,59384,59490,59448,59486,59675,59911,60085,60254,60531,60798,60997,61109,61338,61769,62275,62582,62674,62754,62948,63222,63515,63834,64126,64293,64345,64278,64300,64460,64766,65109,65429,65692,65960,66218,66539,66982,67276,67484,67653,68023,68302,68553,68755,69107,69346,69554,69781,70038,70406,70812,71207,71455,71767,72051,72435,72690,73003,73302,73588,73825,74067,74295,74490,74644,74830,75132,75427,75755,76084,76429,76781,77115,77528,77948,78499,79092,79738,80278,80645,80969,81215,81542,82016,82651,83454,84187,84925,85524,85977,86438,87022,87846,89003,90443,91727,92797,93753,95343,97047,98758,100034,101544,103567,106202,108813,111438,114419,117777,120534,121887,122740,124364,127853,131364,134397,135755,136884,137027,136634,136223,136284,137112,137914,138292,137496,136476,135459,134851,134110,133324,132404,130607,129437,128653,128149,126800,125060,122936,120841,118763,116658,114939,113519,112173,109629,106557,103635,101531,99634,98053,95996,94083,92299,90531,88598,86996,86317,86190,85939,85169,83998,82591,81416,80436,79438,78570,77611,76735,75550,73828,72141,70661,69831,69373,69158,68896,68361,68025,67798,67758,67475,67601,68028,68644,68973,68758,68540,68272,68563,68486,68645,68815,69555,70224,70529,70918,71719,73128,74509,75857,77112,78321,79337,79835,80214,80681,81299,81928,82186,82503,82681,83064,83125,83697,84449,85743,86549,87185,87702,88186,88602,89053,89451,89688,90126,90671,91425,91781,92626,93488,94701,95408,96229,96674,97615,98811,99993,100700,100908,101475,101965,102925,103850,105173,106134,106977,107699,108380,109268,110313,111589,112925,114135,114532,114855,115372,117005,118642,120056,121299,122497,123716,124736,125304,125965,126962,127797,128429,128543,129450,130047,130768,130719,130445,130364,131225,132618,133755,135041,136509,137778,138172,138554,138945,139963,141427,143203,144626,145860,147605,149659,151956,154818,158377,162615,167318
112,Brevard County,FL,58356,58382,58489,58662,58802,58891,58977,59137,59278,59376,59406,59437,59314,59269,59166,59224,59305,59426,59522,59502,59497,59530,59715,59955,60490,60941,61291,61336,61426,61567,61742,61929,62152,62436,62600,62677,62603,62639,62867,63195,63457,63687,63961,64290,64612,64877,65220,65541,65909,66224,66493,66791,67081,67376,67633,67934,68244,68576,68841,69128,69403,69729,70074,70457,70825,71241,71665,72091,72559,73098,73750,74396,75036,75617,76211,76809,77528,78242,78941,79566,80210,80854,81652,82512,83432,84291,85012,85804,86543,87354,88281,89265,90468,91655,92962,94244,95549,97005,98960,100818,102908,105101,107391,109652,111875,114558,117283,120081,122967,125829,128508,131736,135032,138429,142155,146769,150981,154351,156433,158914,161049,163715,165773,167308,168399,169043,169076,168004,166621,165201,164343,163254,162343,160417,158801,156839,155068,152709,150043,147053,144243,141594,138950,136116,133147,130819,127895,124883,121475,118856,116109,113646,111271,109065,106572,103852,101294,98917,97209,95426,93664,91686,90566,89738,88925,88047,87608,87440,87163,86613,85771,85393,85086,84711,83603,82285,81034,79857,78744,77597,76508,75331,74348,73417,72690,72168,71715,71405,71200,71293,71233,71251,71254,71397,71603,71800,72162,72437,72996,73588,74255,74504,75011,75511,76269,77141,78003,78840,79513,80328,81323,82188,83123,84245,85292,86192,86868,87659,88346,89072,89627,90428,91149,91941,92306,92537,93090,94072,95397,96365,97397,98249,99596,100550,101175,101890,103129,105102,106525,107611,108636,110009,111569,112806,113568,114633,116132,117839,119188,120057,120825,121845,122675,123851,124901,126598,128590,130492,131887,132867,133715,134645,136240,137598,138587,138501,138975,139868,141156,141523,142183,142972,144568,145571,146073,146687,147525,149093,149556,149733,149183,149666,150308,150473,150126,150341,151068,152207,153000,154081,155453,156630,157209,157572,158057,159691,161368,163079,164759,166386,168601,170778,173541,176905,181504,186423,191637
