SizeRank,County,State,Metro,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021
7,Miami-Dade County,FL,Miami-Fort Lauderdale-West Palm Beach,218100,218243,218429,218776,219113,219881,220634,221323,221424,221601,221872,222318,222329,222650,223027,223888,224545,224988,225432,225839,226391,226614,226785,226985,228343,229381,230265,230178,230429,229803,229334,229065,230571,232430,234153,235311,235367,235293,235127,235755,236600,238213,239656,241296,241272,241422,241632,242185,243141,244362,246372,248148,249484,250738,251970,252913,254220,255556,257289,259044,260887,262685,264207,265843,267920,270212,272875,275762,279143,282423,285710,288647,291442,294253,297182,300418,303718,307403,311473,315651,319193,322634,325912,330832,336113,341877,346959,352383,356973,360991,364028,367500,371750,376439,381509,385158,389468,393794,399548,404720,410379,416172,422964,430254,437370,445334,453886,463803,472709,481778,489614,497410,507077,519104,531623,543615,556724,568681,578541,586386,597013,606517,618839,630290,641211,647515,652413,656326,659699,661019,664038,665821,667633,669457,668733,667737,663612,659985,655537,651364,644772,639245,630847,625637,613151,599448,583041,568179,554274,540316,527449,512785,498168,482703,469143,454376,441233,429258,418345,408170,398682,392184,385327,379927,374773,371934,368730,365397,363923,363168,363564,362935,361951,358957,356095,353257,351071,347198,344181,342607,340621,338441,335936,334613,333337,331984,331082,330399,330138,331157,331954,332450,333710,334421,335639,336178,338329,341913,345218,349051,353012,356875,360017,362281,365097,370326,376636,383720,388932,392963,397872,402300,406429,409734,415643,422342,428481,431276,433505,435124,437808,440734,443612,446655,449931,454718,456806,458794,459149,461629,463535,466115,469079,471880,473877,475834,478383,480050,483061,485868,489924,493016,495900,498548,500078,502755,505978,508980,511169,512591,514335,516023,518327,520091,521285,522057,524011,525729,527194,529430,530994,533781,533703,535331,535629,538287,540741,543583,545940,547297,548638,548998,550234,550608,554264,556001,558248,556802,556750,557669,557744,558675,558667,558970,558884,559710,560593,560605,559859,562612,564351,566724,567516,568561,570116,572844,577120,580647,583644,588496,594618,600010,606326,612347,620961,630102,640280
17,Broward County,FL,Miami-Fort Lauderdale-West Palm Beach,186774,187044,187291,187743,188136,188614,189046,189384,189550,189735,189963,190224,189839,189450,189101,189442,189749,190019,190194,190498,190744,190979,191258,191644,192845,193867,194716,194714,194801,194292,194027,193976,194765,195643,196062,196147,196267,196739,197392,197898,198492,200176,201893,203015,203234,203189,203874,204745,205821,206906,207976,209516,210732,211571,212116,213174,214653,216449,218445,220821,223138,225862,229490,233192,237159,240971,245316,249641,253643,257770,261135,264060,266482,268313,268961,269815,271081,273089,274864,276914,279271,281886,284706,287997,291246,294786,298953,302917,306458,309309,312634,315699,319158,322530,326813,330654,335117,339319,343110,346991,351772,357652,363090,369012,375293,381420,386904,392829,399840,407966,417530,426469,435475,443049,452655,462361,471408,480494,488359,496882,502394,507171,510930,517817,523866,530712,534458,537275,538659,538648,539972,539279,539025,536307,533768,527081,521098,512049,504188,494737,486630,479530,470433,460839,450383,441413,430646,420769,409903,401723,391094,381466,371362,360887,351651,343083,336260,329035,322801,317888,313028,308520,305600,303896,302324,301905,301665,301655,301389,301948,302447,301811,301356,300285,299685,297768,296078,293747,291537,289535,287542,285855,284561,283307,281970,281111,280481,280356,280305,280352,281011,281044,281121,281114,281645,283181,284797,286624,287915,290019,292279,295221,297421,300920,304664,308518,311857,315870,320502,325057,329361,334128,338609,342524,346819,350767,354763,357542,361325,362893,365192,365605,368114,368639,370261,370761,370914,371302,372526,375622,376702,378370,378141,380203,380793,382556,383564,385713,387879,389698,391080,392030,393553,394758,397713,400422,403026,404736,406409,408519,411196,413360,414937,415706,416387,419063,420248,421496,422327,424320,426502,428439,429761,431487,432551,434597,437731,439271,441765,443043,445945,447552,448125,447693,448389,449758,451738,452492,453253,453758,453488,454148,454536,454904,455304,455834,456234,456257,458047,461303,464583,468614,471464,473379,472398,473333,475294,479471,483971,489230,493954,499012,504955,511902,521374,532814,548057
27,Palm Beach County,FL,Miami-Fort Lauderdale-West Palm Beach,241988,242251,242487,242833,243055,243242,243635,243824,243947,243879,243952,244058,243587,243204,242863,243300,243789,244131,244530,244999,245588,246047,246515,247028,248720,250200,251562,251630,251895,252304,252328,252804,253496,254827,255805,256671,256853,257057,257233,258192,259151,260646,261783,262868,263440,264239,265134,266063,267219,268744,270426,271975,273339,274611,276332,277604,279153,280332,282101,283819,285677,287398,289383,291504,293841,295984,298491,301363,304756,308353,311413,314316,317035,320062,323072,326272,329437,332931,336335,340196,343722,347151,350736,354706,358619,362649,366764,371043,375525,379575,383298,387143,391409,396291,401265,406809,413318,419125,424782,429391,435132,441117,448132,455371,463404,472351,481182,490651,498299,507418,516814,528168,538578,550098,564033,577444,589025,597278,606798,614757,624504,631964,639904,647724,654841,659919,659766,658000,655242,652650,648869,644518,639184,632385,624663,614453,604539,593690,582448,572535,563990,556577,548393,537785,527194,517690,509060,501575,493592,486480,479708,472118,463471,454810,445228,439335,433100,428884,422022,415078,408701,404360,401370,397940,394984,392603,391743,389812,388427,385940,385754,385073,383981,381334,378910,377320,375648,373165,370564,367695,364580,361925,358475,356385,354294,352554,349851,347531,345700,344477,343584,343629,343638,343491,344122,344637,345717,346884,349021,350976,353163,355435,357668,359857,363226,366897,370847,375374,380110,384669,388684,393184,398985,404723,410386,414632,418646,422681,426291,428427,430673,433690,437031,440133,440521,441817,443173,446466,449159,451119,453939,457091,460204,461847,463834,466063,470518,473850,477007,478754,481261,483806,485818,488429,490346,493229,495677,497544,498044,498752,500313,503179,504797,507189,508731,510263,511578,513104,514729,517096,520389,523442,524979,525203,526369,528470,530425,531988,533695,535473,536833,537660,538245,539315,540654,542862,544168,543609,543760,544288,546081,546951,547734,547593,546541,546504,547885,549563,552263,556185,559058,559981,558989,558798,561145,565131,571524,576677,581775,587430,593601,600620,609358,620878,634684,649873,664639
29,Hillsborough County,FL,Tampa-St. Petersburg-Clearwater,160687,160652,160779,160864,160993,160976,161085,161250,161514,161822,162212,162582,163059,163584,164124,164675,165175,165800,166330,166844,167321,167735,168302,169017,169807,170478,170874,171270,171797,172613,173475,174413,175312,176331,176922,177360,177653,178286,179105,180153,181270,182347,183323,184170,185032,185931,187076,188455,189577,190831,191921,193311,194316,195348,196534,197877,199237,200508,202106,203696,205438,206778,208258,209559,211023,212394,213742,215181,216711,218147,219303,220435,221797,223299,224817,226274,227854,229490,231055,232561,233977,235429,236941,238505,240390,242294,244208,245836,247435,248830,250301,251976,253735,256379,258809,261563,263592,265920,268358,271094,274298,277964,281797,285890,289786,293468,297408,301648,306256,311049,315572,320482,325636,331563,339200,345519,353602,360865,369275,377326,384915,392371,398888,405231,410226,415468,418001,422186,423893,425425,424135,420606,418907,417663,418684,418134,417201,412240,406804,399734,393116,386563,382525,379655,373837,365333,356244,349458,342855,338254,333125,328719,323732,318449,310868,303936,298097,294290,289830,284826,279634,274532,271189,268157,266299,264320,263716,262390,262035,261345,260941,260014,260119,260008,258841,257151,254501,252115,249246,247432,245535,243021,240581,238010,235719,233777,232189,230787,230071,230076,230811,230850,229741,229709,230486,232501,233508,234435,235721,237640,239303,240518,241383,243648,247590,251062,253670,255169,257974,261354,264834,268191,271314,274308,276715,277491,277590,278342,280488,282942,284563,284950,285131,284781,285176,286246,288076,290121,291984,293206,293333,293899,294581,296564,297703,299373,300924,303207,304876,306775,308098,310192,312227,313708,315506,316831,319887,322430,325074,326035,327637,329585,332205,333747,334960,337432,340041,342822,344071,345424,346275,347622,349517,351112,352842,355345,358781,360851,361535,362140,363282,364848,367016,369080,370628,371952,373174,373736,373918,374323,375892,376272,376989,376673,376976,377625,379110,380480,382090,383706,386009,388679,391126,392715,393745,395885,399179,402937,406885,411984,417908,425119,432911,441758,451819,464775,479641
34,Orange County,FL,Orlando-Kissimmee-Sanford,185576,185765,186070,186521,187198,187762,188303,188521,188750,189021,189419,189697,189451,189286,189236,189838,189893,189928,189805,190227,190695,191282,191742,192196,193642,194988,196126,196215,196630,197254,197869,198478,199065,199686,200190,200917,201350,201928,202358,203191,204129,205228,207210,208779,210188,210778,211526,212522,213152,214107,215279,216903,218315,219518,220401,221484,222836,224584,226286,227749,229221,230488,231624,232758,234193,235599,236825,237999,239328,240787,242233,243522,244937,246309,247775,248973,250136,251440,252868,254466,255985,257616,259132,260685,262303,264004,265920,267817,269579,271079,272564,273963,275607,277467,280039,282799,285501,288004,290368,292905,295485,298312,301458,305935,310770,316037,320410,324923,330326,336323,343022,350037,358423,368207,378721,388615,397973,406029,415332,425147,435231,444216,452412,459998,466367,471553,475034,476754,476503,477752,477879,478255,474565,473958,471406,470472,467104,463022,457863,452052,446582,439860,433975,427462,424278,416072,407285,396017,385574,376344,366758,359026,352651,345952,336249,324622,312941,303936,297862,292285,288695,283506,279799,275721,271538,267288,265728,265745,264312,262879,261164,260675,258745,256930,254884,251948,248633,246614,244484,242218,240156,238567,236227,233797,231610,230339,229262,229492,230036,230011,229474,229344,230501,231149,232058,232606,233958,236104,238702,241068,243204,245716,248904,252554,255918,259434,263548,267776,272477,276430,280363,284249,289299,293441,296246,297773,299505,301763,304049,306396,307696,308170,308189,307741,306577,306352,308037,309782,310785,311488,312222,313561,314394,315745,317202,319545,322140,324366,325495,328014,330670,333014,334284,334486,336204,337896,339837,341575,342838,344635,345919,346695,349274,352046,354895,357092,358468,361011,362915,364859,367062,368703,371053,373003,372957,373992,375799,380010,383388,385635,387950,389476,391300,393235,395543,397892,400271,401234,402002,401280,401506,401645,402230,402815,403809,404559,405587,406833,408723,411593,413868,416896,419371,421096,421544,422388,423676,426486,429246,432575,436542,441003,446696,452928,460309,469629,480987
52,Pinellas County,FL,Tampa-St. Petersburg-Clearwater,166875,166872,166880,167103,167545,168143,168440,168587,168521,168806,169082,169509,169428,169529,169794,170436,170876,171061,171533,172241,173220,173763,174288,174666,175938,177120,178228,178373,178425,178674,179029,179500,180115,180875,181734,182531,183043,183642,184314,185284,186210,187032,188449,189698,191001,191981,193107,194311,195643,196761,198011,199556,201690,203942,205617,207508,209127,211001,212525,214059,215407,217397,219137,221033,222340,224018,225829,227538,229513,231555,233930,236291,238762,240793,242891,244804,246872,248807,250681,252873,254934,257217,259721,262551,265387,268101,270739,273396,276462,279025,281579,283389,285716,288390,291311,294234,296600,299041,301973,304807,308060,312018,317282,322785,327833,332633,336873,341897,348203,354807,360747,367484,374858,382475,388937,396221,404876,412942,420834,427431,432043,437088,442952,448780,450940,451755,453005,455062,454056,452008,449110,447357,446300,445081,441334,437483,433810,430713,425248,418319,412692,407741,403260,395039,388199,380431,376038,369989,364209,357869,352235,347027,341473,335758,329425,325046,319915,314955,309097,303247,299518,296274,294251,291433,288931,286468,285378,284299,284258,284413,283981,283834,281921,280283,277912,275679,273227,270358,267755,265393,262047,257932,254326,251642,249910,247744,245515,243943,243003,243080,242724,241964,241618,242148,243296,244112,244530,245549,246994,249065,251028,253204,254458,256200,258294,261292,263974,266874,270141,272982,276260,278796,281021,282243,284823,288190,290504,291739,292482,293678,295161,296593,297570,298611,300047,302832,304662,306088,307352,309699,311968,313770,315247,317805,320706,322670,324465,325391,327230,329220,333220,336615,339906,342239,344494,345577,346298,347708,349979,352231,355063,357243,358759,359295,360390,362339,364591,366994,369554,373230,376327,379330,380650,381922,382017,384411,386835,390146,392403,395021,397598,399311,400194,401449,403126,405903,408752,409048,409006,408899,410722,412361,414168,414844,415711,416453,417641,418861,420909,425097,429951,433433,434876,435871,437918,442668,448497,454355,460748,467383,474456,481556,489278,499085,511087,524816,538959
57,Duval County,FL,Jacksonville,142682,142866,143038,143369,143652,143953,144287,144729,145224,145625,145777,145922,146208,146687,147173,147714,148374,149045,149761,150236,150627,151027,151933,152917,153895,154524,155094,155486,155859,156260,156547,157104,157723,158628,159259,159781,160035,160449,160986,161764,162501,163200,164010,164706,165485,166189,167037,167981,168916,169813,170719,171635,172670,173752,174826,175872,176731,177639,178582,179589,180686,181833,183009,184207,185256,186305,187373,188457,189680,190896,192249,193525,194704,195953,197216,198452,199712,200937,202215,203403,204624,205902,207078,208484,210045,211783,213244,214656,216001,217437,218908,220502,222169,224006,226083,227866,229595,231244,233537,235942,238501,241024,243588,246337,249141,251731,254472,257583,260817,263799,266440,269506,272642,276427,280300,284598,289328,294183,298741,303096,307889,312725,317184,321221,325333,328941,331950,334313,335525,336579,336880,337095,336212,334956,334329,334081,333880,332652,331105,329386,327779,325574,323268,320762,317704,315706,312904,310356,306343,302559,298451,294065,289897,286400,283226,279986,278693,275584,272713,267048,262993,259252,257761,256948,255725,253146,251088,249337,246590,244042,242042,241712,241820,241576,239418,235822,232732,231398,229187,226258,222380,220324,217701,215610,212163,209511,207264,206066,204747,202821,201591,200778,201400,200947,201029,201420,201985,202420,202876,203785,204825,206183,207593,209654,210922,212940,214680,216298,218837,221195,224192,226557,228779,230291,231850,233390,235771,237115,238193,238520,238691,239095,238849,238710,239243,240483,241669,241627,241589,242204,243905,245114,245966,246780,248367,250061,250856,251668,252473,254518,255829,256541,256427,258230,260459,262480,263615,264840,266781,268298,269539,270478,272457,275663,279046,280569,281202,281993,283233,285188,286946,289111,291606,294276,295944,296345,296507,297942,300479,302639,305020,306123,307182,307714,308867,309531,309754,309852,310005,310948,311743,313721,314962,315726,315703,316328,316543,317629,318718,321202,324416,327131,328585,328676,328931,330962,333918,337349,341201,345144,350139,355013,360066,365734,373222,382276,392626
100,Lee County,FL,Cape Coral-Fort Myers,228570,228557,228597,228714,228651,228531,228600,229102,229847,230305,230787,231120,231025,230912,230881,231435,232076,232846,233382,233499,233545,233643,234153,234699,236520,238042,239436,239714,240395,241111,241900,242540,242734,243823,244197,245125,244863,245480,246130,247159,248005,248701,249429,250240,251531,252353,253424,254217,255475,256448,257426,258619,259994,262023,263957,265578,266904,268464,270567,272512,274329,276055,277883,279889,281975,283790,285898,288192,290747,293046,295466,298260,301089,303931,306755,309656,312504,315176,317978,321296,324698,328412,331588,334892,338431,342219,346040,349641,353260,356965,359934,362125,364861,368495,372164,375374,378020,381364,384183,388052,392399,398272,404116,410088,415971,420845,427013,433266,441139,449392,458637,468101,478802,490510,502791,517031,530482,546513,559359,573545,585019,596063,607098,616613,623811,625742,628307,627586,625245,619600,616961,611252,606431,595613,587492,577094,566230,554524,542759,532992,523706,511494,497549,486112,475267,467674,455581,444321,433765,425131,416022,406104,397702,391011,383492,374059,364252,357416,351514,346525,339838,333410,327532,322554,317319,313523,312322,311326,310452,305898,303725,302206,303151,303524,303434,302460,301246,298654,295272,293495,292740,293812,292685,291073,288589,287921,287549,288006,288024,288712,289323,290092,290449,291191,292854,294693,296435,297584,298704,299841,301040,303714,307019,309386,311431,313621,316385,319454,322703,325237,328552,331971,336707,339295,341031,343104,345766,347652,348734,350078,352271,355022,356486,357342,358392,360712,363275,365510,368503,372025,377061,379778,382512,384201,387669,391781,395257,398124,401357,404746,407386,410149,410338,412663,412943,415432,416637,418059,419110,420721,422094,423319,423133,422198,422539,423302,425622,426145,427366,427544,427752,427316,426992,427054,429259,431028,433445,433552,434350,435271,434814,434740,435252,437427,439237,441265,439802,440202,438485,439257,437177,436796,437418,438789,439506,438917,438861,438622,441511,443861,445992,447564,448612,448404,448222,449744,453027,456849,461413,467081,472828,479457,488503,498762,512440,528255,545818
103,Polk County,FL,Lakeland-Winter Haven,145033,145410,145653,146135,146482,146865,147108,147292,147418,147626,147958,148329,148659,148741,148929,149247,149768,150080,150511,150985,151556,152021,152355,152854,153633,154523,155065,155234,155394,155815,156378,156965,157503,158003,158300,158375,158139,158104,158325,159071,159720,160369,160862,161454,162063,162672,163571,164047,164414,164674,165435,165792,166234,166561,167291,167716,168114,168637,169207,170072,171010,171883,172427,173102,173740,174571,175148,175826,176414,176963,177426,177994,178472,178940,179278,179825,180481,181046,181537,182119,182798,183554,184255,185107,186043,187208,188357,189487,190427,191136,191860,192443,193185,194210,195551,197201,198703,200287,201833,203168,204575,206073,208034,210691,214065,217077,219726,222200,226181,230318,234290,237148,240577,245393,251827,258240,264550,271617,279354,285470,288096,289656,292972,300413,307710,313694,315631,316787,315594,313366,311333,310572,311704,312828,313134,311072,308423,305628,303597,301569,299645,297372,293018,290311,288635,287397,283851,279278,273995,269184,264619,259879,256214,252966,250323,244559,237974,231926,228225,225000,222557,219109,215912,212788,209416,206012,203243,202684,202630,202099,200389,197973,195137,192379,190254,188399,186894,185049,182980,180455,176892,173453,170067,168110,167030,166874,166395,165271,164568,164050,163935,163067,163276,164265,165905,166887,166379,165613,164835,165328,165064,165334,165755,167469,168853,169365,169971,171457,174368,177503,180485,183196,185722,187870,188976,189682,190753,191980,193417,193963,194667,194792,195284,195087,195864,197052,199266,200679,201575,202384,202990,203433,203945,204404,204652,205155,205934,206961,207261,208442,209711,211681,212572,213863,214336,215870,217820,219820,220880,221022,221859,222480,223965,225306,227458,228707,229755,230479,231143,232156,233468,235352,237380,239271,239927,240368,241151,243795,246355,248422,250193,251945,253869,255315,256022,256838,258150,259187,259936,259980,261595,262634,263939,263809,263089,262669,263846,266108,267831,269971,272454,274529,274953,275398,275750,277222,279624,282791,285423,287705,291034,294885,299210,304613,311380,319460,328563
112,Brevard County,FL,Palm Bay-Melbourne-Titusville,161730,161682,161812,162031,162207,162346,162404,162595,162705,162810,162805,162774,162389,162198,161953,162058,162250,162446,162652,162563,162518,162503,162804,163406,164628,165699,166392,166407,166396,166518,166824,167344,168076,168826,169255,169250,169040,169021,169615,170372,171070,171666,172308,173050,173688,174318,175157,176051,176980,177848,178614,179472,180294,181148,181982,182851,183803,184843,185809,186886,187918,188991,189998,191078,192214,193546,194840,196143,197444,198878,200529,202178,203901,205563,207281,209020,210899,212726,214550,216257,218046,219822,222055,224437,226881,229131,231047,233272,235481,237832,240406,243136,246678,250232,254052,257737,261475,265586,271039,276167,281862,287877,294407,300825,306890,314000,321311,328582,336067,343270,349953,357853,365788,373976,382629,393378,402817,409927,413375,418105,422074,427892,431981,434775,436455,436998,436103,432581,428579,424804,422616,419852,417398,412082,407675,402513,397939,391907,385208,377654,370737,364175,357976,351098,344015,338435,331597,324800,317045,311085,304764,299488,294540,290024,284530,278753,273317,268451,265013,261299,257737,253803,251839,250191,248280,246263,245289,244796,244004,242642,240606,239663,238792,237819,235022,231928,229179,226585,224228,221875,219684,217109,215026,212931,211373,210171,209423,208954,208609,208959,208905,209186,209244,209522,209905,210557,211657,212572,213974,215401,217022,217603,218784,219755,221538,223870,226198,228134,229631,231464,233924,236078,238499,241166,243662,245716,247134,248741,250037,251871,253083,254925,256358,258029,258453,258687,259782,262110,265076,267042,269273,270999,274085,276212,277596,279151,281952,286499,289582,291757,294071,297133,300521,302677,303764,305464,308169,311214,313552,314765,315826,317417,318695,321059,323086,326483,330261,333846,336352,338038,339507,341119,344156,346482,348030,346846,347102,348356,350791,351052,351790,352916,355849,357659,358400,359521,360803,363703,364030,364034,362298,362998,364098,364133,363065,363194,364560,366888,368436,370868,374041,376607,377508,377923,378993,382828,386678,390493,394227,397852,403004,408003,414292,421950,432695,444169,456062
