SizeRank,County,State,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021
7,Miami-Dade County,FL,98444,98505,98612,98798,98984,99359,99753,100138,100247,100360,100529,100763,100811,101002,101239,101700,102088,102377,102633,102836,103110,103277,103400,103557,104216,104750,105154,105116,105192,104897,104663,104541,105249,106112,106906,107430,107470,107433,107366,107652,108036,108750,109401,110135,110107,110155,110253,110512,110934,111489,112363,113123,113692,114231,114741,115110,115615,116127,116820,117545,118334,119103,119798,120571,121537,122612,123836,125173,126728,128264,129785,131150,132477,133820,135181,136636,138138,139813,141712,143659,145381,147072,148717,151077,153516,156136,158461,160996,163134,164995,166393,168004,169908,171951,174138,175701,177605,179557,182165,184483,187012,189573,192541,195675,198755,202221,205967,210326,214274,218269,221672,225022,229215,234500,240092,245504,251429,256839,261288,264797,269472,273650,279117,284192,289010,291801,293954,295672,297141,297670,298931,299593,300249,300894,300277,299589,297400,295577,293519,291777,288971,286490,282754,280453,274848,268792,261516,255212,249605,243850,238520,231875,225035,217963,212027,205678,200103,194539,189807,184912,180151,176402,172081,168659,165474,163442,160786,157694,155561,154427,153666,152495,151180,149370,147937,146368,145185,143247,141917,141624,140970,140008,138795,138359,137984,137441,137126,137152,137296,137939,138631,139191,140111,140650,141429,141952,143220,145255,147151,149289,151534,153833,155679,157135,158946,161960,165448,169232,172253,174748,177599,180153,182590,184605,187760,190993,193906,195366,196624,197559,198891,200243,201697,203199,204740,206839,207641,208598,208720,209746,210463,211424,212488,213464,214050,214524,215218,215659,216825,217873,219581,220915,222201,223330,223973,225151,226376,227530,228264,228720,229326,229963,230804,231180,231252,231212,231737,232029,232238,232801,233222,233990,233497,233680,233418,234234,234871,235584,236005,236075,236248,236094,236311,236224,237545,237930,238440,237452,237278,237425,237307,237629,237670,237681,237329,237317,237325,237164,236686,237654,238187,239057,239279,239352,239559,240216,241648,242775,243639,245142,247139,248761,250626,252315,254962,257895,261152
17,Broward County,FL,61480,61568,61645,61781,61897,62029,62150,62228,62274,62325,62401,62479,62345,62200,62066,62176,62287,62396,62459,62571,62648,62727,62808,62927,63319,63651,63926,63894,63879,63671,63559,63530,63759,63998,64086,64079,64092,64233,64436,64599,64773,65309,65859,66221,66266,66256,66482,66762,67064,67357,67634,68078,68458,68760,68959,69305,69759,70281,70844,71529,72222,73039,74126,75293,76556,77777,79173,80603,82089,83676,85111,86431,87615,88646,89356,90010,90708,91460,92143,92919,93768,94710,95682,96799,97901,99064,100401,101712,102950,104073,105378,106548,107792,108974,110469,111831,113376,114849,116164,117504,119128,121167,123056,125173,127390,129593,131554,133695,136236,139153,142595,145854,149165,151953,155354,158716,161889,165084,167933,170982,173015,174884,176568,179483,182108,184942,186693,188119,189029,189373,190110,190040,190025,189061,188135,185777,183619,180376,177671,174443,171825,169545,166484,163129,159428,156243,152096,147815,143277,139919,135830,132119,127917,123491,119398,115736,112690,109439,106602,104390,102005,99581,97464,95765,94237,93128,92313,91575,90833,90284,89810,89197,88773,88161,87721,86910,86245,85477,84524,83577,82676,82081,81674,81089,80531,80137,79942,79883,79828,79815,80151,80286,80352,80386,80520,81054,81664,82529,83185,84036,84949,86122,87048,88491,90032,91606,92976,94615,96405,98099,99719,101478,103141,104494,106107,107623,109285,110423,111903,112544,113378,113529,114405,114765,115490,115937,116047,116192,116487,117462,117814,118393,118408,119163,119411,120015,120394,121113,121889,122432,122802,123082,123662,124212,125290,126216,127119,127728,128358,129127,130077,130948,131775,132353,132817,133731,134134,134644,135050,135805,136542,137221,137736,138387,138741,139376,140357,140945,141853,142425,143506,144239,144671,144741,145145,145761,146594,147000,147373,147555,147564,147776,147990,148193,148518,148913,149154,149174,149750,150748,151816,153274,154448,155215,154811,154884,155243,156263,157418,158826,160007,161285,162732,164330,166508,169322,173362
27,Palm Beach County,FL,79717,79792,79880,79978,80031,80057,80139,80177,80193,80179,80184,80184,79983,79830,79669,79791,79926,80036,80158,80277,80442,80520,80620,80738,81265,81702,82108,82080,82123,82198,82180,82297,82464,82817,83082,83337,83348,83352,83319,83529,83741,84134,84410,84667,84763,84959,85178,85406,85700,86126,86603,87033,87408,87757,88231,88567,88987,89302,89780,90237,90747,91211,91749,92339,92995,93607,94346,95239,96307,97449,98440,99395,100292,101289,102339,103464,104611,105831,107044,108369,109640,110875,112209,113659,115131,116649,118168,119782,121464,123064,124549,126075,127694,129494,131307,133350,135702,137824,139901,141585,143642,145762,148235,150808,153653,156846,160009,163397,166231,169626,173169,177442,181409,185689,190693,195477,199684,202846,206444,209451,212958,215666,218630,221691,224548,226705,227002,226734,226077,225306,224028,222398,220409,217814,214870,210923,207072,202999,199051,195603,192484,189587,186396,182355,178492,174961,171545,168183,164546,161205,157992,154589,150861,147263,143302,140832,138104,136059,133124,130305,127658,125557,123867,121961,120381,119038,118302,117108,116068,114764,114301,113830,113323,112358,111355,110561,109693,108583,107431,106185,104923,103787,102359,101377,100445,99754,98812,98077,97448,97035,96708,96707,96689,96647,96843,96962,97182,97431,98019,98540,99174,99900,100699,101503,102611,103771,105058,106555,108188,109780,111235,112865,114890,116743,118557,119931,121447,122985,124397,125285,126204,127333,128603,129825,130192,130900,131532,132800,133721,134500,135554,136813,138031,138772,139551,140324,141842,143019,144223,144930,145971,146988,147851,148853,149623,150702,151669,152537,152928,153384,154114,155257,156008,156929,157627,158245,158839,159464,160065,160890,162071,163213,163806,164011,164529,165431,166205,166883,167555,168289,168926,169415,169850,170392,171061,171945,172434,172284,172413,172727,173477,173947,174493,174674,174398,174426,174988,175751,176853,178281,179380,179612,179169,178889,179508,180636,182549,183991,185287,186634,188114,189844,192012,195125,198898,203051,206819
29,Hillsborough County,FL,55417,55582,56022,56707,57461,57802,58297,58555,58858,58849,58890,58977,59266,59614,59608,59333,58930,58989,58753,58747,58587,58845,59030,59127,58736,58393,58138,58294,58354,58490,58633,58855,59121,59318,59386,59359,59668,60067,60464,60680,60987,61303,61661,61870,62078,62225,62482,62885,63169,63492,63797,64285,64629,64990,65275,65715,66069,66534,67018,67503,68035,68479,68982,69434,69947,70393,70834,71259,71816,72305,72756,73189,73792,74410,75023,75510,76070,76621,77204,77731,78198,78635,79134,79656,80187,80723,81297,81945,82525,83079,83656,84252,84848,85709,86520,87521,88208,89065,89823,90748,91864,93181,94509,96044,97632,99233,100998,102701,104714,106648,108539,110309,112196,114490,117363,120039,123197,126124,129026,131937,134653,137533,140114,142615,144650,146368,147348,148507,149064,149454,149063,147991,147541,147337,147885,148086,148036,146781,145147,143241,141175,139236,138072,137064,135004,131703,128442,125670,122871,120700,118561,116654,114475,111929,108866,106217,103792,101900,99533,97122,94691,92266,90225,88143,86615,85208,84240,82798,81795,80784,80018,79117,78728,78292,77555,76543,75281,74152,72837,71966,71015,70096,69173,68387,67556,66919,66428,66160,66024,66077,66353,66454,66306,66459,66879,67558,67972,68425,69008,69788,70467,71038,71524,72428,73801,74893,75773,76354,77438,78569,79763,80889,82118,83297,84314,84879,85182,85784,86676,87619,88178,88426,88632,88691,88883,89291,89963,90685,91312,91683,91752,92078,92440,93200,93674,94354,95024,95966,96655,97463,98255,99405,100540,101340,102306,103074,104438,105562,106710,107166,107974,108919,110162,110907,111571,112685,113842,115146,115909,116794,117507,118585,119759,120781,121621,122796,124332,125505,126167,126765,127523,128466,129543,130492,131169,131772,132471,132995,133412,133822,134651,135015,135437,135476,135698,136086,136690,137281,137839,138309,138990,139697,140291,140443,140496,140870,141718,142661,143762,145222,147021,149271,151695,154560,157851,162265,167279
34,Orange County,FL,70245,70310,70488,70714,71056,71307,71545,71617,71657,71740,71847,71889,71662,71544,71423,71605,71528,71489,71419,71602,71846,72076,72223,72427,73173,73863,74445,74519,74706,74984,75256,75533,75825,76146,76565,76991,77124,77222,77275,77649,78097,78606,79319,79873,80321,80504,80661,80944,81234,81734,82255,82899,83415,83998,84542,85183,85863,86636,87302,87879,88388,88887,89520,90079,90822,91317,91717,91938,92324,92883,93619,94244,95006,95674,96393,97007,97495,98105,98781,99744,100715,101637,102331,103066,103717,104527,105134,105915,106695,107459,108238,108897,109550,110166,111135,112242,113398,114120,115049,115961,117114,118339,119613,121401,123271,125547,127627,129818,132264,135360,138689,142191,145848,149984,154491,158753,162900,166434,170339,174392,178727,182438,185838,188858,191581,193840,195451,196497,196827,197745,198376,199086,198116,198382,197769,198074,197300,196424,194955,193166,191042,188185,185896,183595,182868,179667,175969,170955,166172,161774,156791,152422,148981,145475,139355,131970,124414,118761,113969,108805,104375,99505,95701,91826,87893,83987,81673,79979,77877,75463,73520,72791,72015,71161,70237,69141,68121,67641,67313,66971,66728,66753,66609,66183,65746,65553,65498,65929,66476,66830,66853,67248,68042,68690,69178,69599,70237,71318,72400,73356,74101,74972,76086,77150,78236,79324,80710,82097,83601,84762,86034,87319,89112,90504,91498,92020,92590,93368,94216,95016,95476,95693,95805,95746,95373,95318,95903,96652,97060,97356,97505,97947,98255,98735,99207,99850,100593,101222,101441,102074,102831,103607,104075,104206,104808,105461,106110,106818,107404,108278,108968,109451,110580,111725,112967,113936,114666,115776,116758,117814,118928,119859,121052,122206,122539,123228,124160,126028,127648,128850,130101,131085,132254,133505,134888,136299,137816,138731,139544,139708,140257,140511,140877,141221,141867,142352,142819,143070,143507,144289,144969,146009,146783,147631,147851,148177,148353,149018,149649,150576,151629,152791,154186,155583,157247,159292,162010
52,Pinellas County,FL,74396,74383,74384,74456,74633,74864,74982,75033,74993,75109,75204,75352,75256,75235,75282,75530,75661,75729,75887,76169,76552,76727,76913,77046,77615,78151,78647,78679,78697,78743,78847,78948,79122,79367,79652,79935,80051,80229,80416,80751,81024,81258,81715,82135,82595,82949,83356,83740,84178,84493,84898,85441,86260,87127,87788,88513,89108,89770,90298,90908,91470,92310,93001,93733,94202,94836,95529,96226,97040,97889,98877,99822,100793,101586,102445,103245,104127,104955,105730,106623,107494,108460,109508,110687,111888,113041,114159,115318,116665,117784,118904,119740,120739,121920,123204,124492,125547,126669,128057,129344,130752,132496,134842,137261,139510,141699,143684,146032,148875,151827,154475,157534,160944,164493,167518,170887,174868,178527,182120,185226,187517,190026,192801,195731,197069,197771,198436,199288,198694,197598,196220,195297,194663,193849,191817,189606,187461,185752,183222,180258,177780,175517,173232,169347,166068,162388,160337,157371,154480,151054,148094,145299,142727,140262,137662,135687,133324,131107,128495,125913,124178,122649,121616,120242,118868,117432,116483,115639,115107,114724,114183,114050,113318,112773,111648,110494,109194,107683,106329,105088,103745,102051,100425,98945,97764,96523,95438,94735,94228,94141,93825,93419,93107,93058,93303,93430,93515,93741,94170,94749,95360,96047,96368,96828,97377,98358,99166,100120,101159,102102,103057,103815,104471,104828,105809,107125,108009,108466,108806,109311,109829,110305,110772,111286,111866,112869,113585,114116,114634,115470,116340,117029,117675,118734,119943,120759,121558,122003,122722,123503,124940,126243,127461,128482,129507,130024,130318,130844,131803,132971,134341,135458,136361,136843,137577,138460,139492,140631,141804,143498,144896,146174,146800,147462,148004,149505,150907,152425,153417,154598,155826,156667,157175,157811,158674,159991,161114,161104,160936,160949,161833,162594,163401,163810,164357,164762,165548,166183,167089,168626,170501,171727,171960,171986,172428,173892,175682,177534,179355,181341,183548,185945,188513,191870,196138,201058,206085
57,Duval County,FL,69195,69217,69214,69330,69440,69569,69768,70075,70488,70892,71155,71374,71533,71843,72349,72818,73261,73710,74404,74860,75098,75070,75508,76131,76808,77247,77382,77521,77846,78168,77810,77689,77744,78390,78593,78734,79012,79478,80123,80495,80686,80912,81608,82204,82855,83360,84037,84448,84733,84906,85171,85735,86419,87156,87627,88165,88495,88945,89428,90183,90979,91795,92698,93648,94557,95236,96105,96842,97701,98307,99005,99772,100457,101236,101789,102183,102513,102934,103503,104126,104939,105852,106688,107398,108207,109025,109753,110413,111191,112192,113144,113975,114656,115366,116308,117204,118073,118741,119864,121228,122681,123869,124952,126193,127431,128627,129862,131335,132877,134547,136000,137520,138851,140572,142402,144591,147034,149581,151806,153777,155906,158075,159877,161395,162954,164434,165635,166293,166556,166710,166609,166337,165172,163836,162788,162343,161887,161041,160169,159292,158464,157394,156618,155576,153440,151410,149441,148436,146972,144913,142432,139780,137602,135700,133774,131961,132892,132964,132604,129031,126010,123708,122526,121636,119940,117386,114706,112575,109341,106733,104150,103073,102146,100975,98862,96228,93649,92126,90619,88756,86724,84893,83546,82358,80905,79671,78855,78509,78376,78041,77750,77645,77784,77921,78071,78532,78927,79403,79844,80461,81253,81860,82682,83664,84736,85968,87041,87854,89157,90322,91753,92842,93806,94837,95922,97020,97980,98414,98714,98972,99194,99562,99662,99826,100240,100835,101259,101264,101403,101970,102991,103810,104229,104508,105071,105769,106132,106466,106966,107902,108685,109110,109157,109752,110656,111678,112408,113126,114194,115085,115794,116325,117335,118948,120689,121697,122317,122945,123659,124744,125631,126752,128022,129485,130595,131056,131398,132176,133541,134680,135893,136465,137043,137460,138102,138465,138419,138351,138326,138899,139339,140275,140907,141284,141373,141593,141726,142232,142837,144052,145492,146583,147071,147037,147075,147924,149141,150579,152123,153686,155684,157594,159615,161855,164896,168532,172673
100,Lee County,FL,125216,125201,125149,125154,125089,125084,125187,125519,125935,126219,126524,126796,126780,126717,126800,127175,127588,127917,128129,128122,128160,128211,128465,128715,129718,130634,131419,131582,131888,132291,132723,133092,133188,133790,134008,134439,134239,134468,134775,135310,135828,136225,136585,136942,137549,137789,138212,138530,139102,139473,139828,140255,140729,141503,142309,142975,143552,144318,145320,146234,147063,147852,148622,149520,150453,151347,152319,153471,154669,155759,156857,158133,159433,160803,162235,163706,165141,166394,167669,169046,170466,172047,173469,174994,176611,178305,179995,181559,183113,184737,186093,187155,188575,190416,192246,193780,195044,196630,197905,199618,201576,204311,207095,209991,212809,215104,217961,220949,224767,228867,233399,238111,243472,249400,255508,262361,268759,276500,282815,289895,295802,301615,307806,313640,318379,320182,321753,321602,320556,317820,316685,313609,310730,304514,299745,293337,286645,279631,273359,268307,263592,257431,250417,244893,239598,235929,229726,224134,218866,214841,210559,206100,202461,199420,195376,190133,184939,181553,178670,176181,172839,169480,166206,163197,159888,157516,156926,156657,156117,153403,151859,150774,151073,151181,151051,150418,149830,148633,146923,145993,145818,146659,146379,145683,144464,144022,143768,144038,144073,144330,144496,144601,144422,144460,145052,145801,146525,146952,147293,147542,147814,148840,150175,151149,152060,152992,154088,155252,156524,157496,158972,160572,162736,163780,164419,165265,166319,167095,167593,168391,169522,170937,171669,172073,172678,173946,175439,176674,178267,180104,182767,184189,185637,186521,188397,190630,192468,193987,195586,197331,198773,200332,200482,201739,201902,203221,203726,204265,204611,205245,205882,206401,206229,205547,205506,205590,206462,206461,206812,206727,206701,206433,206126,205996,206810,207516,208528,208467,208808,209120,208818,208648,208806,209766,210489,211339,210506,210516,209483,209583,208352,207998,208162,208771,209072,208705,208605,208352,209660,210638,211604,212305,212765,212538,212200,212531,213624,214975,216653,218837,220960,223491,227011,231027,236489,242879,250024
103,Polk County,FL,63830,64181,64393,64801,65028,65174,65349,65479,65641,65732,65930,66062,66112,65906,65801,65787,65954,66164,66301,66429,66444,66552,66566,66708,67062,67530,67840,67909,68030,68264,68480,68779,69091,69403,69548,69680,69580,69554,69519,69871,70195,70325,70461,70538,70769,70855,71009,70901,70913,71002,71350,71372,71294,71268,71370,71400,71305,71380,71569,71963,72286,72490,72601,72743,72996,73312,73528,73789,74078,74432,74685,74849,74961,75040,74987,75119,75280,75549,75767,76038,76263,76390,76485,76694,76887,77155,77443,77742,77976,78014,78091,78101,78192,78398,78842,79419,80059,80670,81275,81777,82331,82934,83684,84639,85866,86975,87834,88597,89843,91383,92910,93889,94847,96205,98183,100202,102242,104722,107545,109946,110984,111479,112506,115343,118452,121227,122558,123606,123820,123421,123074,123094,123868,124619,125154,124683,124103,123512,123214,122725,122346,121754,120290,119301,118744,118318,116632,114591,112088,109907,108000,106278,104610,103315,101927,99542,96676,94456,93443,92386,91207,89314,87049,84838,82724,80482,78726,77808,77459,76553,75053,73160,71354,69632,68596,67684,67033,66123,65297,64171,62637,61126,59993,59578,59652,60014,59970,59500,59035,58867,58671,58209,57880,57927,58028,58029,57483,57050,56563,56527,56169,55954,55911,56397,56881,57011,56928,57044,57522,58078,58740,59514,60425,61129,61299,61291,61515,61930,62637,62969,63432,63507,63768,63693,63949,64423,65475,66221,66606,66769,66982,67286,67583,67920,68033,68323,68551,68914,68846,69192,69614,70479,70816,71201,71287,71774,72565,73197,73590,73554,73860,74068,74685,75184,76025,76532,77039,77421,77784,78386,79106,80093,81142,82117,82596,82914,83414,84563,85686,86583,87363,88246,89206,89976,90340,90800,91512,92174,92589,92778,93672,94464,95202,95252,95257,95420,96325,97310,98023,98852,99787,100637,100532,100551,100465,100893,101379,102148,102632,103185,104120,105240,106568,108174,110426,112966,115975
112,Brevard County,FL,74473,74475,74496,74559,74618,74745,74753,74974,75085,75203,75053,75030,74879,74871,74761,74937,75085,75148,75294,75101,75083,75059,75474,75887,76526,76980,77458,77461,77521,77496,77756,78071,78537,78902,79264,79230,79068,78965,79107,79311,79514,79952,80063,80338,80180,80367,80270,80487,80854,81285,81693,82218,82790,83237,83663,84030,84632,85079,85668,86400,87180,87978,88732,89468,90100,90763,91626,92467,93442,94504,95562,96324,96789,97425,97987,98607,99242,100023,100730,101460,102062,102684,103799,105039,106446,107562,108735,110108,111432,112812,114243,115768,117611,119409,121209,123008,125059,127204,129918,132400,135384,138291,141461,144477,147588,151209,154823,158423,161809,165106,168246,172065,175873,179552,183507,188493,193026,196622,198612,201177,203401,206684,209065,210635,211382,212029,211949,210499,208349,206030,204494,202761,201524,199107,197199,194844,192978,190163,187317,184060,181492,178945,176213,173196,169817,166805,162644,158974,154708,151315,147335,144221,141083,138453,135416,132173,129101,126432,125218,123438,121900,120385,119862,119290,118160,116747,115918,115391,114906,113880,112096,110979,110001,109055,107518,105635,104284,103066,102112,101020,99741,98674,97818,96982,96201,95477,94909,94464,94289,94509,94639,94873,94786,94589,94325,94538,94906,95410,95950,96867,97571,97806,98023,98381,99605,101101,102733,103578,104304,105018,106211,107086,108101,109239,110412,111331,112041,112906,113722,114734,115497,116521,117291,118102,118338,118357,118783,119743,120889,121507,122230,122942,124274,125089,125567,126185,127569,129889,131492,132635,133593,134945,136522,137697,138427,139441,140877,142497,143700,144148,144513,145189,145736,146778,147598,149337,151166,152795,153902,154689,155529,156294,157767,158887,160515,161024,162068,163133,164787,165908,167445,169084,171388,174206,176593,179371,180854,183038,183923,184507,184224,185017,186039,186343,185915,185783,186330,187152,187900,188989,190557,191774,192228,192357,192682,194490,196457,198113,199592,201054,203505,205948,208951,212793,218052,223648,229457
