SizeRank,County,State,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021
7,Miami-Dade County,FL,123552,123707,123881,124209,124522,125057,125566,126030,126176,126384,126649,127006,127087,127318,127576,128097,128494,128776,129077,129368,129724,129843,129921,130016,130819,131457,132009,132028,132260,131998,131809,131724,132635,133756,134788,135498,135556,135547,135479,135853,136340,137299,138150,139093,139071,139182,139341,139709,140292,141016,142174,143173,143912,144566,145249,145789,146576,147314,148261,149195,150191,151162,152010,152954,154157,155465,156917,158471,160275,162094,163934,165580,167126,168687,170309,172102,173899,175915,178185,180541,182567,184511,186375,189206,192267,195616,198547,201687,204384,206848,208770,210982,213587,216439,219491,221747,224384,227026,230540,233723,237238,240780,244928,249322,253650,258486,263660,269583,274934,280418,285180,289857,295538,302590,309891,316912,324633,331724,337611,342355,348699,354392,361734,368698,375432,379491,382712,385323,387631,388672,390718,391999,393416,394851,394705,394309,392199,390586,388519,386359,382518,379327,374407,371392,364056,356059,346690,338019,329577,320599,312203,302936,293927,284448,275841,266382,257463,249196,241407,234293,227774,223162,218429,214699,211112,208766,206574,204479,203835,203367,203371,202760,202071,200394,198813,197004,195549,193074,190966,189687,188119,186790,185522,185011,184173,183179,182339,181787,181358,181914,182313,182539,183103,183185,183488,183268,184217,186061,187700,189592,191565,193398,194836,195769,197111,199864,203348,207336,210258,212391,215265,217970,220750,222890,226591,230635,234430,236244,237724,238844,240599,242580,244533,246505,248549,251718,253303,254951,255503,257435,259005,260943,263175,265352,267073,268727,270749,272172,274488,276703,279687,282082,284361,286743,288390,290837,293581,296322,298596,300375,302250,304073,306501,308613,310405,311779,314036,316014,317765,319990,321758,324451,325217,327166,328137,330714,333149,335848,338142,339832,341523,342548,344035,344752,347819,349558,351618,351071,351393,352357,352648,353528,353934,354563,355044,356189,357247,357514,357193,359367,360966,363169,364382,365795,367214,369335,372450,375058,377265,380842,385301,389137,393471,397378,402985,408818,415469
17,Broward County,FL,119706,119889,120068,120410,120700,121047,121354,121632,121806,121997,122202,122425,122233,122069,121925,122200,122448,122661,122820,123028,123218,123394,123623,123916,124748,125429,125992,125997,126096,125832,125742,125780,126312,126901,127188,127274,127356,127651,128080,128432,128848,129942,131046,131752,131887,131846,132258,132797,133472,134175,134844,135854,136680,137334,137766,138517,139478,140634,141892,143396,144844,146527,148670,150862,153244,155611,158347,161196,164015,167006,169592,171871,173926,175682,176983,178273,179618,181081,182432,183893,185488,187206,189053,191246,193332,195585,198153,200685,203039,205072,207407,209557,211990,214355,217317,219946,222993,225839,228336,230927,234198,238304,242102,246208,250523,254705,258416,262463,267275,272833,279306,285317,291302,296315,302669,309139,315229,321438,326923,332848,336768,340224,343162,348125,352594,357599,360729,363295,364759,365199,366444,366408,366618,365098,363579,359208,355404,349569,344553,338454,333143,328436,322223,315642,308402,302198,294805,288425,281337,275961,268413,261299,254004,246439,239838,233603,228697,223491,218941,215092,211225,207665,205373,204058,202906,202806,202921,203174,203059,203502,203866,203384,202979,202179,201735,200251,198822,196810,194977,193292,191823,190555,189469,188394,187307,186615,186085,185915,185873,185810,186045,185937,185796,185593,185961,187025,188154,189213,189920,191421,192914,194981,196362,198658,201120,203896,206313,209262,212555,215882,219127,222640,226081,229131,232659,235873,239126,241301,244131,245505,247518,248353,250570,251286,252764,253375,253813,254394,255633,258246,259392,260884,261039,262780,263454,264966,265946,267810,269528,271089,272348,273396,274857,276066,278555,280897,283187,284842,286425,288342,290772,292862,294464,295335,296138,298487,299719,300969,301984,303908,305972,307782,309098,310659,311744,313623,316386,317873,320052,321285,323666,325064,325674,325586,326339,327621,329284,330051,330697,331192,331037,331652,332111,332506,332911,333323,333649,333584,334944,337422,340077,343313,345638,347263,346556,347332,348801,352045,355498,359577,363179,366970,371317,376375,383364,391770,403122
27,Palm Beach County,FL,133321,133514,133686,133964,134159,134321,134586,134726,134833,134823,134907,135021,134848,134709,134568,134842,135161,135423,135714,136038,136412,136729,137043,137372,138303,139105,139874,139929,140099,140328,140369,140702,141174,142001,142599,143127,143282,143484,143673,144307,144934,145877,146619,147308,147707,148217,148790,149368,150088,151008,152018,152951,153789,154566,155598,156361,157264,157957,159000,160034,161145,162157,163328,164547,165873,167076,168491,170092,172008,174047,175797,177438,178987,180756,182473,184319,186131,188156,190111,192359,194403,196420,198518,200862,203150,205486,207941,210512,213235,215699,217963,220348,222995,226016,229047,232405,236332,239887,243303,246135,249584,253202,257407,261726,266509,271830,277128,282813,287430,292866,298484,305222,311522,318522,327156,335490,342773,347980,353884,358905,364930,369570,374428,379073,383229,386035,385719,384347,382350,380475,378040,375239,371999,367963,363464,357582,351896,345838,339402,333653,328555,324159,319302,312977,306615,300840,295589,291096,286207,281606,276981,272018,266588,261149,255123,251277,247260,244418,240001,235561,231492,228771,227118,225306,223787,222603,222217,221288,220624,219370,219431,219065,218433,216861,215289,214168,212965,211451,209876,207985,205926,204265,202233,201103,199942,198890,197208,195639,194423,193517,192969,193011,193079,192835,193035,193146,193695,194429,195961,197490,199109,200508,201874,203294,205620,208176,210993,214201,217553,220744,223476,226555,230443,234741,238896,242260,245172,248219,250836,252553,254348,256663,259139,261315,261900,262914,264010,266144,268027,269445,271485,273630,275661,276754,278167,279817,282741,284853,286828,288096,289810,291547,292861,294714,296162,298263,300043,301456,302028,302809,304152,306223,307510,309256,310554,311785,312904,314107,315390,317129,319488,321625,322841,323228,324235,325831,327271,328466,329750,331189,332326,333146,333682,334517,335424,336882,337866,337610,337928,338384,339683,340252,340813,340710,340052,340045,341012,342170,343883,346445,348306,348972,348408,348359,349917,352496,356679,360064,363385,367049,371048,375547,381104,388443,397217,406914,416315
29,Hillsborough County,FL,100867,100890,100966,101069,101155,101166,101186,101239,101357,101513,101749,101991,102333,102662,102999,103265,103543,103892,104263,104647,104987,105284,105623,106047,106492,106860,107112,107396,107816,108378,108970,109569,110169,110833,111235,111488,111607,111992,112492,113171,113827,114478,115111,115659,116196,116712,117419,118324,119100,119907,120603,121480,122158,122835,123521,124326,125172,126011,127027,128020,129097,129971,130886,131684,132536,133392,134248,135155,136120,137019,137752,138413,139238,140118,141096,142027,143089,144123,145186,146237,147225,148183,149179,150259,151587,152943,154321,155500,156654,157677,158741,159939,161186,163046,164765,166687,168072,169597,171134,172880,174936,177310,179790,182396,184850,187121,189511,192084,194891,197889,200695,203725,206841,210429,215039,218778,223783,228334,233750,238879,243737,248510,252784,257126,260660,264384,266373,269529,270995,272399,271968,270183,269523,269160,270230,270064,269581,266573,263365,259083,254915,250654,247817,245771,241799,236022,229730,225081,220599,217385,213719,210547,207000,203151,197900,192978,188856,185930,182741,179111,175426,171655,169070,166577,164977,163471,162965,162079,161779,161368,161073,160514,160548,160528,159619,158355,156373,154617,152524,151091,149593,147707,145849,143826,141999,140387,139196,138230,137792,137722,138014,137896,137160,137126,137591,138799,139359,139931,140778,142028,143110,143885,144544,146054,148533,150740,152472,153705,155850,158349,160863,163231,165494,167721,169543,170320,170600,171266,172817,174516,175686,176092,176401,176415,176775,177590,178854,180321,181776,182845,183167,183691,184215,185606,186414,187633,188877,190631,192023,193519,194562,196070,197563,198788,200299,201462,203731,205636,207570,208383,209619,211051,212962,214197,215324,217246,219221,221243,222316,223372,224133,225140,226558,227828,229167,230986,233337,234860,235456,236045,236966,238239,239851,241439,242636,243667,244697,245257,245548,245834,246929,247209,247738,247589,247916,248476,249521,250554,251718,252980,254630,256574,258363,259638,260533,262131,264473,267099,269920,273455,277527,282401,287739,293802,300665,309419,319442
34,Orange County,FL,117631,117734,117914,118176,118582,118918,119224,119325,119427,119570,119811,119985,119800,119661,119601,119996,120045,120074,120013,120304,120647,121048,121350,121626,122550,123419,124128,124125,124337,124712,125111,125497,125839,126197,126472,126926,127239,127655,128000,128577,129207,129904,131152,132149,133084,133520,134074,134733,135129,135724,136472,137528,138459,139262,139848,140573,141474,142626,143737,144740,145764,146663,147444,148244,149239,150256,151188,152102,153085,154131,155165,156104,157103,158076,159121,159998,160868,161801,162798,163856,164889,166025,167113,168205,169324,170500,171850,173162,174378,175403,176412,177404,178571,179899,181639,183451,185242,186911,188473,190159,191872,193761,195855,198788,201921,205259,208015,210876,214339,218184,222481,226977,232344,238676,245517,251974,258054,263357,269594,276298,283153,289292,294916,300192,304646,308218,310605,311859,311883,312855,312909,312999,310444,309957,308295,307653,305458,302715,299221,295334,291730,287303,283217,278614,276206,270608,264529,256806,249736,243706,237469,232316,227791,222997,216562,209095,201692,195826,191796,188070,185490,181762,179074,176169,173439,170664,169687,169613,168554,167533,166348,165905,164560,163253,161841,159893,157590,156160,154430,152659,150898,149542,147798,146103,144566,143607,142617,142498,142642,142498,142208,142163,142976,143321,143802,144054,144870,146232,147970,149443,150755,152290,154296,156594,158726,161098,163873,166736,169943,172718,175512,178405,182116,185256,187413,188796,190377,192259,194101,195963,197087,197734,198057,198078,197548,197613,198947,200248,201059,201676,202372,203456,204245,205349,206596,208457,210536,212344,213476,215587,217807,219812,221101,221659,223212,224721,226375,227812,228878,230320,231409,232202,234140,236245,238425,240266,241515,243514,245062,246704,248524,249943,251792,253338,253554,254483,255962,259000,261543,263262,264976,266088,267438,268900,270631,272372,274163,274967,275558,275108,275267,275381,275820,276283,277084,277678,278466,279391,280786,282921,284653,286937,288831,290286,290861,291689,292738,294849,296913,299381,302232,305366,309361,313705,318834,325219,332983
52,Pinellas County,FL,88198,88200,88199,88323,88576,88925,89102,89180,89146,89296,89444,89709,89721,89848,90048,90446,90704,90811,91067,91476,92025,92353,92682,92865,93517,94070,94654,94708,94774,94935,95204,95540,95962,96456,96971,97500,97842,98278,98668,99236,99721,100184,100938,101590,102270,102770,103364,103956,104630,105182,105866,106698,107836,109039,109937,110989,111872,112863,113634,114453,115197,116257,117126,118081,118812,119708,120676,121549,122621,123786,125168,126483,127859,129012,130292,131450,132635,133739,134797,136019,137145,138352,139681,141227,142754,144215,145546,146941,148537,149886,151267,152264,153556,154990,156529,158052,159307,160621,162257,163734,165442,167492,170238,173068,175594,178050,180180,182743,185907,189253,192207,195691,199505,203491,206860,210759,215448,219839,224188,227865,230566,233457,236765,240047,241344,241902,242606,243792,243333,242287,240804,239933,239438,238751,236700,234602,232658,231031,228219,224529,221498,218739,216218,211793,207994,203753,201346,198123,195173,191817,188804,185830,182800,179685,176253,173649,170868,168236,165180,161936,159637,157811,156674,155392,154034,152857,152435,152145,152390,152765,152778,152885,152068,151265,149994,148563,147132,145477,143903,142419,140151,137431,134988,133255,132049,130538,128998,127988,127405,127323,127037,126546,126363,126628,127250,127652,127851,128462,129363,130531,131539,132575,133225,134265,135704,137606,139248,140917,142820,144528,146523,148108,149569,150497,152093,154025,155318,156114,156734,157680,158781,159808,160526,161285,162311,164305,165644,166690,167410,168786,170135,171241,172182,173827,175701,177132,178451,179163,180441,181844,184889,187590,190136,191778,193314,194125,194692,195625,197147,198520,200337,201770,202520,202613,203167,204773,206637,208513,210507,213110,215232,217250,218234,219252,219118,220383,221670,223793,225403,227382,229317,230651,231482,232747,233591,235004,236532,237234,237761,238071,239404,240514,241614,242036,242794,243782,243594,243380,243740,247029,250592,253359,255125,256781,258833,262404,266512,270564,276538,282769,289316,294204,299639,306459,314617,323879,333823
57,Duval County,FL,89116,89239,89367,89595,89794,89998,90214,90481,90774,91004,91099,91173,91336,91609,91881,92197,92586,92993,93438,93743,94003,94282,94850,95495,96127,96556,96910,97159,97393,97637,97803,98151,98536,99090,99446,99717,99817,100018,100353,100822,101254,101643,102099,102486,102909,103265,103737,104265,104826,105366,105862,106366,106924,107546,108156,108729,109220,109751,110317,110924,111554,112223,112923,113657,114295,114921,115565,116247,117012,117792,118637,119427,120174,120942,121731,122484,123296,124107,124950,125736,126480,127255,127975,128878,129873,130971,131893,132774,133597,134479,135417,136426,137525,138716,140011,141072,142080,143066,144444,145912,147477,149002,150527,152185,153840,155363,156985,158906,160920,162789,164446,166352,168248,170491,172724,175176,177976,180902,183719,186327,189242,192128,194826,197272,199835,202154,204210,205903,206857,207648,207938,208224,207796,207191,206909,206902,206937,206357,205610,204741,203906,202708,201390,199927,198065,196971,195495,194123,191785,189501,186822,183956,181250,179077,177006,174882,174056,172135,170215,166530,163710,161219,160352,159949,159252,157546,156321,155355,153699,152006,150621,150308,150329,150159,148590,146160,143941,142817,141134,138846,136134,134368,132507,130818,128508,126444,124732,123521,122364,120888,119816,119136,119263,118939,118740,118803,118827,118829,118862,119249,119811,120608,121520,122824,123606,124866,125966,127127,128813,130605,132681,134440,135966,137182,138352,139486,141162,142136,143002,143299,143587,143928,143965,144051,144600,145407,146231,146222,146257,146667,147796,148693,149351,150011,151109,152252,152812,153445,154052,155515,156475,157153,157318,158602,160193,161548,162346,163143,164456,165547,166491,167249,168611,170728,172943,174062,174617,175302,176357,177945,179397,180990,182728,184606,185728,186085,186301,187584,189597,191403,193348,194423,195442,196145,197274,198007,198565,199006,199477,200318,200964,202418,203326,203954,204069,204664,204989,205850,206724,208548,210887,212762,213780,213922,214179,215668,217685,219997,222581,225283,228633,231880,235213,239069,244197,250309,257309
100,Lee County,FL,122425,122466,122506,122584,122496,122371,122428,122756,123234,123527,123805,124031,123993,123956,123958,124327,124803,125335,125644,125708,125709,125766,126057,126352,127361,128155,128888,129009,129410,129867,130334,130665,130743,131342,131608,132112,132007,132336,132677,133190,133590,133924,134302,134730,135434,135844,136365,136817,137522,138120,138650,139286,139990,141049,142067,142945,143664,144565,145736,146776,147663,148520,149542,150687,151828,152780,153874,155091,156433,157600,158836,160293,161794,163287,164692,166161,167624,169055,170561,172329,174117,176110,177830,179616,181569,183609,185743,187699,189709,191726,193325,194505,196007,197998,200018,201829,203354,205319,206981,209328,212005,215537,219096,222671,226255,229289,233075,236910,241617,246625,252277,258053,264563,271717,279366,288346,296867,306854,315022,323875,331160,337849,344295,349535,353324,354062,355040,354052,352207,348428,346259,342336,338979,332380,327557,321830,315993,309407,302455,296677,291008,283891,275595,268846,262118,257222,249462,241993,234520,228173,221705,214525,208182,202580,196968,190467,184184,179544,175372,171686,167296,163317,159715,156866,154035,152065,151391,150711,150011,147465,146389,145779,146528,146929,147084,146680,146138,144882,143190,142314,142072,142800,142443,141744,140540,140134,140006,140434,140772,141498,142099,142862,143327,144090,145273,146686,148120,149440,150630,151770,152772,154563,156732,158428,159995,161659,163716,165866,168070,169780,172055,174409,177553,179451,180954,182517,184294,185478,186161,187043,188485,190277,191290,191910,192687,194252,196009,197660,199826,202275,205485,207293,209048,210299,212611,215368,217714,219693,221780,224019,225847,227942,228550,230448,231110,232986,234093,235332,236377,237723,238940,240059,240315,239994,240482,241294,243103,243806,244837,245201,245576,245581,245677,245946,247570,248891,250611,250821,251473,252213,252116,252203,252619,254050,255271,256625,255725,256068,255087,255714,254443,254226,254611,255479,255983,255742,255869,255816,257739,259231,260699,261782,262666,262707,262846,264046,266319,268818,271713,275336,278981,283185,288787,295125,303532,313280,324011
103,Polk County,FL,87554,87889,88137,88591,88930,89263,89509,89664,89774,89913,90136,90347,90474,90409,90357,90477,90758,90968,91216,91536,91883,92153,92327,92648,93170,93776,94219,94393,94522,94736,95066,95438,95842,96265,96547,96658,96666,96815,97127,97622,98066,98503,98845,99208,99554,99906,100429,100734,100904,100998,101377,101636,101955,102259,102742,103102,103419,103790,104138,104638,105223,105790,106151,106596,107013,107500,107859,108287,108722,109121,109493,109917,110297,110677,110987,111364,111797,112244,112736,113232,113716,114249,114787,115472,116136,116938,117788,118672,119494,120075,120617,121061,121627,122405,123347,124472,125534,126651,127661,128474,129305,130256,131520,133211,135369,137283,138994,140567,143112,145759,148344,150302,152602,155819,160003,164259,168425,173095,178229,182419,184406,185700,188151,193382,198565,202863,204529,205748,205536,204600,203644,203390,204313,205198,205516,204139,202422,200662,199428,198096,196725,195134,192247,190380,189143,188191,185842,182845,179352,176027,172908,169689,167138,164927,162953,159218,154814,150869,148231,145899,144033,141522,139225,137055,134803,132393,130573,129971,130035,129685,128596,127027,125133,123557,122224,120830,119556,118182,116730,114992,112372,110004,107777,106498,105762,105355,104898,104138,103839,103596,103590,103160,103482,104150,105260,105924,105798,105542,105169,105682,105635,106032,106489,107831,109040,109723,110411,111665,113757,116116,118473,120698,122737,124516,125621,126457,127382,128393,129533,130142,130888,131215,131818,131894,132739,133763,135431,136460,137227,137989,138661,139173,139791,140300,140598,141072,141750,142682,143086,144137,145264,146946,147807,149004,149511,150878,152580,154302,155291,155605,156506,157264,158617,159820,161655,162798,163844,164634,165352,166333,167535,169162,170877,172487,173116,173531,174230,176376,178540,180267,181758,183238,184840,186127,186747,187492,188589,189563,190241,190323,191511,192312,193371,193331,192825,192472,193468,195302,196846,198604,200597,202268,202641,203076,203429,204681,206614,209135,211180,212906,215342,218212,221475,225571,230741,236839,243669
112,Brevard County,FL,98557,98577,98735,98979,99222,99382,99510,99704,99859,99993,100036,100073,99874,99781,99599,99667,99670,99765,99830,99780,99707,99659,99854,100188,100908,101546,102017,102069,102224,102401,102670,102927,103324,103757,103962,103965,103844,103877,104201,104589,104917,105206,105552,106057,106557,107004,107517,107984,108493,108921,109343,109781,110207,110628,111057,111466,111850,112299,112697,113174,113649,114179,114702,115308,115919,116602,117273,117974,118745,119530,120511,121476,122445,123335,124242,125182,126220,127292,128333,129304,130311,131367,132664,134039,135465,136822,137963,139237,140464,141772,143272,144821,146786,148751,150901,153010,155207,157603,160821,163844,167224,170749,174440,178094,181608,185786,190055,194382,198771,203037,206956,211795,216761,221980,227621,234590,240884,245842,248717,252243,255250,259227,262289,264382,265726,266190,265764,263612,260934,258274,256476,254398,252555,249084,246026,242522,239374,235456,231114,226332,222018,218005,214152,209947,205543,202058,197647,193228,188224,184526,180651,177286,174056,171008,167541,163727,160237,157064,155023,152815,150640,148010,146632,145546,144402,143192,142558,142347,141898,141059,139755,139191,138750,138177,136333,134362,132586,130957,129337,127635,126091,124394,122994,121572,120381,119575,119035,118680,118282,118320,118151,118248,118297,118557,118872,119184,119811,120271,121188,122042,123143,123571,124487,125287,126421,127755,129095,130421,131519,132803,134375,135797,137392,139247,140973,142414,143463,144627,145564,146726,147545,148809,149836,150978,151368,151587,152250,153611,155510,156892,158456,159658,161689,163043,163942,164900,166648,169458,171433,172942,174503,176556,178763,180301,181071,182322,184171,186440,188220,189339,190282,191539,192557,194156,195639,198020,200797,203449,205448,206768,207916,209134,211380,213177,214357,213805,214126,215163,216831,217158,217858,218805,220846,222017,222495,223241,224260,226374,226848,227026,226138,226669,227372,227344,226654,226909,228002,229712,230834,232444,234493,236187,236901,237385,238178,240687,243239,245749,248129,250406,253666,256848,260881,265779,272562,279793,287392
