County,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Gilchrist County, Florida",3003,2961,2949,3082,3273,3389,3548,3382,3562,3640,3792(P)
"Glades County, Florida",1549,1635,1592,1528,1436,1517,1687,1845,2007,1958,2010(P)
"Gulf County, Florida",3520,3439,3567,3532,3663,3801,3797,3654,3631,3846,3923(P)
"Hamilton County, Florida",3271,3289,3150,3105,3140,3268,3012,3031,3078,2914,2866(P)
"Hardee County, Florida",7958,7843,7538,7348,7392,7106,7178,7072,6772,6776,6926(P)
"Hendry County, Florida",11117,11129,11569,11458,11317,11869,12161,11856,11852,11732,12517(P)
"Hernando County, Florida",36456,36791,37372,38118,39829,41159,42554,43931,45069,43202,44862(P)
"Highlands County, Florida",27545,27410,26690,26439,26635,27365,27826,27867,27515,26061,26678(P)
"Hillsborough County, Florida",571752,586000,603691,620402,643517,665072,673490,686050,707611,683615,701016(P)
"Holmes County, Florida",3314,3262,3181,3202,3194,3272,3270,3368,3433,3415,3549(P)
"Indian River County, Florida",45713,46235,46579,47785,48684,50098,51149,52594,53518,50928,52574(P)
"Jackson County, Florida",14254,14197,14078,13989,14085,14328,14204,14362,14521,14571,14559(P)
"Jefferson County, Florida",2511,2470,2457,2496,2466,2481,2532,2526,2483,2540,2557(P)
"Lafayette County, Florida",1684,1604,1590,1504,1480,1376,1363,1300,1384,1362,1404(P)
"Lake County, Florida",78618,81257,82870,85667,89592,92903,95763,98705,101311,100016,101980(P)
"Lee County, Florida",196861,203404,212775,226047,240175,250630,255183,261782,268846,258107,272141(P)
"Leon County, Florida",137687,137248,137859,141186,142692,146254,147956,151280,153131,145862,147680(P)
"Levy County, Florida",8168,8010,8001,8168,8546,8700,8965,9042,8864,8798,8907(P)
"Liberty County, Florida",2008,1903,2065,1973,1865,1885,1855,1837,1880,1897,1852(P)
"Madison County, Florida",4176,4182,4250,4271,4295,4226,4328,4302,4503,4539,4551(P)
"Manatee County, Florida",101891,104369,106981,109945,115192,118423,121320,124279,130433,124880,128299(P)
"Marion County, Florida",89099,90547,91800,94510,96719,99953,101051,103537,105829,104997,107175(P)
"Martin County, Florida",55651,56229,56371,59158,62274,65338,66782,68035,69642,67384,69031(P)
"Miami-Dade County, Florida",970129,992676,1017400,1046237,1079316,1107359,1122550,1144432,1164271,1076579,1093834(P)
"Monroe County, Florida",35194,36526,37397,38794,40763,41632,40645,40285,41887,37898,41197(P)
"Nassau County, Florida",17588,18252,18852,19760,20096,21070,22304,22960,23694,22910,23018(P)
"Okaloosa County, Florida",76085,75922,77102,77835,79775,81574,82731,84327,85838,83696,86571(P)
"Okeechobee County, Florida",10301,10584,10559,10543,10806,11110,11762,11399,11509,11089,11433(P)
"Orange County, Florida",658370,680501,705664,732630,762674,793424,820782,848915,868723,767199,774171(P)
"Osceola County, Florida",72637,74580,75876,80664,84340,88208,91465,95106,99610,91220,94776(P)
"Palm Beach County, Florida",494030,505914,523655,543731,565660,584989,596686,606403,616001,579563,596101(P)
"Pasco County, Florida",97077,98668,99978,104021,108451,112821,115522,119364,121741,119576,125232(P)
"Pinellas County, Florida",376455,382489,390308,396809,408382,417990,425392,434582,440101,421208,433454(P)
"Polk County, Florida",188763,190448,195017,197921,203802,209550,215151,220809,228202,229650,243730(P)
"Putnam County, Florida",17187,16371,16263,16262,16202,16388,16393,16286,16382,15867,16418(P)
"St. Johns County, Florida",54967,57586,59933,63400,66461,69749,73282,76665,79214,77805,82699(P)
"St. Lucie County, Florida",63867,64909,66769,68542,70409,72724,74471,77252,79958,78079,81482(P)
"Santa Rosa County, Florida",32185,32937,32777,33465,34791,36084,36819,38485,39865,38960,39683(P)
"Sarasota County, Florida",133658,137786,143716,152582,159072,163533,166487,171108,172211,163653,172243(P)
"Seminole County, Florida",154011,158557,161521,167681,174086,183001,188069,194887,201004,192221,196406(P)
"Sumter County, Florida",21994,22367,24057,25252,26134,27111,28343,29771,31322,31466,34261(P)
"Suwannee County, Florida",10892,10845,10892,11013,11181,11433,11441,11425,11464,10926,10976(P)
"Taylor County, Florida",6717,6747,6893,6807,6679,6679,6661,6590,6417,6318,6326(P)
"Union County, Florida",3799,3720,3683,3451,3554,3636,3625,3373,3370,3358,3443(P)
"Volusia County, Florida",149140,149954,152230,155707,160541,167484,169778,173345,176018,166974,176403(P)
"Wakulla County, Florida",5151,4939,5057,5152,5312,5496,5586,5741,5918,5937,6121(P)
"Walton County, Florida",19358,20351,21731,22251,23281,24767,25544,26131,27374,27201,29074(P)
"Washington County, Florida",5959,5717,5618,5555,5553,5755,5843,5937,6097,5914,5761(P)
"Alachua County, Florida",115353,116791,117882,120314,123370,126846,129173,132008,134190,128655,131731(P)
"Baker County, Florida",6664,6577,6697,6793,7103,7477,7565,7618,7587,7593,7439(P)
"Bay County, Florida",70166,70713,71761,74006,76180,77408,77385,77736,74682,72276,75002(P)
"Bradford County, Florida",6868,6561,6489,6302,6413,6437,6764,6635,6389,6293,6156(P)
"Brevard County, Florida",187114,187556,187497,189748,194456,201065,206818,215206,222374,215500,222475(P)
"Broward County, Florida",685170,701424,718840,740103,761402,782923,797509,812164,824195,766904,781838(P)
