county,Year,Employment,Labor_force,Unemployment,Unemployment_rate
Alachua,2001,114284,118547,4263,0.036
Alachua,2002,113387,118163,4776,0.04
Alachua,2003,114641,119087,4446,0.037
Alachua,2004,115973,120256,4283,0.036
Alachua,2005,119924,123550,3626,0.029
Alachua,2006,122471,125843,3372,0.027
Alachua,2007,125102,129010,3908,0.03
Alachua,2008,125425,131246,5821,0.044
Alachua,2009,120579,129815,9236,0.071
Alachua,2010,117504,127384,9880,0.078
Alachua,2011,,128282,9708,0.076
Alachua,2012,120238,129079,8841,0.068
Alachua,2013,121314,129007,7693,0.06
Alachua,2014,122367,129301,6934,0.054
Alachua,2015,123941,129993,6052,0.047
Alachua,2016,127302,133055,5753,0.043
Alachua,2017,130056,135272,5216,0.039
Alachua,2018,132658,137230,4572,0.033
Alachua,2019,134690,138972,4282,0.031
Alachua,2020,127696,134931,7235,0.054
Baker,2001,10060,10503,443,0.042
Baker,2002,9957,10459,502,0.048
Baker,2003,9922,10426,504,0.048
Baker,2004,10171,10601,430,0.041
Baker,2005,10751,11112,361,0.032
Baker,2006,11219,11548,329,0.028
Baker,2007,11477,11913,436,0.037
Baker,2008,11531,12245,714,0.058
Baker,2009,10887,12111,1224,0.101
Baker,2010,10197,11453,1256,0.11
Baker,2011,10274,11441,1167,0.102
Baker,2012,10277,11275,998,0.089
Baker,2013,10377,11246,869,0.077
Baker,2014,10454,11192,738,0.066
Baker,2015,10584,11217,633,0.056
Baker,2016,10892,11456,564,0.049
Baker,2017,11149,11641,492,0.042
Baker,2018,11228,11635,407,0.035
Baker,2019,11624,12016,392,0.033
Baker,2020,11179,11759,580,0.049
Bay,2001,68857,72692,3835,0.053
Bay,2002,69782,74110,4328,0.058
Bay,2003,71922,75980,4058,0.053
Bay,2004,75238,78802,3564,0.045
Bay,2005,79474,82406,2932,0.036
Bay,2006,83077,85748,2671,0.031
Bay,2007,83532,86754,3222,0.037
Bay,2008,83626,88653,5027,0.057
Bay,2009,80695,88810,8115,0.091
Bay,2010,76683,85366,8683,0.102
Bay,2011,77872,86727,8855,0.102
Bay,2012,78467,86154,7687,0.089
Bay,2013,79650,86210,6560,0.076
Bay,2014,81720,87426,5706,0.065
Bay,2015,83026,87884,4858,0.055
Bay,2016,83963,88209,4246,0.048
Bay,2017,84453,88151,3698,0.042
Bay,2018,84306,87934,3628,0.041
Bay,2019,81202,84487,3285,0.039
Bay,2020,77746,82763,5017,0.061
Bradford,2001,10313,10805,492,0.046
Bradford,2002,10470,10960,490,0.045
Bradford,2003,10855,11322,467,0.041
Bradford,2004,11123,11582,459,0.04
Bradford,2005,11334,11709,375,0.032
Bradford,2006,11843,12191,348,0.029
Bradford,2007,11917,12341,424,0.034
Bradford,2008,11856,12475,619,0.05
Bradford,2009,11467,12473,1006,0.081
Bradford,2010,10393,11490,1097,0.095
Bradford,2011,10403,11439,1036,0.091
Bradford,2012,10210,11074,864,0.078
Bradford,2013,10232,10951,719,0.066
Bradford,2014,10110,10733,623,0.058
Bradford,2015,10260,10786,526,0.049
Bradford,2016,10427,10896,469,0.043
Bradford,2017,10827,11241,414,0.037
Bradford,2018,10754,11137,383,0.034
Bradford,2019,10577,10948,371,0.034
Bradford,2020,10150,10791,641,0.059
Brevard,2001,226249,237019,10770,0.045
Brevard,2002,224093,238028,13935,0.059
Brevard,2003,229392,242235,12843,0.053
Brevard,2004,237866,249353,11487,0.046
Brevard,2005,250969,260435,9466,0.036
Brevard,2006,256936,265618,8682,0.033
Brevard,2007,254099,265782,11683,0.044
Brevard,2008,250742,268840,18098,0.067
Brevard,2009,238983,266755,27772,0.104
Brevard,2010,234627,263342,28715,0.109
Brevard,2011,235001,263679,28678,0.109
Brevard,2012,235751,261046,25295,0.097
Brevard,2013,235821,258158,22337,0.087
Brevard,2014,239073,257569,18496,0.072
Brevard,2015,241882,257457,15575,0.06
Brevard,2016,249817,263418,13601,0.052
Brevard,2017,256861,268605,11744,0.044
Brevard,2018,266546,276488,9942,0.036
